dataset,column,n_injected_points,n_affected_days,pts_per_day,median_point_shift_pct,median_abs_bias,max_abs_bias,median_daily_bias_pct,max_daily_bias_pct,median_snr,max_snr,daily_masked_pct
weather:amsterdam,temperature_2m,74,74,1.0,10.57,0.0441,0.1203,0.459,1.2,0.008,0.021,100.0
weather:amsterdam,apparent_temperature,72,69,1.04,9.06,0.0333,0.128,0.364,19.444,0.005,0.018,100.0
weather:amsterdam,precipitation,69,67,1.03,10.51,0.0,0.0112,0.0,7.053,0.0,0.06,100.0
weather:amsterdam,surface_pressure,72,67,1.07,10.07,4.7146,8.6921,0.466,0.861,0.457,0.842,100.0
weather:amsterdam,soil_temperature_7_to_28cm,75,73,1.03,10.51,0.0443,0.101,0.421,0.787,0.008,0.019,100.0
weather:amsterdam,soil_moisture_7_to_28cm,71,70,1.01,10.65,0.0022,0.0039,0.373,0.595,0.026,0.046,100.0
weather:london,temperature_2m,58,55,1.05,10.38,0.0467,0.1244,0.388,0.984,0.009,0.023,100.0
weather:london,apparent_temperature,76,71,1.07,8.93,0.0301,0.1511,0.356,8.807,0.005,0.023,100.0
weather:london,precipitation,76,70,1.09,10.27,0.0,0.0052,0.0,4.851,0.0,0.03,100.0
weather:london,surface_pressure,80,76,1.05,9.72,4.0688,9.4222,0.402,0.925,0.373,0.863,100.0
weather:london,soil_temperature_7_to_28cm,65,62,1.05,9.08,0.0429,0.1412,0.478,1.026,0.008,0.026,100.0
weather:london,soil_moisture_7_to_28cm,90,82,1.1,9.14,0.0012,0.003,0.412,0.935,0.014,0.035,100.0
weather:new_york,temperature_2m,78,76,1.03,10.13,0.0406,0.1909,0.401,2.762,0.004,0.019,100.0
weather:new_york,apparent_temperature,74,71,1.04,10.93,0.0261,0.1795,0.424,15.892,0.002,0.014,100.0
weather:new_york,precipitation,75,71,1.06,10.15,0.0,0.011,0.0,3.101,0.0,0.036,100.0
weather:new_york,surface_pressure,74,71,1.04,9.83,4.0129,10.7431,0.393,1.057,0.546,1.461,98.6
weather:new_york,soil_temperature_7_to_28cm,71,67,1.06,9.85,0.0405,0.1933,0.387,1.125,0.004,0.021,100.0
weather:new_york,soil_moisture_7_to_28cm,76,71,1.07,9.75,0.0009,0.0022,0.391,1.039,0.011,0.027,100.0
weather:paris,temperature_2m,79,76,1.04,9.26,0.0417,0.1767,0.352,0.831,0.007,0.028,100.0
weather:paris,apparent_temperature,80,78,1.03,10.38,0.0408,0.1163,0.434,3.744,0.005,0.016,100.0
weather:paris,precipitation,79,76,1.04,9.34,0.0,0.0112,0.0,3.901,0.0,0.055,100.0
weather:paris,surface_pressure,69,67,1.03,10.08,4.037,6.2348,0.396,0.615,0.431,0.665,100.0
weather:paris,soil_temperature_7_to_28cm,77,74,1.04,10.41,0.0533,0.1598,0.475,1.069,0.009,0.026,100.0
weather:paris,soil_moisture_7_to_28cm,71,70,1.01,10.08,0.0012,0.0024,0.404,0.616,0.016,0.033,100.0
weather:tokyo,temperature_2m,91,89,1.02,10.72,0.0607,0.2055,0.402,1.815,0.007,0.023,100.0
weather:tokyo,apparent_temperature,76,71,1.07,9.49,0.054,0.2184,0.459,61.311,0.005,0.018,100.0
weather:tokyo,precipitation,75,74,1.01,9.58,0.0,0.0142,0.0,8.77,0.0,0.035,100.0
weather:tokyo,surface_pressure,55,54,1.02,9.69,3.9933,6.2264,0.397,0.619,0.62,0.967,100.0
weather:tokyo,soil_temperature_7_to_28cm,59,57,1.04,10.7,0.0463,0.2049,0.364,0.852,0.005,0.024,100.0
weather:tokyo,soil_moisture_7_to_28cm,87,84,1.04,9.63,0.001,0.0022,0.43,1.121,0.013,0.029,100.0
weather:ALL,temperature_2m,380,318,1.19,10.46,0.0091,0.0705,0.083,6.957,0.001,0.01,100.0
weather:ALL,apparent_temperature,378,300,1.26,9.62,0.0069,0.0719,0.091,30.923,0.001,0.008,100.0
weather:ALL,precipitation,374,293,1.28,10.02,0.0,0.0028,0.0,5.663,0.0,0.022,100.0
weather:ALL,surface_pressure,350,275,1.27,9.86,0.8215,2.1528,0.081,0.213,0.129,0.338,100.0
weather:ALL,soil_temperature_7_to_28cm,347,285,1.22,10.09,0.0089,0.0522,0.08,0.284,0.001,0.008,100.0
weather:ALL,soil_moisture_7_to_28cm,395,316,1.25,9.66,0.0003,0.001,0.076,0.235,0.004,0.018,100.0
electricity:GB,initialDemandOutturn,103,71,1.45,70.96,377.6471,1424.1515,1.509,4.233,0.082,0.309,100.0
electricity:GB,initialTransmissionSystemDemandOutturn,79,64,1.23,75.36,436.6117,1341.2966,1.525,3.588,0.088,0.271,100.0
