dataset,column,day,n_injected_in_day,clean_daily_mean,polluted_daily_mean,abs_bias,bias_pct,snr
weather:amsterdam,temperature_2m,2024-01-15,1,2.2708,2.2829,0.012,0.5303,0.0021
weather:amsterdam,temperature_2m,2024-01-18,1,-1.5917,-1.5726,0.0191,1.1998,0.0033
weather:amsterdam,temperature_2m,2024-02-22,1,10.1125,10.0591,0.0534,0.5277,0.0093
weather:amsterdam,temperature_2m,2024-03-07,1,5.4167,5.3963,0.0203,0.3753,0.0035
weather:amsterdam,temperature_2m,2024-03-16,1,7.9875,8.0308,0.0433,0.5417,0.0075
weather:amsterdam,temperature_2m,2024-03-17,1,8.6167,8.6401,0.0234,0.2719,0.0041
weather:amsterdam,temperature_2m,2024-04-03,1,10.5083,10.5536,0.0453,0.4307,0.0078
weather:amsterdam,temperature_2m,2024-04-18,1,6.8,6.8234,0.0234,0.3442,0.0041
weather:amsterdam,temperature_2m,2024-04-21,1,6.3167,6.3385,0.0218,0.3457,0.0038
weather:amsterdam,temperature_2m,2024-05-12,1,18.0708,18.0052,0.0657,0.3634,0.0114
weather:amsterdam,temperature_2m,2024-05-14,1,19.6667,19.5559,0.1108,0.5634,0.0192
weather:amsterdam,temperature_2m,2024-05-15,1,15.8417,15.9042,0.0625,0.3947,0.0108
weather:amsterdam,temperature_2m,2024-05-27,1,14.0125,14.0879,0.0754,0.5383,0.0131
weather:amsterdam,temperature_2m,2024-05-29,1,14.8292,14.9104,0.0813,0.548,0.0141
weather:amsterdam,temperature_2m,2024-06-18,1,15.2042,15.2434,0.0392,0.2578,0.0068
weather:amsterdam,temperature_2m,2024-07-07,1,13.6375,13.598,0.0395,0.29,0.0069
weather:amsterdam,temperature_2m,2024-07-11,1,16.6167,16.5337,0.083,0.4994,0.0144
weather:amsterdam,temperature_2m,2024-07-18,1,18.3875,18.2998,0.0877,0.477,0.0152
weather:amsterdam,temperature_2m,2024-07-22,1,17.8917,17.9918,0.1002,0.5598,0.0174
weather:amsterdam,temperature_2m,2024-07-25,1,17.95,17.9079,0.0421,0.2344,0.0073
weather:amsterdam,temperature_2m,2024-07-30,1,21.9,22.013,0.113,0.5161,0.0196
weather:amsterdam,temperature_2m,2024-09-02,1,21.9917,22.1027,0.111,0.5048,0.0192
weather:amsterdam,temperature_2m,2024-10-17,1,15.9417,15.9736,0.032,0.2004,0.0055
weather:amsterdam,temperature_2m,2024-10-18,1,14.9417,14.9953,0.0536,0.3587,0.0093
weather:amsterdam,temperature_2m,2024-11-25,1,12.9125,12.8505,0.062,0.4805,0.0108
weather:amsterdam,temperature_2m,2024-12-01,1,6.0333,6.0661,0.0328,0.5438,0.0057
weather:amsterdam,temperature_2m,2024-12-15,1,8.4917,8.4493,0.0423,0.4986,0.0073
weather:amsterdam,temperature_2m,2024-12-30,1,7.4917,7.5232,0.0316,0.4215,0.0055
weather:amsterdam,temperature_2m,2024-12-31,1,6.0333,6.0046,0.0287,0.4763,0.005
weather:amsterdam,temperature_2m,2025-01-06,1,9.4708,9.5269,0.0561,0.5923,0.0097
weather:amsterdam,temperature_2m,2025-01-08,1,3.1917,3.2095,0.0178,0.5582,0.0031
weather:amsterdam,temperature_2m,2025-01-19,1,-1.05,-1.0538,0.0038,0.3607,0.0007
weather:amsterdam,temperature_2m,2025-02-14,1,0.5458,0.5486,0.0028,0.5135,0.0005
weather:amsterdam,temperature_2m,2025-02-19,1,0.6458,0.6412,0.0047,0.7217,0.0008
weather:amsterdam,temperature_2m,2025-02-25,1,7.775,7.8142,0.0392,0.504,0.0068
weather:amsterdam,temperature_2m,2025-02-28,1,5.1625,5.1694,0.0069,0.1333,0.0012
weather:amsterdam,temperature_2m,2025-03-12,1,4.6083,4.6201,0.0117,0.255,0.002
weather:amsterdam,temperature_2m,2025-03-22,1,14.1417,14.0452,0.0965,0.6823,0.0167
weather:amsterdam,temperature_2m,2025-03-27,1,7.5458,7.4774,0.0684,0.9063,0.0119
weather:amsterdam,temperature_2m,2025-04-17,1,9.9,9.9626,0.0626,0.6322,0.0109
weather:amsterdam,temperature_2m,2025-04-20,1,9.3708,9.403,0.0322,0.3435,0.0056
weather:amsterdam,temperature_2m,2025-05-08,1,12.1042,12.1523,0.0482,0.398,0.0084
weather:amsterdam,temperature_2m,2025-05-20,1,14.6542,14.5883,0.0659,0.4498,0.0114
weather:amsterdam,temperature_2m,2025-06-03,1,15.3167,15.3438,0.0272,0.1773,0.0047
weather:amsterdam,temperature_2m,2025-06-12,1,18.4792,18.5157,0.0366,0.1978,0.0063
weather:amsterdam,temperature_2m,2025-07-08,1,14.8208,14.7653,0.0555,0.3747,0.0096
weather:amsterdam,temperature_2m,2025-07-15,1,18.7542,18.683,0.0712,0.3797,0.0123
weather:amsterdam,temperature_2m,2025-07-16,1,16.9167,16.9675,0.0509,0.3006,0.0088
weather:amsterdam,temperature_2m,2025-07-29,1,17.2458,17.1387,0.1071,0.6212,0.0186
weather:amsterdam,temperature_2m,2025-08-06,1,16.95,16.8759,0.0741,0.4373,0.0128
weather:amsterdam,temperature_2m,2025-08-31,1,19.0292,19.1495,0.1203,0.6322,0.0209
weather:amsterdam,temperature_2m,2025-09-01,1,18.25,18.2153,0.0347,0.1901,0.006
weather:amsterdam,temperature_2m,2025-09-02,1,17.1792,17.0827,0.0965,0.5615,0.0167
weather:amsterdam,temperature_2m,2025-09-06,1,16.3125,16.3967,0.0842,0.5163,0.0146
weather:amsterdam,temperature_2m,2025-09-09,1,13.5542,13.5135,0.0407,0.3004,0.0071
weather:amsterdam,temperature_2m,2025-09-14,1,14.1917,14.243,0.0513,0.3614,0.0089
weather:amsterdam,temperature_2m,2025-09-19,1,19.1917,19.1195,0.0722,0.3762,0.0125
weather:amsterdam,temperature_2m,2025-09-27,1,12.0167,12.0742,0.0575,0.4787,0.01
weather:amsterdam,temperature_2m,2025-10-02,1,11.3875,11.3515,0.036,0.3161,0.0062
weather:amsterdam,temperature_2m,2025-10-13,1,14.2167,14.1501,0.0666,0.4686,0.0115
weather:amsterdam,temperature_2m,2025-10-19,1,9.6833,9.713,0.0296,0.3059,0.0051
weather:amsterdam,temperature_2m,2025-11-26,1,2.5417,2.535,0.0066,0.2607,0.0011
weather:amsterdam,temperature_2m,2025-11-29,1,9.075,9.03,0.045,0.4958,0.0078
weather:amsterdam,temperature_2m,2025-12-07,1,9.8083,9.8547,0.0464,0.4728,0.008
weather:amsterdam,temperature_2m,2025-12-13,1,8.0667,8.0358,0.0309,0.3825,0.0053
weather:amsterdam,temperature_2m,2025-12-24,1,1.4,1.4067,0.0067,0.4804,0.0012
weather:amsterdam,temperature_2m,2025-12-26,1,-2.0,-2.0119,0.0119,0.5943,0.0021
weather:amsterdam,temperature_2m,2025-12-29,1,3.1792,3.174,0.0052,0.1628,0.0009
weather:amsterdam,temperature_2m,2026-03-03,1,9.4083,9.3285,0.0798,0.8487,0.0138
weather:amsterdam,temperature_2m,2026-03-16,1,6.9083,6.9295,0.0211,0.3057,0.0037
weather:amsterdam,temperature_2m,2026-03-22,1,7.9833,7.9655,0.0179,0.2237,0.0031
weather:amsterdam,temperature_2m,2026-03-24,1,9.8833,9.9339,0.0506,0.512,0.0088
weather:amsterdam,temperature_2m,2026-04-20,1,7.9125,7.8624,0.0501,0.6331,0.0087
weather:amsterdam,temperature_2m,2026-04-23,1,9.075,9.0539,0.0211,0.2323,0.0037
weather:amsterdam,apparent_temperature,2024-01-18,1,-6.0625,-6.0294,0.0331,0.5457,0.0046
weather:amsterdam,apparent_temperature,2024-01-24,1,3.3917,3.4076,0.0159,0.4698,0.0022
weather:amsterdam,apparent_temperature,2024-01-29,1,3.3583,3.3342,0.0241,0.7173,0.0034
weather:amsterdam,apparent_temperature,2024-02-17,1,6.9,6.934,0.034,0.4932,0.0048
weather:amsterdam,apparent_temperature,2024-02-22,1,6.1958,6.2156,0.0197,0.3183,0.0028
weather:amsterdam,apparent_temperature,2024-04-15,1,3.4,3.393,0.007,0.2044,0.001
weather:amsterdam,apparent_temperature,2024-04-21,1,1.7542,1.7557,0.0016,0.0897,0.0002
weather:amsterdam,apparent_temperature,2024-05-12,1,16.5708,16.6519,0.0811,0.4893,0.0114
weather:amsterdam,apparent_temperature,2024-05-14,1,19.1042,19.0124,0.0918,0.4803,0.0128
weather:amsterdam,apparent_temperature,2024-05-18,1,17.3625,17.313,0.0495,0.2849,0.0069
weather:amsterdam,apparent_temperature,2024-06-05,1,9.9875,10.015,0.0275,0.2749,0.0038
weather:amsterdam,apparent_temperature,2024-06-15,2,10.7583,10.7226,0.0358,0.3324,0.005
weather:amsterdam,apparent_temperature,2024-06-18,1,14.8917,14.798,0.0937,0.6289,0.0131
weather:amsterdam,apparent_temperature,2024-07-07,1,11.6292,11.6,0.0291,0.2504,0.0041
weather:amsterdam,apparent_temperature,2024-07-17,1,16.6042,16.6435,0.0393,0.2368,0.0055
weather:amsterdam,apparent_temperature,2024-07-22,1,17.6167,17.5506,0.066,0.3748,0.0092
weather:amsterdam,apparent_temperature,2024-07-24,1,16.6542,16.5865,0.0676,0.406,0.0095
weather:amsterdam,apparent_temperature,2024-07-25,1,17.4792,17.3662,0.1129,0.646,0.0158
weather:amsterdam,apparent_temperature,2024-08-01,1,19.4958,19.4248,0.071,0.3643,0.0099
weather:amsterdam,apparent_temperature,2024-08-10,1,18.5417,18.6145,0.0729,0.393,0.0102
weather:amsterdam,apparent_temperature,2024-08-28,1,20.6583,20.5318,0.1266,0.6127,0.0177
weather:amsterdam,apparent_temperature,2024-09-21,1,17.0417,17.0775,0.0358,0.2102,0.005
weather:amsterdam,apparent_temperature,2024-10-07,1,12.6042,12.5301,0.074,0.5875,0.0104
weather:amsterdam,apparent_temperature,2024-10-14,1,6.0042,5.9542,0.05,0.8323,0.007
weather:amsterdam,apparent_temperature,2024-10-17,1,14.8667,14.8219,0.0448,0.3011,0.0063
weather:amsterdam,apparent_temperature,2024-10-29,1,13.0458,13.0092,0.0367,0.2811,0.0051
weather:amsterdam,apparent_temperature,2024-11-07,1,4.925,4.9134,0.0116,0.2355,0.0016
weather:amsterdam,apparent_temperature,2024-12-15,1,5.3417,5.3323,0.0094,0.1759,0.0013
