number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0,2026-04-18 17:10:04.219358,2026-04-18 17:10:04.274965,0 days 00:00:00.055607,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.051470588235294115,2026-04-18 17:10:04.275118,2026-04-18 17:10:04.541125,0 days 00:00:00.266007,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.019230769230769232,2026-04-18 17:10:04.541321,2026-04-18 17:10:04.544294,0 days 00:00:00.002973,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.0,2026-04-18 17:10:04.544448,2026-04-18 17:10:04.547526,0 days 00:00:00.003078,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.021621621621621623,2026-04-18 17:10:04.547669,2026-04-18 17:10:04.550288,0 days 00:00:00.002619,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.0,2026-04-18 17:10:04.550394,2026-04-18 17:10:04.842109,0 days 00:00:00.291715,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.0,2026-04-18 17:10:04.842297,2026-04-18 17:10:05.164390,0 days 00:00:00.322093,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.0,2026-04-18 17:10:05.164562,2026-04-18 17:10:05.286071,0 days 00:00:00.121509,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.0,2026-04-18 17:10:05.286252,2026-04-18 17:10:05.289069,0 days 00:00:00.002817,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.0,2026-04-18 17:10:05.289184,2026-04-18 17:10:05.406031,0 days 00:00:00.116847,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.0,2026-04-18 17:10:05.406277,2026-04-18 17:10:05.427020,0 days 00:00:00.020743,,0.10707142319043285,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.04310344827586207,2026-04-18 17:10:05.427198,2026-04-18 17:10:05.491873,0 days 00:00:00.064675,,0.13874968155744727,,,77.0,,LOF,,,78.0,,,COMPLETE
12,0.04519774011299435,2026-04-18 17:10:05.492049,2026-04-18 17:10:05.555908,0 days 00:00:00.063859,,0.04576282638077717,,,76.0,,LOF,,,77.0,,,COMPLETE
13,0.055944055944055944,2026-04-18 17:10:05.556060,2026-04-18 17:10:05.623179,0 days 00:00:00.067119,,0.04033236912155316,,,79.0,,LOF,,,76.0,,,COMPLETE
14,0.0379746835443038,2026-04-18 17:10:05.623377,2026-04-18 17:10:05.847885,0 days 00:00:00.224508,,0.03463463119950873,,,,0.690651246127129,IForest,,266.0,,,,COMPLETE
15,0.06802721088435375,2026-04-18 17:10:05.848083,2026-04-18 17:10:05.909136,0 days 00:00:00.061053,,0.030799653833434616,,,51.0,,LOF,,,51.0,,,COMPLETE
16,0.07246376811594203,2026-04-18 17:10:05.909314,2026-04-18 17:10:05.970841,0 days 00:00:00.061527,,0.026229479179886817,,,48.0,,LOF,,,49.0,,,COMPLETE
17,0.08403361344537816,2026-04-18 17:10:05.971033,2026-04-18 17:10:06.032751,0 days 00:00:00.061718,,0.01947318457558015,,,47.0,,LOF,,,48.0,,,COMPLETE
18,0.08695652173913043,2026-04-18 17:10:06.032935,2026-04-18 17:10:06.093645,0 days 00:00:00.060710,,0.016310505158412657,,,46.0,,LOF,,,45.0,,,COMPLETE
19,0.08,2026-04-18 17:10:06.093848,2026-04-18 17:10:06.153402,0 days 00:00:00.059554,,0.020798782887602583,,,45.0,,LOF,,,35.0,,,COMPLETE
20,0.03361344537815126,2026-04-18 17:10:06.153573,2026-04-18 17:10:06.216987,0 days 00:00:00.063414,,0.014003675724008204,,,34.0,,LOF,,,58.0,,,COMPLETE
21,0.06504065040650407,2026-04-18 17:10:06.217172,2026-04-18 17:10:06.277213,0 days 00:00:00.060041,,0.018246879930759474,,,50.0,,LOF,,,30.0,,,COMPLETE
22,0.07547169811320754,2026-04-18 17:10:06.277407,2026-04-18 17:10:06.337996,0 days 00:00:00.060589,,0.006871064825030888,,,42.0,,LOF,,,35.0,,,COMPLETE
23,0.07446808510638298,2026-04-18 17:10:06.338200,2026-04-18 17:10:06.399492,0 days 00:00:00.061292,,0.06697297103425612,,,61.0,,LOF,,,38.0,,,COMPLETE
24,0.016,2026-04-18 17:10:06.399668,2026-04-18 17:10:06.714781,0 days 00:00:00.315113,,0.02014932659342095,0.8074314246437423,rbf,,,OCSVM,,,,0.3936031799403975,,COMPLETE
25,0.04081632653061224,2026-04-18 17:10:06.714975,2026-04-18 17:10:06.776123,0 days 00:00:00.061148,,0.011013392759610111,,,39.0,,LOF,,,57.0,,,COMPLETE
26,0.07766990291262135,2026-04-18 17:10:06.776292,2026-04-18 17:10:06.834454,0 days 00:00:00.058162,,0.004928882194663152,,,61.0,,LOF,,,42.0,,,COMPLETE
27,0.06779661016949153,2026-04-18 17:10:06.834625,2026-04-18 17:10:06.893812,0 days 00:00:00.059187,,0.014710197028850815,,,57.0,,LOF,,,25.0,,,COMPLETE
28,0.059113300492610835,2026-04-18 17:10:06.894012,2026-04-18 17:10:06.962666,0 days 00:00:00.068654,,0.06198230572259592,,,30.0,,LOF,,,60.0,,,COMPLETE
29,0.09345794392523364,2026-04-18 17:10:06.962854,2026-04-18 17:10:07.023180,0 days 00:00:00.060326,,0.009673583824028463,,,42.0,,LOF,,,45.0,,,COMPLETE
