number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0,2026-04-18 17:10:25.774937,2026-04-18 17:10:25.783285,0 days 00:00:00.008348,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.09863013698630137,2026-04-18 17:10:25.783411,2026-04-18 17:10:26.245525,0 days 00:00:00.462114,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.04081632653061224,2026-04-18 17:10:26.245681,2026-04-18 17:10:26.248586,0 days 00:00:00.002905,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.0,2026-04-18 17:10:26.248700,2026-04-18 17:10:26.251360,0 days 00:00:00.002660,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.06734006734006734,2026-04-18 17:10:26.251458,2026-04-18 17:10:26.254052,0 days 00:00:00.002594,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.020618556701030927,2026-04-18 17:10:26.254148,2026-04-18 17:10:26.758044,0 days 00:00:00.503896,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.06060606060606061,2026-04-18 17:10:26.758214,2026-04-18 17:10:27.327152,0 days 00:00:00.568938,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.0,2026-04-18 17:10:27.327345,2026-04-18 17:10:27.524980,0 days 00:00:00.197635,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.04081632653061224,2026-04-18 17:10:27.525138,2026-04-18 17:10:27.527945,0 days 00:00:00.002807,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.039603960396039604,2026-04-18 17:10:27.528052,2026-04-18 17:10:27.712902,0 days 00:00:00.184850,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.10071942446043165,2026-04-18 17:10:27.713058,2026-04-18 17:10:27.734294,0 days 00:00:00.021236,,0.10707142319043285,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.10434782608695652,2026-04-18 17:10:27.734415,2026-04-18 17:10:27.761129,0 days 00:00:00.026714,,0.13412923922791903,0.00011200687440843911,rbf,,,OCSVM,,,,0.02340327681311205,,COMPLETE
12,0.059880239520958084,2026-04-18 17:10:27.761243,2026-04-18 17:10:27.787989,0 days 00:00:00.026746,,0.0423056096675609,0.00011682022185484309,rbf,,,OCSVM,,,,0.02315905533304593,,COMPLETE
13,0.06711409395973154,2026-04-18 17:10:27.788094,2026-04-18 17:10:27.804489,0 days 00:00:00.016395,,0.03171498570317026,0.00010335565115964224,rbf,,,OCSVM,,,,0.011683057028475346,,COMPLETE
14,0.08092485549132948,2026-04-18 17:10:27.804591,2026-04-18 17:10:27.922295,0 days 00:00:00.117704,,0.0525933540237383,0.0014964792495358844,rbf,,,OCSVM,,,,0.12701910051365511,,COMPLETE
15,0.045112781954887216,2026-04-18 17:10:27.922447,2026-04-18 17:10:28.033173,0 days 00:00:00.110726,,0.02133845087188978,0.0019113996643514053,rbf,,,OCSVM,,,,0.11751260155109113,,COMPLETE
16,0.09691629955947137,2026-04-18 17:10:28.033322,2026-04-18 17:10:28.054579,0 days 00:00:00.021257,,0.07647598428690493,,,80.0,,LOF,,,70.0,,,COMPLETE
17,0.046511627906976744,2026-04-18 17:10:28.054722,2026-04-18 17:10:28.410876,0 days 00:00:00.356154,,0.017944383542356036,0.0005508571077477068,rbf,,,OCSVM,,,,0.3864817989655277,,COMPLETE
18,0.06306306306306306,2026-04-18 17:10:28.411053,2026-04-18 17:10:28.490531,0 days 00:00:00.079478,,0.0747664543264939,0.02701460554154712,sigmoid,,,OCSVM,,,,0.1162023362818974,,COMPLETE
19,0.07608695652173914,2026-04-18 17:10:28.490700,2026-04-18 17:10:28.509230,0 days 00:00:00.018530,,0.13992245795089336,0.5626581804928742,rbf,,,OCSVM,,,,0.010712933698838974,,COMPLETE
20,0.0842911877394636,2026-04-18 17:10:28.509351,2026-04-18 17:10:28.531041,0 days 00:00:00.021690,,0.07542958949744162,,,57.0,,LOF,,,79.0,,,COMPLETE
21,0.10075566750629723,2026-04-18 17:10:28.531177,2026-04-18 17:10:28.916648,0 days 00:00:00.385471,,0.14295132648476971,,,,0.6908294639944054,IForest,,274.0,,,,COMPLETE
22,0.09454545454545454,2026-04-18 17:10:28.916810,2026-04-18 17:10:29.257203,0 days 00:00:00.340393,,0.08291122733072448,,,,0.7900372648079446,IForest,,233.0,,,,COMPLETE
