number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0,2026-04-18 17:10:41.071345,2026-04-18 17:10:41.079499,0 days 00:00:00.008154,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.10133333333333333,2026-04-18 17:10:41.079612,2026-04-18 17:10:41.591852,0 days 00:00:00.512240,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.0,2026-04-18 17:10:41.592027,2026-04-18 17:10:41.594934,0 days 00:00:00.002907,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.0,2026-04-18 17:10:41.595044,2026-04-18 17:10:41.597703,0 days 00:00:00.002659,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.11019283746556474,2026-04-18 17:10:41.597802,2026-04-18 17:10:41.600468,0 days 00:00:00.002666,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.0,2026-04-18 17:10:41.600569,2026-04-18 17:10:42.101969,0 days 00:00:00.501400,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.0,2026-04-18 17:10:42.102164,2026-04-18 17:10:42.684506,0 days 00:00:00.582342,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.0,2026-04-18 17:10:42.684718,2026-04-18 17:10:42.881759,0 days 00:00:00.197041,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.0,2026-04-18 17:10:42.881971,2026-04-18 17:10:42.885251,0 days 00:00:00.003280,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.0,2026-04-18 17:10:42.885443,2026-04-18 17:10:43.075337,0 days 00:00:00.189894,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.053691275167785234,2026-04-18 17:10:43.075556,2026-04-18 17:10:43.099818,0 days 00:00:00.024262,,0.10709305396188736,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.07291666666666667,2026-04-18 17:10:43.100012,2026-04-18 17:10:43.125861,0 days 00:00:00.025849,,0.13874968155744727,,,77.0,,LOF,,,78.0,,,COMPLETE
12,0.057692307692307696,2026-04-18 17:10:43.126049,2026-04-18 17:10:43.537682,0 days 00:00:00.411633,,0.04303691834216673,,,,0.6774067518529873,IForest,,276.0,,,,COMPLETE
13,0.023668639053254437,2026-04-18 17:10:43.537869,2026-04-18 17:10:43.545985,0 days 00:00:00.008116,0.058083808327474395,0.036771896235456576,,,,,HBOS,38.0,,,,0.8828608028738248,COMPLETE
14,0.05217391304347826,2026-04-18 17:10:43.546160,2026-04-18 17:10:44.010880,0 days 00:00:00.464720,,0.051017847643284056,,,,0.9884981130560856,IForest,,296.0,,,,COMPLETE
15,0.013422818791946308,2026-04-18 17:10:44.011072,2026-04-18 17:10:44.018373,0 days 00:00:00.007301,0.10210815052932311,0.026320483007575765,,,,,HBOS,39.0,,,,0.5136010781213356,COMPLETE
16,0.056,2026-04-18 17:10:44.018499,2026-04-18 17:10:44.036224,0 days 00:00:00.017725,,0.07597170626681614,,,53.0,,LOF,,,59.0,,,COMPLETE
17,0.0,2026-04-18 17:10:44.036349,2026-04-18 17:10:44.403081,0 days 00:00:00.366732,,0.018584698152125233,0.9674803505515404,rbf,,,OCSVM,,,,0.39668058297111974,,COMPLETE
18,0.07380073800738007,2026-04-18 17:10:44.403263,2026-04-18 17:10:44.631116,0 days 00:00:00.227853,,0.07616248418145932,,,,0.40340797752043095,IForest,,169.0,,,,COMPLETE
19,0.0,2026-04-18 17:10:44.631340,2026-04-18 17:10:44.639457,0 days 00:00:00.008117,0.46556762025122855,0.014314439914703122,,,,,HBOS,28.0,,,,0.4709056259822392,COMPLETE
