number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0,2026-04-18 17:11:01.587744,2026-04-18 17:11:01.596203,0 days 00:00:00.008459,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.2042042042042042,2026-04-18 17:11:01.596331,2026-04-18 17:11:02.018675,0 days 00:00:00.422344,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.33043478260869563,2026-04-18 17:11:02.018833,2026-04-18 17:11:02.021839,0 days 00:00:00.003006,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.17142857142857143,2026-04-18 17:11:02.021953,2026-04-18 17:11:02.024682,0 days 00:00:00.002729,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.25339366515837103,2026-04-18 17:11:02.024791,2026-04-18 17:11:02.027530,0 days 00:00:00.002739,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.020618556701030927,2026-04-18 17:11:02.027640,2026-04-18 17:11:02.484446,0 days 00:00:00.456806,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.17142857142857143,2026-04-18 17:11:02.484629,2026-04-18 17:11:03.002368,0 days 00:00:00.517739,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.06060606060606061,2026-04-18 17:11:03.002551,2026-04-18 17:11:03.182370,0 days 00:00:00.179819,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.2545454545454545,2026-04-18 17:11:03.182604,2026-04-18 17:11:03.185735,0 days 00:00:00.003131,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.18867924528301888,2026-04-18 17:11:03.185862,2026-04-18 17:11:03.353586,0 days 00:00:00.167724,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.34285714285714286,2026-04-18 17:11:03.353857,2026-04-18 17:11:03.378460,0 days 00:00:00.024603,,0.026937333020874227,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.36879432624113473,2026-04-18 17:11:03.378682,2026-04-18 17:11:03.409102,0 days 00:00:00.030420,,0.027711073140233456,0.00011200687440843911,rbf,,,OCSVM,,,,0.02340327681311205,,COMPLETE
12,0.33986928104575165,2026-04-18 17:11:03.409324,2026-04-18 17:11:03.439732,0 days 00:00:00.030408,,0.032890831782478286,0.00011682022185484309,rbf,,,OCSVM,,,,0.02315905533304593,,COMPLETE
13,0.3129251700680272,2026-04-18 17:11:03.439906,2026-04-18 17:11:03.458120,0 days 00:00:00.018214,,0.029202418327655206,0.00010335565115964224,rbf,,,OCSVM,,,,0.011683057028475346,,COMPLETE
