number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0,2026-04-18 17:10:36.464696,2026-04-18 17:10:36.474753,0 days 00:00:00.010057,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.08086253369272237,2026-04-18 17:10:36.474967,2026-04-18 17:10:36.955401,0 days 00:00:00.480434,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.0,2026-04-18 17:10:36.955589,2026-04-18 17:10:36.958615,0 days 00:00:00.003026,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.0,2026-04-18 17:10:36.958729,2026-04-18 17:10:36.961509,0 days 00:00:00.002780,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.06896551724137931,2026-04-18 17:10:36.961632,2026-04-18 17:10:36.964449,0 days 00:00:00.002817,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.0,2026-04-18 17:10:36.964551,2026-04-18 17:10:37.469038,0 days 00:00:00.504487,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.0,2026-04-18 17:10:37.469398,2026-04-18 17:10:38.064057,0 days 00:00:00.594659,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.0,2026-04-18 17:10:38.064289,2026-04-18 17:10:38.270327,0 days 00:00:00.206038,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.0,2026-04-18 17:10:38.270510,2026-04-18 17:10:38.273563,0 days 00:00:00.003053,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.0,2026-04-18 17:10:38.273679,2026-04-18 17:10:38.462362,0 days 00:00:00.188683,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.06920415224913495,2026-04-18 17:10:38.462556,2026-04-18 17:10:38.486388,0 days 00:00:00.023832,,0.10707142319043285,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.08139534883720931,2026-04-18 17:10:38.486642,2026-04-18 17:10:38.517544,0 days 00:00:00.030902,,0.13412923922791903,0.00011200687440843911,rbf,,,OCSVM,,,,0.02340327681311205,,COMPLETE
12,0.03389830508474576,2026-04-18 17:10:38.517758,2026-04-18 17:10:38.554043,0 days 00:00:00.036285,,0.0423056096675609,0.00013299972137426806,rbf,,,OCSVM,,,,0.030206900966364095,,COMPLETE
13,0.04938271604938271,2026-04-18 17:10:38.554231,2026-04-18 17:10:38.580064,0 days 00:00:00.025833,,0.03171498570317026,,,74.0,,LOF,,,80.0,,,COMPLETE
14,0.0547945205479452,2026-04-18 17:10:38.580284,2026-04-18 17:10:38.958022,0 days 00:00:00.377738,,0.05276057205431371,,,,0.6812231313327054,IForest,,258.0,,,,COMPLETE
15,0.0,2026-04-18 17:10:38.958220,2026-04-18 17:10:39.114457,0 days 00:00:00.156237,,0.0210611956878854,0.00718561122418277,rbf,,,OCSVM,,,,0.16738364003700323,,COMPLETE
16,0.06037735849056604,2026-04-18 17:10:39.114649,2026-04-18 17:10:39.474846,0 days 00:00:00.360197,,0.0806413972126363,,,,0.4033671953158343,IForest,,291.0,,,,COMPLETE
17,0.06722689075630252,2026-04-18 17:10:39.475030,2026-04-18 17:10:39.622723,0 days 00:00:00.147693,,0.14739270067006174,0.00210693611395275,sigmoid,,,OCSVM,,,,0.39860010994620043,,COMPLETE
18,0.03418803418803419,2026-04-18 17:10:39.622929,2026-04-18 17:10:39.642267,0 days 00:00:00.019338,,0.06555928656048815,,,42.0,,LOF,,,63.0,,,COMPLETE
19,0.0,2026-04-18 17:10:39.642428,2026-04-18 17:10:39.782208,0 days 00:00:00.139780,,0.01943158607839516,0.5442549075919912,rbf,,,OCSVM,,,,0.14305199172156752,,COMPLETE
20,0.024096385542168676,2026-04-18 17:10:39.782395,2026-04-18 17:10:39.942813,0 days 00:00:00.160418,,0.028075370614659666,,,,0.9467248437829902,IForest,,103.0,,,,COMPLETE
21,0.05668016194331984,2026-04-18 17:10:39.943011,2026-04-18 17:10:39.967940,0 days 00:00:00.024929,,0.08406344708374984,0.0001044625152587739,rbf,,,OCSVM,,,,0.019278713296199578,,COMPLETE
22,0.06711409395973154,2026-04-18 17:10:39.968098,2026-04-18 17:10:40.045031,0 days 00:00:00.076933,,0.10494952331501028,0.0007087963161648801,rbf,,,OCSVM,,,,0.07644383519738282,,COMPLETE
23,0.07734806629834254,2026-04-18 17:10:40.045212,2026-04-18 17:10:40.146741,0 days 00:00:00.101529,,0.14549760056470534,0.0007751494221289939,rbf,,,OCSVM,,,,0.10410431286091447,,COMPLETE
24,0.057692307692307696,2026-04-18 17:10:40.146947,2026-04-18 17:10:40.249908,0 days 00:00:00.102961,,0.053164748953997594,0.0009933632698005766,rbf,,,OCSVM,,,,0.10306841811779108,,COMPLETE
25,0.06722689075630252,2026-04-18 17:10:40.250097,2026-04-18 17:10:40.332272,0 days 00:00:00.082175,,0.14805191356181271,0.0005410300946087559,sigmoid,,,OCSVM,,,,0.20493083091512299,,COMPLETE
26,0.06153846153846154,2026-04-18 17:10:40.332462,2026-04-18 17:10:40.793308,0 days 00:00:00.460846,,0.07632329799457611,,,,0.6566603961424797,IForest,,323.0,,,,COMPLETE
27,0.20212765957446807,2026-04-18 17:10:40.793522,2026-04-18 17:10:40.805884,0 days 00:00:00.012362,,0.03868345104757528,,,79.0,,LOF,,,10.0,,,COMPLETE
28,0.05555555555555555,2026-04-18 17:10:40.806017,2026-04-18 17:10:40.818638,0 days 00:00:00.012621,,0.015321675463783999,,,80.0,,LOF,,,13.0,,,COMPLETE
29,0.05063291139240506,2026-04-18 17:10:40.818758,2026-04-18 17:10:40.833507,0 days 00:00:00.014749,,0.03973732021219241,,,58.0,,LOF,,,37.0,,,COMPLETE
