number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0,2026-04-18 17:11:25.455339,2026-04-18 17:11:25.463826,0 days 00:00:00.008487,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.05472636815920398,2026-04-18 17:11:25.463968,2026-04-18 17:11:25.956943,0 days 00:00:00.492975,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.017857142857142856,2026-04-18 17:11:25.957138,2026-04-18 17:11:25.960357,0 days 00:00:00.003219,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.019230769230769232,2026-04-18 17:11:25.962546,2026-04-18 17:11:25.965292,0 days 00:00:00.002746,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.06622516556291391,2026-04-18 17:11:25.965395,2026-04-18 17:11:25.968142,0 days 00:00:00.002747,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.020618556701030927,2026-04-18 17:11:25.968246,2026-04-18 17:11:26.517912,0 days 00:00:00.549666,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.019801980198019802,2026-04-18 17:11:26.518090,2026-04-18 17:11:27.132071,0 days 00:00:00.613981,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.020618556701030927,2026-04-18 17:11:27.132249,2026-04-18 17:11:27.341766,0 days 00:00:00.209517,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.0,2026-04-18 17:11:27.341949,2026-04-18 17:11:27.345034,0 days 00:00:00.003085,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.02,2026-04-18 17:11:27.345150,2026-04-18 17:11:27.532253,0 days 00:00:00.187103,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.04697986577181208,2026-04-18 17:11:27.532415,2026-04-18 17:11:27.555476,0 days 00:00:00.023061,,0.10709305396188736,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.0759493670886076,2026-04-18 17:11:27.555639,2026-04-18 17:11:27.581027,0 days 00:00:00.025388,,0.13874968155744727,,,77.0,,LOF,,,78.0,,,COMPLETE
12,0.05128205128205128,2026-04-18 17:11:27.581188,2026-04-18 17:11:27.605732,0 days 00:00:00.024544,,0.04586431634071454,,,76.0,,LOF,,,77.0,,,COMPLETE
13,0.04790419161676647,2026-04-18 17:11:27.605887,2026-04-18 17:11:27.630751,0 days 00:00:00.024864,,0.03492568272954651,,,79.0,,LOF,,,76.0,,,COMPLETE
14,0.059880239520958084,2026-04-18 17:11:27.630928,2026-04-18 17:11:27.649243,0 days 00:00:00.018315,,0.04147566679782288,,,50.0,,LOF,,,49.0,,,COMPLETE
15,0.05970149253731343,2026-04-18 17:11:27.649468,2026-04-18 17:11:27.657729,0 days 00:00:00.008261,0.07212308454239455,0.021154380435408862,,,,,HBOS,37.0,,,,0.827603059853873,COMPLETE
16,0.03864734299516908,2026-04-18 17:11:27.657879,2026-04-18 17:11:27.665376,0 days 00:00:00.007497,0.10802305631704981,0.06587808615593077,,,,,HBOS,39.0,,,,0.5266867691534473,COMPLETE
17,0.029411764705882353,2026-04-18 17:11:27.665515,2026-04-18 17:11:27.682714,0 days 00:00:00.017199,,0.018584698152125233,,,56.0,,LOF,,,49.0,,,COMPLETE
18,0.0728744939271255,2026-04-18 17:11:27.682852,2026-04-18 17:11:27.936065,0 days 00:00:00.253213,,0.07869546449081187,0.9639798532691006,sigmoid,,,OCSVM,,,,0.3935237987431912,,COMPLETE
19,0.0728744939271255,2026-04-18 17:11:27.936269,2026-04-18 17:11:28.178446,0 days 00:00:00.242177,,0.07716919072124043,0.4564301756486189,sigmoid,,,OCSVM,,,,0.3961617783904674,,COMPLETE
20,0.05217391304347826,2026-04-18 17:11:28.178642,2026-04-18 17:11:28.243346,0 days 00:00:00.064704,,0.0701535690265217,0.002547338341848221,sigmoid,,,OCSVM,,,,0.16142556308123268,,COMPLETE
21,0.058577405857740586,2026-04-18 17:11:28.243543,2026-04-18 17:11:28.488415,0 days 00:00:00.244872,,0.07547595246465659,0.9055341166584556,sigmoid,,,OCSVM,,,,0.3911339215820806,,COMPLETE
22,0.05555555555555555,2026-04-18 17:11:28.488587,2026-04-18 17:11:28.725075,0 days 00:00:00.236488,,0.023693454191067036,0.8551071796645492,sigmoid,,,OCSVM,,,,0.382807205852336,,COMPLETE
23,0.10382513661202186,2026-04-18 17:11:28.725238,2026-04-18 17:11:28.910349,0 days 00:00:00.185111,,0.14575577410764587,0.06879524647490377,sigmoid,,,OCSVM,,,,0.2892017344705944,,COMPLETE
24,0.054945054945054944,2026-04-18 17:11:28.910542,2026-04-18 17:11:29.174360,0 days 00:00:00.263818,,0.13865930458217016,0.032335479575502174,rbf,,,OCSVM,,,,0.2638934447096519,,COMPLETE
25,0.10187667560321716,2026-04-18 17:11:29.174590,2026-04-18 17:11:29.365445,0 days 00:00:00.190855,,0.14912597487844784,0.08852470996605126,sigmoid,,,OCSVM,,,,0.28925428140395026,,COMPLETE
26,0.06382978723404255,2026-04-18 17:11:29.365640,2026-04-18 17:11:29.385544,0 days 00:00:00.019904,,0.05019857141109799,,,59.0,,LOF,,,62.0,,,COMPLETE
27,0.03007518796992481,2026-04-18 17:11:29.385700,2026-04-18 17:11:29.484783,0 days 00:00:00.099083,,0.09790029296733123,0.005663735219380186,sigmoid,,,OCSVM,,,,0.2511280005936346,,COMPLETE
28,0.05405405405405406,2026-04-18 17:11:29.484989,2026-04-18 17:11:29.655808,0 days 00:00:00.170819,,0.1435731080409238,0.08840110809714151,rbf,,,OCSVM,,,,0.17029869381002227,,COMPLETE
29,0.056179775280898875,2026-04-18 17:11:29.656003,2026-04-18 17:11:29.668702,0 days 00:00:00.012699,,0.03333827271232188,,,31.0,,LOF,,,21.0,,,COMPLETE
