number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.021963824289405683,2026-04-18 17:53:19.819744,2026-04-18 17:53:20.447692,0 days 00:00:00.627948,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.01287995878413189,2026-04-18 17:53:20.447872,2026-04-18 17:53:20.547364,0 days 00:00:00.099492,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.015329586101175269,2026-04-18 17:53:20.547573,2026-04-18 17:53:20.647939,0 days 00:00:00.100366,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.305229667926029,2026-04-18 17:53:20.648132,2026-04-18 17:53:21.197918,0 days 00:00:00.549786,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.21948608137044967,2026-04-18 17:53:21.198107,2026-04-18 17:53:21.234301,0 days 00:00:00.036194,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.022037853253824215,2026-04-18 17:53:21.234547,2026-04-18 17:53:23.264346,0 days 00:00:02.029799,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.2857551078725532,2026-04-18 17:53:23.264554,2026-04-18 17:53:24.422541,0 days 00:00:01.157987,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.005188067444876783,2026-04-18 17:53:24.422766,2026-04-18 17:53:24.456264,0 days 00:00:00.033498,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.30164888457807953,2026-04-18 17:53:24.456490,2026-04-18 17:53:24.898086,0 days 00:00:00.441596,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.12111468381564845,2026-04-18 17:53:24.898303,2026-04-18 17:53:24.996261,0 days 00:00:00.097958,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.05784526391901663,2026-04-18 17:53:24.996468,2026-04-18 17:53:25.094774,0 days 00:00:00.098306,,0.018054373833527988,,,ECOD,,,,,COMPLETE
11,0.28125,2026-04-18 17:53:25.094956,2026-04-18 17:53:25.432297,0 days 00:00:00.337341,,0.045706913124722665,,0.38737137356600115,IForest,,52.0,,,COMPLETE
12,0.2865025466893039,2026-04-18 17:53:25.432526,2026-04-18 17:53:25.884625,0 days 00:00:00.452099,,0.04793844177667479,,0.9971247207377547,IForest,,64.0,,,COMPLETE
13,0.1625519432901491,2026-04-18 17:53:25.884895,2026-04-18 17:53:26.554765,0 days 00:00:00.669870,,0.014906683478157495,,0.6593505351040008,IForest,,99.0,,,COMPLETE
14,0.30059577541072396,2026-04-18 17:53:26.554993,2026-04-18 17:53:27.204900,0 days 00:00:00.649907,,0.09306977231046394,,0.7141785451510417,IForest,,98.0,,,COMPLETE
15,0.08375401560348784,2026-04-18 17:53:27.205091,2026-04-18 17:53:27.301310,0 days 00:00:00.096219,,0.03062915692790379,,,ECOD,,,,,COMPLETE
16,0.044608717817996434,2026-04-18 17:53:27.301526,2026-04-18 17:53:27.832501,0 days 00:00:00.530975,,0.0062954389956567085,,0.3723364792042706,IForest,,87.0,,,COMPLETE
17,0.30223159374450886,2026-04-18 17:53:27.832696,2026-04-18 17:53:28.724972,0 days 00:00:00.892276,,0.10005613832642575,,0.7983844615493881,IForest,,128.0,,,COMPLETE
18,0.22620169651272384,2026-04-18 17:53:28.725178,2026-04-18 17:53:29.725538,0 days 00:00:01.000360,,0.024119511808974276,,0.7865197110030178,IForest,,146.0,,,COMPLETE
