number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.024605024605024606,2026-04-18 18:00:10.842550,2026-04-18 18:00:15.156837,0 days 00:00:04.314287,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.007692307692307693,2026-04-18 18:00:15.157085,2026-04-18 18:00:15.169693,0 days 00:00:00.012608,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.008924018357980621,2026-04-18 18:00:15.169887,2026-04-18 18:00:15.183302,0 days 00:00:00.013415,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.09575104727707959,2026-04-18 18:00:15.183495,2026-04-18 18:00:15.381043,0 days 00:00:00.197548,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.08460076045627377,2026-04-18 18:00:15.381242,2026-04-18 18:00:15.388522,0 days 00:00:00.007280,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.019475460919241756,2026-04-18 18:00:15.388705,2026-04-18 18:00:20.217242,0 days 00:00:04.828537,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.11129369584702718,2026-04-18 18:00:20.217451,2026-04-18 18:00:20.589187,0 days 00:00:00.371736,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0038799793067770304,2026-04-18 18:00:20.589422,2026-04-18 18:00:20.597036,0 days 00:00:00.007614,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.0975609756097561,2026-04-18 18:00:20.597227,2026-04-18 18:00:20.752027,0 days 00:00:00.154800,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.06422607578676943,2026-04-18 18:00:20.752304,2026-04-18 18:00:20.764760,0 days 00:00:00.012456,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.02085377821393523,2026-04-18 18:00:20.764932,2026-04-18 18:00:20.778540,0 days 00:00:00.013608,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.11129369584702718,2026-04-18 18:00:20.778697,2026-04-18 18:00:21.184264,0 days 00:00:00.405567,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.11129369584702718,2026-04-18 18:00:21.184453,2026-04-18 18:00:21.565849,0 days 00:00:00.381396,,0.17998506335222095,,0.997051699031053,IForest,,192.0,,,COMPLETE
13,0.06796344035622218,2026-04-18 18:00:21.566045,2026-04-18 18:00:21.981245,0 days 00:00:00.415200,,0.024527898153562742,,0.7736713234533222,IForest,,181.0,,,COMPLETE
14,0.10374586852735954,2026-04-18 18:00:21.981451,2026-04-18 18:00:22.338522,0 days 00:00:00.357071,,0.09936984958228698,,0.34597217662356505,IForest,,152.0,,,COMPLETE
