number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.024271844660194174,2026-04-24 14:12:13.359614,2026-04-24 14:12:13.552454,0 days 00:00:00.192840,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.006769564040075819,2026-04-24 14:12:13.552672,2026-04-24 14:12:13.775392,0 days 00:00:00.222720,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.00945945945945946,2026-04-24 14:12:13.775600,2026-04-24 14:12:13.810129,0 days 00:00:00.034529,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.202119792950456,2026-04-24 14:12:13.810309,2026-04-24 14:12:14.037550,0 days 00:00:00.227241,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.19193233571893298,2026-04-24 14:12:14.037842,2026-04-24 14:12:14.966180,0 days 00:00:00.928338,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.01219181793551883,2026-04-24 14:12:14.966369,2026-04-24 14:12:15.513889,0 days 00:00:00.547520,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.3228529225575016,2026-04-24 14:12:15.514122,2026-04-24 14:12:15.956749,0 days 00:00:00.442627,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0013561160835367507,2026-04-24 14:12:15.957056,2026-04-24 14:12:15.969665,0 days 00:00:00.012609,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.2035096271021204,2026-04-24 14:12:15.969845,2026-04-24 14:12:16.136011,0 days 00:00:00.166166,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.09074867658179984,2026-04-24 14:12:16.136254,2026-04-24 14:12:16.170708,0 days 00:00:00.034454,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.028037383177570093,2026-04-24 14:12:16.170923,2026-04-24 14:12:16.205515,0 days 00:00:00.034592,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.3265434691306174,2026-04-24 14:12:16.205716,2026-04-24 14:12:16.669645,0 days 00:00:00.463929,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.3254499790707409,2026-04-24 14:12:16.669854,2026-04-24 14:12:17.148282,0 days 00:00:00.478428,,0.17998506335222095,,0.997051699031053,IForest,,192.0,,,COMPLETE
13,0.11904761904761904,2026-04-24 14:12:17.148489,2026-04-24 14:12:17.642609,0 days 00:00:00.494120,,0.0243897042982637,,0.8109715399222327,IForest,,196.0,,,COMPLETE
14,0.3154774507728139,2026-04-24 14:12:17.642828,2026-04-24 14:12:18.010462,0 days 00:00:00.367634,,0.16953867479922408,,0.40461158038518974,IForest,,154.0,,,COMPLETE
15,0.030658491069048253,2026-04-24 14:12:18.010681,2026-04-24 14:12:18.045486,0 days 00:00:00.034805,,0.013424584154280014,,,ECOD,,,,,COMPLETE
16,0.244246124941287,2026-04-24 14:12:18.045674,2026-04-24 14:12:18.561332,0 days 00:00:00.515658,,0.09681165729706535,,0.8147100018818704,IForest,,200.0,,,COMPLETE
17,0.12131489694756066,2026-04-24 14:12:18.561525,2026-04-24 14:12:18.883581,0 days 00:00:00.322056,,0.025440403205472473,,0.9972115722232049,IForest,,126.0,,,COMPLETE
18,0.15350877192982457,2026-04-24 14:12:18.883791,2026-04-24 14:12:19.310704,0 days 00:00:00.426913,,0.03430458455555391,,0.8199258979028818,IForest,,165.0,,,COMPLETE
19,0.0534045393858478,2026-04-24 14:12:19.310923,2026-04-24 14:12:19.666167,0 days 00:00:00.355244,,0.007786513505009941,14.0,,LOF,,,44.0,,COMPLETE
20,0.1544082979726544,2026-04-24 14:12:19.666362,2026-04-24 14:12:19.701246,0 days 00:00:00.034884,,0.09761663292330354,,,ECOD,,,,,COMPLETE
21,0.3388968043964991,2026-04-24 14:12:19.701451,2026-04-24 14:12:20.129046,0 days 00:00:00.427595,,0.19894698132622327,,0.9818721857450945,IForest,,169.0,,,COMPLETE
22,0.3381840541094487,2026-04-24 14:12:20.129237,2026-04-24 14:12:20.594671,0 days 00:00:00.465434,,0.19531329722207635,,0.8798306599942693,IForest,,183.0,,,COMPLETE
23,0.2432748538011696,2026-04-24 14:12:20.594867,2026-04-24 14:12:20.966947,0 days 00:00:00.372080,,0.09971485454077705,,0.8663824937108778,IForest,,143.0,,,COMPLETE
24,0.25885872066267834,2026-04-24 14:12:20.967163,2026-04-24 14:12:21.416526,0 days 00:00:00.449363,,0.11191751267063735,,0.7077576175708232,IForest,,176.0,,,COMPLETE
