number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.0,2026-04-24 14:12:39.131980,2026-04-24 14:12:39.156759,0 days 00:00:00.024779,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0013520822065981612,2026-04-24 14:12:39.156955,2026-04-24 14:12:39.165614,0 days 00:00:00.008659,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0026925148088314485,2026-04-24 14:12:39.165784,2026-04-24 14:12:39.174974,0 days 00:00:00.009190,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.11324470704086657,2026-04-24 14:12:39.175138,2026-04-24 14:12:39.388564,0 days 00:00:00.213426,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.1674428919937902,2026-04-24 14:12:39.388767,2026-04-24 14:12:39.394117,0 days 00:00:00.005350,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-24 14:12:39.394270,2026-04-24 14:12:39.468362,0 days 00:00:00.074092,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.22514868309260833,2026-04-24 14:12:39.468562,2026-04-24 14:12:39.908479,0 days 00:00:00.439917,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0067842605156037995,2026-04-24 14:12:39.908684,2026-04-24 14:12:39.913727,0 days 00:00:00.005043,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.14103507480990923,2026-04-24 14:12:39.913906,2026-04-24 14:12:40.088615,0 days 00:00:00.174709,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0635593220338983,2026-04-24 14:12:40.088808,2026-04-24 14:12:40.097554,0 days 00:00:00.008746,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.029356818788364023,2026-04-24 14:12:40.097766,2026-04-24 14:12:40.108020,0 days 00:00:00.010254,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.18280739934711643,2026-04-24 14:12:40.108196,2026-04-24 14:12:40.117779,0 days 00:00:00.009583,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.1898869212716023,2026-04-24 14:12:40.117970,2026-04-24 14:12:40.128001,0 days 00:00:00.010031,0.49623881942137704,0.18255130435497313,,,HBOS,50.0,,,0.8539382619776563,COMPLETE
13,0.04904559915164369,2026-04-24 14:12:40.128185,2026-04-24 14:12:40.630766,0 days 00:00:00.502581,,0.01956291363650499,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.21265771265771266,2026-04-24 14:12:40.630956,2026-04-24 14:12:40.641089,0 days 00:00:00.010133,,0.1989058004810467,,,ECOD,,,,,COMPLETE
15,0.049595405899243016,2026-04-24 14:12:40.641274,2026-04-24 14:12:40.651040,0 days 00:00:00.009766,,0.027421114385917815,,,ECOD,,,,,COMPLETE
16,0.026845637583892617,2026-04-24 14:12:40.651250,2026-04-24 14:12:40.661950,0 days 00:00:00.010700,,0.009442640435834046,,,ECOD,,,,,COMPLETE
17,0.1493747105141269,2026-04-24 14:12:40.662131,2026-04-24 14:12:41.106061,0 days 00:00:00.443930,,0.09825005130624256,,0.3235101194541304,IForest,,169.0,,,COMPLETE
18,0.05908040071923966,2026-04-24 14:12:41.106252,2026-04-24 14:12:41.116635,0 days 00:00:00.010383,,0.03552888839001809,,,ECOD,,,,,COMPLETE
19,0.17105871474803513,2026-04-24 14:12:41.116830,2026-04-24 14:12:41.473517,0 days 00:00:00.356687,,0.10730238726559596,,0.7242718721848225,IForest,,135.0,,,COMPLETE
20,0.026867275658248254,2026-04-24 14:12:41.473706,2026-04-24 14:12:41.483969,0 days 00:00:00.010263,,0.0078623890631114,,,ECOD,,,,,COMPLETE
21,0.17483272177854522,2026-04-24 14:12:41.484160,2026-04-24 14:12:41.494028,0 days 00:00:00.009868,0.021100468655599752,0.1991209331470552,,,HBOS,5.0,,,0.8922132554275863,COMPLETE
22,0.1343389111477728,2026-04-24 14:12:41.494207,2026-04-24 14:12:41.503568,0 days 00:00:00.009361,0.28381130569122404,0.10926292968473991,,,HBOS,34.0,,,0.8916307037078459,COMPLETE
23,0.2609323432343234,2026-04-24 14:12:41.503724,2026-04-24 14:12:41.557988,0 days 00:00:00.054264,,0.19350580311027996,10.0,,LOF,,,54.0,,COMPLETE
24,0.1403465950695631,2026-04-24 14:12:41.558204,2026-04-24 14:12:41.611224,0 days 00:00:00.053020,,0.07359851693827846,16.0,,LOF,,,56.0,,COMPLETE
