number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.014884979702300407,2026-04-24 14:12:48.810317,2026-04-24 14:12:48.835687,0 days 00:00:00.025370,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.004051863857374392,2026-04-24 14:12:48.835929,2026-04-24 14:12:48.845335,0 days 00:00:00.009406,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.005392289026691831,2026-04-24 14:12:48.845548,2026-04-24 14:12:48.854864,0 days 00:00:00.009316,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.07380073800738007,2026-04-24 14:12:48.855055,2026-04-24 14:12:49.088148,0 days 00:00:00.233093,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.15376106194690264,2026-04-24 14:12:49.088356,2026-04-24 14:12:49.093583,0 days 00:00:00.005227,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0040683482506102524,2026-04-24 14:12:49.093749,2026-04-24 14:12:49.165622,0 days 00:00:00.071873,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.2260127931769723,2026-04-24 14:12:49.165841,2026-04-24 14:12:49.619748,0 days 00:00:00.453907,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0013557483731019523,2026-04-24 14:12:49.619950,2026-04-24 14:12:49.624813,0 days 00:00:00.004863,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.09111056390051711,2026-04-24 14:12:49.624947,2026-04-24 14:12:49.800953,0 days 00:00:00.176006,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.06030150753768844,2026-04-24 14:12:49.801176,2026-04-24 14:12:49.810066,0 days 00:00:00.008890,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.021327645961077047,2026-04-24 14:12:49.810236,2026-04-24 14:12:49.820445,0 days 00:00:00.010209,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.1685148945422918,2026-04-24 14:12:49.820700,2026-04-24 14:12:49.832806,0 days 00:00:00.012106,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.18522438611346317,2026-04-24 14:12:49.833015,2026-04-24 14:12:49.844467,0 days 00:00:00.011452,0.49623881942137704,0.18255130435497313,,,HBOS,50.0,,,0.8539382619776563,COMPLETE
13,0.025032938076416336,2026-04-24 14:12:49.844651,2026-04-24 14:12:50.383397,0 days 00:00:00.538746,,0.01956291363650499,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.21235125153877718,2026-04-24 14:12:50.383594,2026-04-24 14:12:50.393568,0 days 00:00:00.009974,,0.1989058004810467,,,ECOD,,,,,COMPLETE
15,0.028690662493479395,2026-04-24 14:12:50.393733,2026-04-24 14:12:50.403721,0 days 00:00:00.009988,,0.027421114385917815,,,ECOD,,,,,COMPLETE
16,0.01607717041800643,2026-04-24 14:12:50.403905,2026-04-24 14:12:50.413802,0 days 00:00:00.009897,,0.009442640435834046,,,ECOD,,,,,COMPLETE
17,0.11339724105681552,2026-04-24 14:12:50.413982,2026-04-24 14:12:50.868211,0 days 00:00:00.454229,,0.09825005130624256,,0.3235101194541304,IForest,,169.0,,,COMPLETE
18,0.029646816189739623,2026-04-24 14:12:50.868413,2026-04-24 14:12:50.878818,0 days 00:00:00.010405,,0.03552888839001809,,,ECOD,,,,,COMPLETE
19,0.14262333411269582,2026-04-24 14:12:50.878975,2026-04-24 14:12:51.268867,0 days 00:00:00.389892,,0.10730238726559596,,0.7242718721848225,IForest,,135.0,,,COMPLETE
20,0.016107382550335572,2026-04-24 14:12:51.269072,2026-04-24 14:12:51.278922,0 days 00:00:00.009850,,0.0078623890631114,,,ECOD,,,,,COMPLETE
21,0.09778201764846173,2026-04-24 14:12:51.279073,2026-04-24 14:12:51.290247,0 days 00:00:00.011174,0.021100468655599752,0.1991209331470552,,,HBOS,5.0,,,0.8922132554275863,COMPLETE
22,0.1070840197693575,2026-04-24 14:12:51.290457,2026-04-24 14:12:51.303013,0 days 00:00:00.012556,0.28381130569122404,0.10926292968473991,,,HBOS,34.0,,,0.8916307037078459,COMPLETE
23,0.2722567287784679,2026-04-24 14:12:51.303230,2026-04-24 14:12:51.352928,0 days 00:00:00.049698,,0.19350580311027996,10.0,,LOF,,,54.0,,COMPLETE
24,0.1603182256509161,2026-04-24 14:12:51.353122,2026-04-24 14:12:51.403590,0 days 00:00:00.050468,,0.07359851693827846,16.0,,LOF,,,56.0,,COMPLETE
