number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.013487995683841382,2026-04-24 14:13:08.742733,2026-04-24 14:13:08.765104,0 days 00:00:00.022371,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.008073196986006458,2026-04-24 14:13:08.765307,2026-04-24 14:13:08.774408,0 days 00:00:00.009101,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.014749262536873156,2026-04-24 14:13:08.774594,2026-04-24 14:13:08.783686,0 days 00:00:00.009092,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.08893762183235868,2026-04-24 14:13:08.783873,2026-04-24 14:13:09.019933,0 days 00:00:00.236060,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.15445719329214475,2026-04-24 14:13:09.020124,2026-04-24 14:13:09.025970,0 days 00:00:00.005846,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.002697599136768276,2026-04-24 14:13:09.026154,2026-04-24 14:13:09.096150,0 days 00:00:00.069996,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.21067118356976497,2026-04-24 14:13:09.096372,2026-04-24 14:13:09.565702,0 days 00:00:00.469330,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.002701242571582928,2026-04-24 14:13:09.565889,2026-04-24 14:13:09.571606,0 days 00:00:00.005717,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.09376522162688748,2026-04-24 14:13:09.571846,2026-04-24 14:13:09.761369,0 days 00:00:00.189523,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.06876719179794949,2026-04-24 14:13:09.761575,2026-04-24 14:13:09.770693,0 days 00:00:00.009118,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.02775574940523394,2026-04-24 14:13:09.770866,2026-04-24 14:13:09.781796,0 days 00:00:00.010930,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.17524881003894419,2026-04-24 14:13:09.782047,2026-04-24 14:13:09.792262,0 days 00:00:00.010215,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.18526360364175312,2026-04-24 14:13:09.792440,2026-04-24 14:13:09.801836,0 days 00:00:00.009396,0.49623881942137704,0.18255130435497313,,,HBOS,50.0,,,0.8539382619776563,COMPLETE
13,0.035202086049543675,2026-04-24 14:13:09.801972,2026-04-24 14:13:10.348279,0 days 00:00:00.546307,,0.01956291363650499,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.20073364581210515,2026-04-24 14:13:10.348478,2026-04-24 14:13:10.358974,0 days 00:00:00.010496,,0.1989058004810467,,,ECOD,,,,,COMPLETE
15,0.04265770423991727,2026-04-24 14:13:10.359184,2026-04-24 14:13:10.369850,0 days 00:00:00.010666,,0.027421114385917815,,,ECOD,,,,,COMPLETE
16,0.01993090619186819,2026-04-24 14:13:10.370006,2026-04-24 14:13:10.380674,0 days 00:00:00.010668,,0.009442640435834046,,,ECOD,,,,,COMPLETE
17,0.12282734646581692,2026-04-24 14:13:10.380824,2026-04-24 14:13:10.849150,0 days 00:00:00.468326,,0.09825005130624256,,0.3235101194541304,IForest,,169.0,,,COMPLETE
18,0.05115089514066496,2026-04-24 14:13:10.849370,2026-04-24 14:13:10.860072,0 days 00:00:00.010702,,0.03552888839001809,,,ECOD,,,,,COMPLETE
19,0.13249651324965134,2026-04-24 14:13:10.860284,2026-04-24 14:13:11.264479,0 days 00:00:00.404195,,0.10730238726559596,,0.7242718721848225,IForest,,135.0,,,COMPLETE
20,0.010678056593699947,2026-04-24 14:13:11.264719,2026-04-24 14:13:11.275256,0 days 00:00:00.010537,,0.0078623890631114,,,ECOD,,,,,COMPLETE
21,0.10983874737088105,2026-04-24 14:13:11.275466,2026-04-24 14:13:11.285184,0 days 00:00:00.009718,0.021100468655599752,0.1991209331470552,,,HBOS,5.0,,,0.8922132554275863,COMPLETE
22,0.11789181692094314,2026-04-24 14:13:11.285349,2026-04-24 14:13:11.294576,0 days 00:00:00.009227,0.28381130569122404,0.10926292968473991,,,HBOS,34.0,,,0.8916307037078459,COMPLETE
23,0.2138871667699938,2026-04-24 14:13:11.294723,2026-04-24 14:13:11.344729,0 days 00:00:00.050006,,0.19350580311027996,10.0,,LOF,,,54.0,,COMPLETE
24,0.11822307141151182,2026-04-24 14:13:11.344996,2026-04-24 14:13:11.394474,0 days 00:00:00.049478,,0.07359851693827846,16.0,,LOF,,,56.0,,COMPLETE
