number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.013458950201884253,2026-04-24 14:13:11.524992,2026-04-24 14:13:12.036742,0 days 00:00:00.511750,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0013458950201884253,2026-04-24 14:13:12.036993,2026-04-24 14:13:12.043797,0 days 00:00:00.006804,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0013419216317767043,2026-04-24 14:13:12.043958,2026-04-24 14:13:12.050988,0 days 00:00:00.007030,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.08537490720118783,2026-04-24 14:13:12.051146,2026-04-24 14:13:12.166702,0 days 00:00:00.115556,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.08337420304070622,2026-04-24 14:13:12.166955,2026-04-24 14:13:12.171860,0 days 00:00:00.004905,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0027041644131963224,2026-04-24 14:13:12.172076,2026-04-24 14:13:12.768732,0 days 00:00:00.596656,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.14492753623188406,2026-04-24 14:13:12.768938,2026-04-24 14:13:12.974902,0 days 00:00:00.205964,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-24 14:13:12.975150,2026-04-24 14:13:12.979678,0 days 00:00:00.004528,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.09540117416829745,2026-04-24 14:13:12.979842,2026-04-24 14:13:13.067079,0 days 00:00:00.087237,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.056546871073133956,2026-04-24 14:13:13.067260,2026-04-24 14:13:13.073929,0 days 00:00:00.006669,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.010573618821041502,2026-04-24 14:13:13.074060,2026-04-24 14:13:13.081318,0 days 00:00:00.007258,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.14492753623188406,2026-04-24 14:13:13.081467,2026-04-24 14:13:13.299056,0 days 00:00:00.217589,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.14492753623188406,2026-04-24 14:13:13.299267,2026-04-24 14:13:13.521404,0 days 00:00:00.222137,,0.17998506335222095,,0.997051699031053,IForest,,192.0,,,COMPLETE
13,0.03895092183848351,2026-04-24 14:13:13.521605,2026-04-24 14:13:13.751559,0 days 00:00:00.229954,,0.024527898153562742,,0.7736713234533222,IForest,,181.0,,,COMPLETE
14,0.10714285714285714,2026-04-24 14:13:13.751766,2026-04-24 14:13:13.946975,0 days 00:00:00.195209,,0.09936984958228698,,0.34597217662356505,IForest,,152.0,,,COMPLETE
15,0.03229974160206718,2026-04-24 14:13:13.947194,2026-04-24 14:13:13.955540,0 days 00:00:00.008346,,0.027421114385917815,,,ECOD,,,,,COMPLETE
16,0.013326226012793176,2026-04-24 14:13:13.955726,2026-04-24 14:13:14.144251,0 days 00:00:00.188525,,0.008603601957366596,,0.8269207755765879,IForest,,141.0,,,COMPLETE
17,0.14492753623188406,2026-04-24 14:13:14.144466,2026-04-24 14:13:14.356742,0 days 00:00:00.212276,,0.1942987161861178,,0.9124072274075682,IForest,,166.0,,,COMPLETE
18,0.050051334702258726,2026-04-24 14:13:14.356974,2026-04-24 14:13:14.512269,0 days 00:00:00.155295,,0.033162620931752464,,0.44848271995072686,IForest,,111.0,,,COMPLETE
19,0.04764357455575586,2026-04-24 14:13:14.512556,2026-04-24 14:13:15.137521,0 days 00:00:00.624965,,0.10221540528889135,14.0,,LOF,,,44.0,,COMPLETE
20,0.11821974965229486,2026-04-24 14:13:15.137745,2026-04-24 14:13:15.146246,0 days 00:00:00.008501,,0.1074492469751725,,,ECOD,,,,,COMPLETE
21,0.14492753623188406,2026-04-24 14:13:15.146430,2026-04-24 14:13:15.403557,0 days 00:00:00.257127,,0.19894698132622327,,0.9818721857450945,IForest,,200.0,,,COMPLETE
22,0.11821974965229486,2026-04-24 14:13:15.403776,2026-04-24 14:13:15.647283,0 days 00:00:00.243507,,0.11791140255874852,,0.8408896612624778,IForest,,192.0,,,COMPLETE
23,0.08225324027916252,2026-04-24 14:13:15.647494,2026-04-24 14:13:15.862421,0 days 00:00:00.214927,,0.05654597245850864,,0.985112054444957,IForest,,169.0,,,COMPLETE
24,0.14492753623188406,2026-04-24 14:13:15.862653,2026-04-24 14:13:16.119222,0 days 00:00:00.256569,,0.14082028689471293,,0.7077576175708232,IForest,,200.0,,,COMPLETE
