number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.005415651232060655,2026-04-24 14:13:49.225211,2026-04-24 14:13:49.250904,0 days 00:00:00.025693,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.005402485143165856,2026-04-24 14:13:49.251139,2026-04-24 14:13:49.260411,0 days 00:00:00.009272,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.005402485143165856,2026-04-24 14:13:49.260648,2026-04-24 14:13:49.269347,0 days 00:00:00.008699,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.10796723752792256,2026-04-24 14:13:49.269588,2026-04-24 14:13:49.488348,0 days 00:00:00.218760,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.18020969855832242,2026-04-24 14:13:49.488564,2026-04-24 14:13:49.494070,0 days 00:00:00.005506,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0040683482506102524,2026-04-24 14:13:49.494244,2026-04-24 14:13:49.570603,0 days 00:00:00.076359,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.22505307855626328,2026-04-24 14:13:49.570903,2026-04-24 14:13:50.029625,0 days 00:00:00.458722,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.006776904310111141,2026-04-24 14:13:50.029821,2026-04-24 14:13:50.035532,0 days 00:00:00.005711,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.1327760019670519,2026-04-24 14:13:50.035808,2026-04-24 14:13:50.210501,0 days 00:00:00.174693,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.07198787572619349,2026-04-24 14:13:50.210721,2026-04-24 14:13:50.219676,0 days 00:00:00.008955,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.03183023872679045,2026-04-24 14:13:50.219852,2026-04-24 14:13:50.232028,0 days 00:00:00.012176,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.18236429950654365,2026-04-24 14:13:50.232231,2026-04-24 14:13:50.243512,0 days 00:00:00.011281,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.18885840894703523,2026-04-24 14:13:50.243722,2026-04-24 14:13:50.254224,0 days 00:00:00.010502,0.49623881942137704,0.18255130435497313,,,HBOS,50.0,,,0.8539382619776563,COMPLETE
13,0.043813064259160914,2026-04-24 14:13:50.254443,2026-04-24 14:13:50.773342,0 days 00:00:00.518899,,0.01956291363650499,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.18660584698320548,2026-04-24 14:13:50.773548,2026-04-24 14:13:50.783401,0 days 00:00:00.009853,,0.1989058004810467,,,ECOD,,,,,COMPLETE
15,0.03415659485023647,2026-04-24 14:13:50.783580,2026-04-24 14:13:50.792805,0 days 00:00:00.009225,0.022920361358845703,0.027421114385917815,,,HBOS,34.0,,,0.8955120904234664,COMPLETE
16,0.12160566706021252,2026-04-24 14:13:50.792941,2026-04-24 14:13:51.236154,0 days 00:00:00.443213,,0.09362654613664895,,0.30741954841485813,IForest,,166.0,,,COMPLETE
17,0.03413865546218487,2026-04-24 14:13:51.236436,2026-04-24 14:13:51.248114,0 days 00:00:00.011678,0.28654130621470114,0.03670701766143751,,,HBOS,6.0,,,0.6526360617697046,COMPLETE
18,0.03204272363150868,2026-04-24 14:13:51.248318,2026-04-24 14:13:51.639700,0 days 00:00:00.391382,,0.009289159715129917,,0.7449105408093936,IForest,,133.0,,,COMPLETE
19,0.20346223021582735,2026-04-24 14:13:51.639893,2026-04-24 14:13:51.692123,0 days 00:00:00.052230,,0.10891625818341821,10.0,,LOF,,,49.0,,COMPLETE
20,0.17293059718699563,2026-04-24 14:13:51.692364,2026-04-24 14:13:51.740343,0 days 00:00:00.047979,,0.09915998137775595,15.0,,LOF,,,48.0,,COMPLETE
21,0.17190346083788707,2026-04-24 14:13:51.740528,2026-04-24 14:13:51.794313,0 days 00:00:00.053785,,0.10455251283027477,50.0,,LOF,,,54.0,,COMPLETE
22,0.21243291592128802,2026-04-24 14:13:51.794565,2026-04-24 14:13:51.844647,0 days 00:00:00.050082,,0.12515920288794463,42.0,,LOF,,,46.0,,COMPLETE
23,0.14560770156438027,2026-04-24 14:13:51.844875,2026-04-24 14:13:51.893268,0 days 00:00:00.048393,,0.06991960433679259,44.0,,LOF,,,46.0,,COMPLETE
24,0.11071519470603207,2026-04-24 14:13:51.893468,2026-04-24 14:13:51.932046,0 days 00:00:00.038578,,0.03541755571686883,11.0,,LOF,,,30.0,,COMPLETE
