number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.0040683482506102524,2026-04-24 14:14:12.078244,2026-04-24 14:14:12.102379,0 days 00:00:00.024135,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.01079913606911447,2026-04-24 14:14:12.102609,2026-04-24 14:14:12.111512,0 days 00:00:00.008903,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.012122844827586207,2026-04-24 14:14:12.111677,2026-04-24 14:14:12.120462,0 days 00:00:00.008785,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.12285012285012285,2026-04-24 14:14:12.120697,2026-04-24 14:14:12.355132,0 days 00:00:00.234435,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.19662321008762557,2026-04-24 14:14:12.355345,2026-04-24 14:14:12.360711,0 days 00:00:00.005366,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-24 14:14:12.360970,2026-04-24 14:14:12.441239,0 days 00:00:00.080269,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.23333333333333334,2026-04-24 14:14:12.441456,2026-04-24 14:14:12.895441,0 days 00:00:00.453985,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.004071661237785016,2026-04-24 14:14:12.895636,2026-04-24 14:14:12.901786,0 days 00:00:00.006150,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.13977439921530163,2026-04-24 14:14:12.901910,2026-04-24 14:14:13.082370,0 days 00:00:00.180460,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.07644110275689223,2026-04-24 14:14:13.082559,2026-04-24 14:14:13.091990,0 days 00:00:00.009431,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.02260037224142515,2026-04-24 14:14:13.092165,2026-04-24 14:14:13.103420,0 days 00:00:00.011255,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.1795429815016322,2026-04-24 14:14:13.103596,2026-04-24 14:14:13.114418,0 days 00:00:00.010822,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.19741031628104436,2026-04-24 14:14:13.114639,2026-04-24 14:14:13.125997,0 days 00:00:00.011358,0.46475779951576934,0.17081219265120692,,,HBOS,50.0,,,0.06231997266844902,COMPLETE
13,0.03866666666666667,2026-04-24 14:14:13.126196,2026-04-24 14:14:13.649758,0 days 00:00:00.523562,,0.018741943903449996,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.20241691842900303,2026-04-24 14:14:13.649965,2026-04-24 14:14:13.660069,0 days 00:00:00.010104,,0.19885937173278856,,,ECOD,,,,,COMPLETE
15,0.057009587976159626,2026-04-24 14:14:13.660234,2026-04-24 14:14:13.670093,0 days 00:00:00.009859,,0.027421114385917815,,,ECOD,,,,,COMPLETE
16,0.10829063809967396,2026-04-24 14:14:13.670243,2026-04-24 14:14:13.680142,0 days 00:00:00.009899,,0.09681165729706535,,,ECOD,,,,,COMPLETE
17,0.07896077432501274,2026-04-24 14:14:13.680324,2026-04-24 14:14:14.124760,0 days 00:00:00.444436,,0.03608931619288565,,0.3235101194541304,IForest,,169.0,,,COMPLETE
18,0.013440860215053764,2026-04-24 14:14:14.124965,2026-04-24 14:14:14.135803,0 days 00:00:00.010838,,0.008229813191132196,,,ECOD,,,,,COMPLETE
19,0.17608897126969417,2026-04-24 14:14:14.135985,2026-04-24 14:14:14.504765,0 days 00:00:00.368780,,0.10729518610236842,,0.7242718721848225,IForest,,135.0,,,COMPLETE
20,0.19246519246519248,2026-04-24 14:14:14.504960,2026-04-24 14:14:14.515036,0 days 00:00:00.010076,,0.19632584745372814,,,ECOD,,,,,COMPLETE
21,0.04477218856992363,2026-04-24 14:14:14.515215,2026-04-24 14:14:14.524992,0 days 00:00:00.009777,0.021100468655599752,0.09351935797897934,,,HBOS,5.0,,,0.07191857296343059,COMPLETE
22,0.22326915198689062,2026-04-24 14:14:14.525194,2026-04-24 14:14:14.536286,0 days 00:00:00.011092,0.28381130569122404,0.19955966007436998,,,HBOS,34.0,,,0.8429458414611918,COMPLETE
23,0.16308119361554477,2026-04-24 14:14:14.536480,2026-04-24 14:14:14.592549,0 days 00:00:00.056069,,0.10771289204588916,10.0,,LOF,,,54.0,,COMPLETE
24,0.1073170731707317,2026-04-24 14:14:14.592773,2026-04-24 14:14:14.967010,0 days 00:00:00.374237,,0.062689289531367,,0.3963968356247332,IForest,,135.0,,,COMPLETE
