number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.040160642570281124,2026-04-28 10:41:51.013712,2026-04-28 10:41:51.038286,0 days 00:00:00.024574,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:41:51.038467,2026-04-28 10:41:51.046640,0 days 00:00:00.008173,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:41:51.046774,2026-04-28 10:41:51.055230,0 days 00:00:00.008456,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.0,2026-04-28 10:41:51.055347,2026-04-28 10:41:51.281106,0 days 00:00:00.225759,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.03216911764705882,2026-04-28 10:41:51.281313,2026-04-28 10:41:51.286713,0 days 00:00:00.005400,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:41:51.286887,2026-04-28 10:41:51.366361,0 days 00:00:00.079474,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.04504504504504504,2026-04-28 10:41:51.366567,2026-04-28 10:41:51.824876,0 days 00:00:00.458309,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:41:51.825095,2026-04-28 10:41:51.830908,0 days 00:00:00.005813,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.007776049766718507,2026-04-28 10:41:51.831118,2026-04-28 10:41:52.007909,0 days 00:00:00.176791,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0,2026-04-28 10:41:52.008117,2026-04-28 10:41:52.017534,0 days 00:00:00.009417,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.0,2026-04-28 10:41:52.017747,2026-04-28 10:41:52.029439,0 days 00:00:00.011692,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.22653721682847897,2026-04-28 10:41:52.029637,2026-04-28 10:41:52.056807,0 days 00:00:00.027170,,0.012927742897515939,74.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 10:41:52.057023,2026-04-28 10:41:52.568031,0 days 00:00:00.511008,,0.011463351731636382,,0.9946538658222362,IForest,,192.0,,,COMPLETE
13,0.22435897435897437,2026-04-28 10:41:52.568265,2026-04-28 10:41:52.595317,0 days 00:00:00.027052,,0.02611135453907413,80.0,,LOF,,,7.0,,COMPLETE
14,0.2356902356902357,2026-04-28 10:41:52.595547,2026-04-28 10:41:52.621897,0 days 00:00:00.026350,,0.026418852973627078,80.0,,LOF,,,5.0,,COMPLETE
15,0.01730103806228374,2026-04-28 10:41:52.622115,2026-04-28 10:41:52.664932,0 days 00:00:00.042817,,0.007458078200161142,61.0,,LOF,,,31.0,,COMPLETE
16,0.07792207792207792,2026-04-28 10:41:52.665118,2026-04-28 10:41:52.710541,0 days 00:00:00.045423,,0.026136303881134106,53.0,,LOF,,,44.0,,COMPLETE
17,0.0,2026-04-28 10:41:52.710782,2026-04-28 10:41:52.721585,0 days 00:00:00.010803,,0.028020128225050005,,,ECOD,,,,,COMPLETE
18,0.26022304832713755,2026-04-28 10:41:52.721846,2026-04-28 10:41:52.747521,0 days 00:00:00.025675,,0.006969009587684357,79.0,,LOF,,,5.0,,COMPLETE
19,0.0,2026-04-28 10:41:52.747755,2026-04-28 10:41:52.812942,0 days 00:00:00.065187,,0.006026729723154482,32.0,,LOF,,,71.0,,COMPLETE
20,0.11494252873563218,2026-04-28 10:41:52.813171,2026-04-28 10:41:52.850786,0 days 00:00:00.037615,,0.019113724588356834,11.0,,LOF,,,31.0,,COMPLETE
21,0.24475524475524477,2026-04-28 10:41:52.851041,2026-04-28 10:41:52.876523,0 days 00:00:00.025482,,0.010261405716708994,80.0,,LOF,,,7.0,,COMPLETE
22,0.0,2026-04-28 10:41:52.876701,2026-04-28 10:41:52.914495,0 days 00:00:00.037794,,0.008502079739575718,78.0,,LOF,,,23.0,,COMPLETE
23,0.01968503937007874,2026-04-28 10:41:52.914739,2026-04-28 10:41:52.949150,0 days 00:00:00.034411,,0.003860193619152007,62.0,,LOF,,,19.0,,COMPLETE
24,0.0,2026-04-28 10:41:52.949363,2026-04-28 10:41:52.959920,0 days 00:00:00.010557,0.01780004897700621,0.04135233228755522,,,HBOS,5.0,,,0.876305428647995,COMPLETE
