number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.05514705882352941,2026-04-28 10:44:08.043420,2026-04-28 10:44:08.067738,0 days 00:00:00.024318,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:44:08.067940,2026-04-28 10:44:08.076725,0 days 00:00:00.008785,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:44:08.076901,2026-04-28 10:44:08.086188,0 days 00:00:00.009287,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.05223880597014925,2026-04-28 10:44:08.086389,2026-04-28 10:44:08.317336,0 days 00:00:00.230947,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.05893019038984588,2026-04-28 10:44:08.317553,2026-04-28 10:44:08.323118,0 days 00:00:00.005565,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:44:08.323338,2026-04-28 10:44:08.409575,0 days 00:00:00.086237,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.05707762557077625,2026-04-28 10:44:08.409785,2026-04-28 10:44:08.854125,0 days 00:00:00.444340,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:44:08.854364,2026-04-28 10:44:08.859386,0 days 00:00:00.005022,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.05043227665706052,2026-04-28 10:44:08.859553,2026-04-28 10:44:09.035142,0 days 00:00:00.175589,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.03663003663003663,2026-04-28 10:44:09.035364,2026-04-28 10:44:09.043854,0 days 00:00:00.008490,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.0,2026-04-28 10:44:09.044006,2026-04-28 10:44:09.054006,0 days 00:00:00.010000,0.4752032107761113,0.012278360049275504,,,HBOS,49.0,,,0.6780195427084439,COMPLETE
11,0.05043227665706052,2026-04-28 10:44:09.054198,2026-04-28 10:44:09.064026,0 days 00:00:00.009828,,0.18679109439464212,,,ECOD,,,,,COMPLETE
12,0.05627705627705628,2026-04-28 10:44:09.064215,2026-04-28 10:44:09.074501,0 days 00:00:00.010286,0.4402826399226849,0.17081219265120692,,,HBOS,50.0,,,0.06231997266844902,COMPLETE
13,0.032327586206896554,2026-04-28 10:44:09.074686,2026-04-28 10:44:09.586203,0 days 00:00:00.511517,,0.030029357605426847,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.04945054945054945,2026-04-28 10:44:09.586412,2026-04-28 10:44:09.596741,0 days 00:00:00.010329,,0.10735989294486782,,,ECOD,,,,,COMPLETE
15,0.01488095238095238,2026-04-28 10:44:09.596940,2026-04-28 10:44:09.607352,0 days 00:00:00.010412,0.022920361358845703,0.01863068988109257,,,HBOS,34.0,,,0.4483994360546658,COMPLETE
16,0.04766949152542373,2026-04-28 10:44:09.607615,2026-04-28 10:44:10.040696,0 days 00:00:00.433081,,0.11250591795238775,,0.30741954841485813,IForest,,166.0,,,COMPLETE
17,0.0,2026-04-28 10:44:10.040930,2026-04-28 10:44:10.051017,0 days 00:00:00.010087,0.3151505254871888,0.0322836229726869,,,HBOS,6.0,,,0.8337807701753166,COMPLETE
18,0.014705882352941176,2026-04-28 10:44:10.051261,2026-04-28 10:44:10.411269,0 days 00:00:00.360008,,0.00970510885758953,,0.7449105408093936,IForest,,133.0,,,COMPLETE
19,0.08188331627430911,2026-04-28 10:44:10.411478,2026-04-28 10:44:10.463367,0 days 00:00:00.051889,,0.10668968956942121,10.0,,LOF,,,49.0,,COMPLETE
20,0.08417508417508418,2026-04-28 10:44:10.463565,2026-04-28 10:44:10.512428,0 days 00:00:00.048863,,0.09913688325269752,15.0,,LOF,,,48.0,,COMPLETE
21,0.08741258741258741,2026-04-28 10:44:10.512629,2026-04-28 10:44:10.564377,0 days 00:00:00.051748,,0.09528040612064619,10.0,,LOF,,,50.0,,COMPLETE
22,0.08985879332477535,2026-04-28 10:44:10.564576,2026-04-28 10:44:10.616873,0 days 00:00:00.052297,,0.08321521547311327,12.0,,LOF,,,51.0,,COMPLETE
23,0.07393715341959335,2026-04-28 10:44:10.617085,2026-04-28 10:44:10.666818,0 days 00:00:00.049733,,0.04564489825544125,10.0,,LOF,,,48.0,,COMPLETE
24,0.09162303664921466,2026-04-28 10:44:10.667017,2026-04-28 10:44:10.719451,0 days 00:00:00.052434,,0.07480014229805991,10.0,,LOF,,,51.0,,COMPLETE
