number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.13108614232209737,2026-04-28 10:45:29.045578,2026-04-28 10:45:29.069778,0 days 00:00:00.024200,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:45:29.069985,2026-04-28 10:45:29.079225,0 days 00:00:00.009240,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:45:29.079411,2026-04-28 10:45:29.088557,0 days 00:00:00.009146,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.05247376311844078,2026-04-28 10:45:29.088776,2026-04-28 10:45:29.317832,0 days 00:00:00.229056,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.033444816053511704,2026-04-28 10:45:29.318028,2026-04-28 10:45:29.323451,0 days 00:00:00.005423,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:45:29.323624,2026-04-28 10:45:29.397203,0 days 00:00:00.073579,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.04961020552799433,2026-04-28 10:45:29.397392,2026-04-28 10:45:29.851117,0 days 00:00:00.453725,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:45:29.851335,2026-04-28 10:45:29.857010,0 days 00:00:00.005675,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.06598240469208211,2026-04-28 10:45:29.857205,2026-04-28 10:45:30.036651,0 days 00:00:00.179446,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.03683241252302026,2026-04-28 10:45:30.036876,2026-04-28 10:45:30.046131,0 days 00:00:00.009255,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.3804347826086957,2026-04-28 10:45:30.046349,2026-04-28 10:45:30.071809,0 days 00:00:00.025460,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.3763440860215054,2026-04-28 10:45:30.072030,2026-04-28 10:45:30.098284,0 days 00:00:00.026254,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.046153846153846156,2026-04-28 10:45:30.098494,2026-04-28 10:45:30.108828,0 days 00:00:00.010334,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.3763440860215054,2026-04-28 10:45:30.109003,2026-04-28 10:45:30.135157,0 days 00:00:00.026154,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.14836795252225518,2026-04-28 10:45:30.135373,2026-04-28 10:45:30.174813,0 days 00:00:00.039440,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.016129032258064516,2026-04-28 10:45:30.175043,2026-04-28 10:45:30.228453,0 days 00:00:00.053410,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.0351288056206089,2026-04-28 10:45:30.228663,2026-04-28 10:45:30.239149,0 days 00:00:00.010486,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.17482517482517482,2026-04-28 10:45:30.239343,2026-04-28 10:45:30.275672,0 days 00:00:00.036329,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.3804347826086957,2026-04-28 10:45:30.275873,2026-04-28 10:45:30.299612,0 days 00:00:00.023739,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.07142857142857142,2026-04-28 10:45:30.299823,2026-04-28 10:45:30.343833,0 days 00:00:00.044010,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.053763440860215055,2026-04-28 10:45:30.344044,2026-04-28 10:45:30.354796,0 days 00:00:00.010752,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.36971830985915494,2026-04-28 10:45:30.354983,2026-04-28 10:45:30.379045,0 days 00:00:00.024062,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.1694915254237288,2026-04-28 10:45:30.379259,2026-04-28 10:45:30.413661,0 days 00:00:00.034402,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.04297994269340974,2026-04-28 10:45:30.413903,2026-04-28 10:45:30.498051,0 days 00:00:00.084148,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.09090909090909091,2026-04-28 10:45:30.498293,2026-04-28 10:45:30.530195,0 days 00:00:00.031902,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
