number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.0,2026-04-28 10:45:08.890612,2026-04-28 10:45:08.913702,0 days 00:00:00.023090,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:45:08.913891,2026-04-28 10:45:08.922834,0 days 00:00:00.008943,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:45:08.923075,2026-04-28 10:45:08.932233,0 days 00:00:00.009158,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.015360983102918587,2026-04-28 10:45:08.932488,2026-04-28 10:45:09.172180,0 days 00:00:00.239692,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.03274087932647334,2026-04-28 10:45:09.172390,2026-04-28 10:45:09.178188,0 days 00:00:00.005798,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:45:09.178385,2026-04-28 10:45:09.249596,0 days 00:00:00.071211,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.03997093023255814,2026-04-28 10:45:09.249853,2026-04-28 10:45:09.709156,0 days 00:00:00.459303,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:45:09.709368,2026-04-28 10:45:09.714479,0 days 00:00:00.005111,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.036284470246734396,2026-04-28 10:45:09.714647,2026-04-28 10:45:09.893880,0 days 00:00:00.179233,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0,2026-04-28 10:45:09.894102,2026-04-28 10:45:09.903296,0 days 00:00:00.009194,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.0,2026-04-28 10:45:09.903485,2026-04-28 10:45:09.913933,0 days 00:00:00.010448,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.04619758351101635,2026-04-28 10:45:09.914124,2026-04-28 10:45:10.437021,0 days 00:00:00.522897,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.04261363636363636,2026-04-28 10:45:10.437244,2026-04-28 10:45:10.957090,0 days 00:00:00.519846,,0.17998506335222095,,0.997051699031053,IForest,,192.0,,,COMPLETE
13,0.0,2026-04-28 10:45:10.957316,2026-04-28 10:45:11.518009,0 days 00:00:00.560693,,0.0243897042982637,,0.8109715399222327,IForest,,196.0,,,COMPLETE
14,0.04062038404726736,2026-04-28 10:45:11.518210,2026-04-28 10:45:11.941881,0 days 00:00:00.423671,,0.16953867479922408,,0.40461158038518974,IForest,,154.0,,,COMPLETE
15,0.0,2026-04-28 10:45:11.942084,2026-04-28 10:45:11.952863,0 days 00:00:00.010779,,0.013424584154280014,,,ECOD,,,,,COMPLETE
16,0.0468384074941452,2026-04-28 10:45:11.953051,2026-04-28 10:45:12.512049,0 days 00:00:00.558998,,0.09681165729706535,,0.8147100018818704,IForest,,200.0,,,COMPLETE
17,0.01098901098901099,2026-04-28 10:45:12.512258,2026-04-28 10:45:12.865423,0 days 00:00:00.353165,,0.03203577487336038,,0.7717049042583516,IForest,,123.0,,,COMPLETE
18,0.03382949932341001,2026-04-28 10:45:12.865623,2026-04-28 10:45:13.321511,0 days 00:00:00.455888,,0.07884510374971754,,0.8246143997466128,IForest,,160.0,,,COMPLETE
19,0.059453032104637336,2026-04-28 10:45:13.321720,2026-04-28 10:45:13.364699,0 days 00:00:00.042979,,0.10221540528889135,14.0,,LOF,,,44.0,,COMPLETE
20,0.017857142857142856,2026-04-28 10:45:13.364919,2026-04-28 10:45:13.412829,0 days 00:00:00.047910,,0.007014106804771264,10.0,,LOF,,,49.0,,COMPLETE
21,0.059453032104637336,2026-04-28 10:45:13.413067,2026-04-28 10:45:13.459016,0 days 00:00:00.045949,,0.09891831002985742,49.0,,LOF,,,44.0,,COMPLETE
22,0.05089058524173028,2026-04-28 10:45:13.459250,2026-04-28 10:45:13.504528,0 days 00:00:00.045278,,0.0991524945238775,53.0,,LOF,,,46.0,,COMPLETE
23,0.021321961620469083,2026-04-28 10:45:13.504798,2026-04-28 10:45:13.550269,0 days 00:00:00.045471,,0.03207096394345319,52.0,,LOF,,,46.0,,COMPLETE
24,0.07075471698113207,2026-04-28 10:45:13.550465,2026-04-28 10:45:13.593584,0 days 00:00:00.043119,,0.10301645892295637,50.0,,LOF,,,40.0,,COMPLETE
