number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.0984251968503937,2026-04-28 10:46:36.709620,2026-04-28 10:46:36.733120,0 days 00:00:00.023500,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:46:36.733320,2026-04-28 10:46:36.742140,0 days 00:00:00.008820,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:46:36.742330,2026-04-28 10:46:36.750818,0 days 00:00:00.008488,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.059084194977843424,2026-04-28 10:46:36.751082,2026-04-28 10:46:36.975057,0 days 00:00:00.223975,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.07104795737122557,2026-04-28 10:46:36.975299,2026-04-28 10:46:36.981389,0 days 00:00:00.006090,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:46:36.981576,2026-04-28 10:46:37.059812,0 days 00:00:00.078236,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.07894736842105263,2026-04-28 10:46:37.060020,2026-04-28 10:46:37.516049,0 days 00:00:00.456029,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:46:37.516269,2026-04-28 10:46:37.521620,0 days 00:00:00.005351,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.07823613086770982,2026-04-28 10:46:37.522005,2026-04-28 10:46:37.695460,0 days 00:00:00.173455,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.05725190839694656,2026-04-28 10:46:37.695682,2026-04-28 10:46:37.705086,0 days 00:00:00.009404,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.37037037037037035,2026-04-28 10:46:37.705263,2026-04-28 10:46:37.730876,0 days 00:00:00.025613,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.3597122302158273,2026-04-28 10:46:37.731129,2026-04-28 10:46:37.757651,0 days 00:00:00.026522,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.03194888178913738,2026-04-28 10:46:37.757855,2026-04-28 10:46:37.768486,0 days 00:00:00.010631,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.3597122302158273,2026-04-28 10:46:37.768679,2026-04-28 10:46:37.794467,0 days 00:00:00.025788,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.04201680672268908,2026-04-28 10:46:37.794658,2026-04-28 10:46:37.833394,0 days 00:00:00.038736,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.0,2026-04-28 10:46:37.833587,2026-04-28 10:46:37.886417,0 days 00:00:00.052830,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.05063291139240506,2026-04-28 10:46:37.886633,2026-04-28 10:46:37.897020,0 days 00:00:00.010387,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.06772009029345373,2026-04-28 10:46:37.897234,2026-04-28 10:46:37.932481,0 days 00:00:00.035247,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.37037037037037035,2026-04-28 10:46:37.932678,2026-04-28 10:46:37.955776,0 days 00:00:00.023098,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.0,2026-04-28 10:46:37.955979,2026-04-28 10:46:37.996885,0 days 00:00:00.040906,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.019455252918287938,2026-04-28 10:46:37.997174,2026-04-28 10:46:38.009051,0 days 00:00:00.011877,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.35587188612099646,2026-04-28 10:46:38.009290,2026-04-28 10:46:38.035579,0 days 00:00:00.026289,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.09554140127388536,2026-04-28 10:46:38.035802,2026-04-28 10:46:38.070321,0 days 00:00:00.034519,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.014367816091954023,2026-04-28 10:46:38.070550,2026-04-28 10:46:38.156703,0 days 00:00:00.086153,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.018518518518518517,2026-04-28 10:46:38.156913,2026-04-28 10:46:38.187908,0 days 00:00:00.030995,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
