number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.3148148148148148,2026-04-28 11:11:29.187426,2026-04-28 11:11:29.210063,0 days 00:00:00.022637,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:11:29.210227,2026-04-28 11:11:29.218266,0 days 00:00:00.008039,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.017985611510791366,2026-04-28 11:11:29.218394,2026-04-28 11:11:29.226471,0 days 00:00:00.008077,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.03273322422258593,2026-04-28 11:11:29.226613,2026-04-28 11:11:29.432163,0 days 00:00:00.205550,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.04017857142857143,2026-04-28 11:11:29.432344,2026-04-28 11:11:29.437279,0 days 00:00:00.004935,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:11:29.437407,2026-04-28 11:11:29.511636,0 days 00:00:00.074229,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.04669260700389105,2026-04-28 11:11:29.511824,2026-04-28 11:11:29.921236,0 days 00:00:00.409412,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:11:29.921417,2026-04-28 11:11:29.926215,0 days 00:00:00.004798,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.03231017770597738,2026-04-28 11:11:29.926361,2026-04-28 11:11:30.089557,0 days 00:00:00.163196,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.018518518518518517,2026-04-28 11:11:30.089749,2026-04-28 11:11:30.098476,0 days 00:00:00.008727,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.4078014184397163,2026-04-28 11:11:30.098639,2026-04-28 11:11:30.123907,0 days 00:00:00.025268,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.40492957746478875,2026-04-28 11:11:30.124090,2026-04-28 11:11:30.149825,0 days 00:00:00.025735,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.01557632398753894,2026-04-28 11:11:30.149993,2026-04-28 11:11:30.159597,0 days 00:00:00.009604,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.40492957746478875,2026-04-28 11:11:30.159732,2026-04-28 11:11:30.185342,0 days 00:00:00.025610,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.22364217252396165,2026-04-28 11:11:30.185504,2026-04-28 11:11:30.222179,0 days 00:00:00.036675,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.0,2026-04-28 11:11:30.222360,2026-04-28 11:11:30.272733,0 days 00:00:00.050373,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.012755102040816327,2026-04-28 11:11:30.272918,2026-04-28 11:11:30.282563,0 days 00:00:00.009645,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.21951219512195122,2026-04-28 11:11:30.282711,2026-04-28 11:11:30.316546,0 days 00:00:00.033835,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.4078014184397163,2026-04-28 11:11:30.316738,2026-04-28 11:11:30.339976,0 days 00:00:00.023238,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.05319148936170213,2026-04-28 11:11:30.340126,2026-04-28 11:11:30.378131,0 days 00:00:00.038005,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.017985611510791366,2026-04-28 11:11:30.378320,2026-04-28 11:11:30.388484,0 days 00:00:00.010164,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.40492957746478875,2026-04-28 11:11:30.388658,2026-04-28 11:11:30.414249,0 days 00:00:00.025591,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.3231292517006803,2026-04-28 11:11:30.414438,2026-04-28 11:11:30.447995,0 days 00:00:00.033557,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.0,2026-04-28 11:11:30.448231,2026-04-28 11:11:30.535249,0 days 00:00:00.087018,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.3046594982078853,2026-04-28 11:11:30.535440,2026-04-28 11:11:30.565213,0 days 00:00:00.029773,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
