number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.09727626459143969,2026-04-28 11:11:36.866988,2026-04-28 11:11:37.064834,0 days 00:00:00.197846,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:11:37.065006,2026-04-28 11:11:37.097048,0 days 00:00:00.032042,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:11:37.097220,2026-04-28 11:11:37.129593,0 days 00:00:00.032373,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.20642201834862386,2026-04-28 11:11:37.129773,2026-04-28 11:11:37.339400,0 days 00:00:00.209627,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.06276150627615062,2026-04-28 11:11:37.339586,2026-04-28 11:11:37.352865,0 days 00:00:00.013279,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.05976095617529881,2026-04-28 11:11:37.353029,2026-04-28 11:11:37.903073,0 days 00:00:00.550044,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.1297709923664122,2026-04-28 11:11:37.903269,2026-04-28 11:11:38.307723,0 days 00:00:00.404454,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.01953125,2026-04-28 11:11:38.307918,2026-04-28 11:11:38.320122,0 days 00:00:00.012204,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.2098408104196816,2026-04-28 11:11:38.320284,2026-04-28 11:11:38.485838,0 days 00:00:00.165554,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0807899461400359,2026-04-28 11:11:38.486027,2026-04-28 11:11:38.518429,0 days 00:00:00.032402,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.04792332268370607,2026-04-28 11:11:38.518588,2026-04-28 11:11:38.554463,0 days 00:00:00.035875,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.2140077821011673,2026-04-28 11:11:38.554678,2026-04-28 11:11:38.690222,0 days 00:00:00.135544,,0.045706913124722665,,0.38737137356600115,IForest,,52.0,,,COMPLETE
12,0.24249422632794457,2026-04-28 11:11:38.690436,2026-04-28 11:11:38.827893,0 days 00:00:00.137457,,0.032516499628067505,,0.3048866156321792,IForest,,55.0,,,COMPLETE
13,0.2540106951871658,2026-04-28 11:11:38.828070,2026-04-28 11:11:38.957623,0 days 00:00:00.129553,,0.020613099024185743,,0.3195051757208753,IForest,,51.0,,,COMPLETE
14,0.2180232558139535,2026-04-28 11:11:38.957806,2026-04-28 11:11:39.225365,0 days 00:00:00.267559,,0.016812729952533436,,0.30547206461224935,IForest,,114.0,,,COMPLETE
15,0.045454545454545456,2026-04-28 11:11:39.225597,2026-04-28 11:11:39.259516,0 days 00:00:00.033919,,0.015570400469121696,,,ECOD,,,,,COMPLETE
16,0.1601423487544484,2026-04-28 11:11:39.259680,2026-04-28 11:11:39.493882,0 days 00:00:00.234202,,0.006243838727697033,,0.49213948129773666,IForest,,98.0,,,COMPLETE
17,0.2576112412177986,2026-04-28 11:11:39.494080,2026-04-28 11:11:39.877935,0 days 00:00:00.383855,,0.03170847413750391,,0.5399595017864214,IForest,,166.0,,,COMPLETE
18,0.2853598014888337,2026-04-28 11:11:39.878124,2026-04-28 11:11:40.271415,0 days 00:00:00.393291,,0.02406413374294681,,0.5918472258292504,IForest,,160.0,,,COMPLETE
19,0.4067796610169492,2026-04-28 11:11:40.271623,2026-04-28 11:11:40.635454,0 days 00:00:00.363831,,0.008708714741808517,14.0,,LOF,,,44.0,,COMPLETE
20,0.39473684210526316,2026-04-28 11:11:40.635661,2026-04-28 11:11:41.076250,0 days 00:00:00.440589,,0.010116460924627965,10.0,,LOF,,,49.0,,COMPLETE
21,0.410958904109589,2026-04-28 11:11:41.076442,2026-04-28 11:11:41.452472,0 days 00:00:00.376030,,0.00783685499406736,14.0,,LOF,,,46.0,,COMPLETE
22,0.40955631399317405,2026-04-28 11:11:41.452666,2026-04-28 11:11:41.884420,0 days 00:00:00.431754,,0.008056851094887515,10.0,,LOF,,,47.0,,COMPLETE
23,0.3951890034364261,2026-04-28 11:11:41.884634,2026-04-28 11:11:42.311083,0 days 00:00:00.426449,,0.007461455736660157,12.0,,LOF,,,46.0,,COMPLETE
24,0.4227941176470588,2026-04-28 11:11:42.311304,2026-04-28 11:11:42.716776,0 days 00:00:00.405472,,0.003981320474117568,10.0,,LOF,,,42.0,,COMPLETE
