number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.09363295880149813,2026-04-28 11:12:00.958311,2026-04-28 11:12:00.982416,0 days 00:00:00.024105,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:12:00.982575,2026-04-28 11:12:00.990488,0 days 00:00:00.007913,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:12:00.990614,2026-04-28 11:12:00.998597,0 days 00:00:00.007983,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.06686478454680535,2026-04-28 11:12:00.998734,2026-04-28 11:12:01.205437,0 days 00:00:00.206703,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.06363636363636363,2026-04-28 11:12:01.205614,2026-04-28 11:12:01.210518,0 days 00:00:00.004904,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:12:01.210643,2026-04-28 11:12:01.284296,0 days 00:00:00.073653,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.06924198250728864,2026-04-28 11:12:01.284470,2026-04-28 11:12:01.698985,0 days 00:00:00.414515,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:12:01.699187,2026-04-28 11:12:01.703902,0 days 00:00:00.004715,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.07544581618655692,2026-04-28 11:12:01.704027,2026-04-28 11:12:01.868232,0 days 00:00:00.164205,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.037243947858473,2026-04-28 11:12:01.868422,2026-04-28 11:12:01.876573,0 days 00:00:00.008151,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.49295774647887325,2026-04-28 11:12:01.876698,2026-04-28 11:12:01.902480,0 days 00:00:00.025782,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.4682274247491639,2026-04-28 11:12:01.902648,2026-04-28 11:12:01.928673,0 days 00:00:00.026025,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 11:12:01.928818,2026-04-28 11:12:01.938045,0 days 00:00:00.009227,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.4682274247491639,2026-04-28 11:12:01.938174,2026-04-28 11:12:01.964551,0 days 00:00:00.026377,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.14619883040935672,2026-04-28 11:12:01.964725,2026-04-28 11:12:02.003375,0 days 00:00:00.038650,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.04966887417218543,2026-04-28 11:12:02.003572,2026-04-28 11:12:02.057129,0 days 00:00:00.053557,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.012224938875305624,2026-04-28 11:12:02.057317,2026-04-28 11:12:02.066801,0 days 00:00:00.009484,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.13184584178498987,2026-04-28 11:12:02.066935,2026-04-28 11:12:02.102335,0 days 00:00:00.035400,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.49295774647887325,2026-04-28 11:12:02.102513,2026-04-28 11:12:02.126631,0 days 00:00:00.024118,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.052083333333333336,2026-04-28 11:12:02.126795,2026-04-28 11:12:02.166545,0 days 00:00:00.039750,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.0,2026-04-28 11:12:02.166706,2026-04-28 11:12:02.176487,0 days 00:00:00.009781,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.47297297297297297,2026-04-28 11:12:02.176622,2026-04-28 11:12:02.201425,0 days 00:00:00.024803,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.3519061583577713,2026-04-28 11:12:02.201572,2026-04-28 11:12:02.229996,0 days 00:00:00.028424,,0.021154863635591208,32.0,,LOF,,,15.0,,COMPLETE
23,0.07142857142857142,2026-04-28 11:12:02.230153,2026-04-28 11:12:02.262575,0 days 00:00:00.032422,,0.007013566731196421,10.0,,LOF,,,21.0,,COMPLETE
24,0.05434782608695652,2026-04-28 11:12:02.262732,2026-04-28 11:12:02.334131,0 days 00:00:00.071399,,0.02227376158187062,32.0,,LOF,,,84.0,,COMPLETE
