number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.058365758754863814,2026-04-28 11:12:40.026777,2026-04-28 11:12:40.240541,0 days 00:00:00.213764,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.018796992481203006,2026-04-28 11:12:40.240727,2026-04-28 11:12:40.275542,0 days 00:00:00.034815,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.01773049645390071,2026-04-28 11:12:40.275733,2026-04-28 11:12:40.310195,0 days 00:00:00.034462,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.15873015873015872,2026-04-28 11:12:40.310376,2026-04-28 11:12:40.528808,0 days 00:00:00.218432,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.047332185886402756,2026-04-28 11:12:40.528994,2026-04-28 11:12:40.543036,0 days 00:00:00.014042,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.15873015873015872,2026-04-28 11:12:40.543249,2026-04-28 11:12:41.129027,0 days 00:00:00.585778,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.1,2026-04-28 11:12:41.129257,2026-04-28 11:12:41.560863,0 days 00:00:00.431606,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:12:41.561052,2026-04-28 11:12:41.574493,0 days 00:00:00.013441,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.15015015015015015,2026-04-28 11:12:41.574684,2026-04-28 11:12:41.743249,0 days 00:00:00.168565,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.06769825918762089,2026-04-28 11:12:41.743447,2026-04-28 11:12:41.777413,0 days 00:00:00.033966,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.0136986301369863,2026-04-28 11:12:41.777545,2026-04-28 11:12:41.812658,0 days 00:00:00.035113,,0.018054373833527988,,,ECOD,,,,,COMPLETE
11,0.2922077922077922,2026-04-28 11:12:41.812845,2026-04-28 11:12:42.429717,0 days 00:00:00.616872,,0.011096121254495772,15.0,,LOF,,,99.0,,COMPLETE
12,0.13333333333333333,2026-04-28 11:12:42.429916,2026-04-28 11:12:42.631432,0 days 00:00:00.201516,,0.010055113087419186,,0.4310039443727755,IForest,,78.0,,,COMPLETE
13,0.2535211267605634,2026-04-28 11:12:42.631616,2026-04-28 11:12:43.312777,0 days 00:00:00.681161,,0.019283335565628137,13.0,,LOF,,,93.0,,COMPLETE
14,0.25862068965517243,2026-04-28 11:12:43.312981,2026-04-28 11:12:44.038512,0 days 00:00:00.725531,,0.017311623440584144,10.0,,LOF,,,100.0,,COMPLETE
15,0.3050847457627119,2026-04-28 11:12:44.038703,2026-04-28 11:12:44.759690,0 days 00:00:00.720987,,0.008868069664102092,10.0,,LOF,,,98.0,,COMPLETE
16,0.3125,2026-04-28 11:12:44.759924,2026-04-28 11:12:45.236621,0 days 00:00:00.476697,,0.007389680707689747,39.0,,LOF,,,65.0,,COMPLETE
17,0.01838235294117647,2026-04-28 11:12:45.236856,2026-04-28 11:12:45.273342,0 days 00:00:00.036486,,0.006148815257855931,,,ECOD,,,,,COMPLETE
18,0.2183406113537118,2026-04-28 11:12:45.273529,2026-04-28 11:12:45.722442,0 days 00:00:00.448913,,0.033067280904310714,48.0,,LOF,,,59.0,,COMPLETE
19,0.31690140845070425,2026-04-28 11:12:45.722631,2026-04-28 11:12:46.190467,0 days 00:00:00.467836,,0.006495976948506647,42.0,,LOF,,,64.0,,COMPLETE
20,0.28957528957528955,2026-04-28 11:12:46.190666,2026-04-28 11:12:46.670760,0 days 00:00:00.480094,,0.003101606675346204,45.0,,LOF,,,66.0,,COMPLETE
21,0.2961672473867596,2026-04-28 11:12:46.670978,2026-04-28 11:12:47.022381,0 days 00:00:00.351403,,0.0067433075188852495,43.0,,LOF,,,38.0,,COMPLETE
22,0.3103448275862069,2026-04-28 11:12:47.022613,2026-04-28 11:12:47.539400,0 days 00:00:00.516787,,0.008193571549422476,32.0,,LOF,,,72.0,,COMPLETE
23,0.33088235294117646,2026-04-28 11:12:47.539599,2026-04-28 11:12:48.035411,0 days 00:00:00.495812,,0.0047552195905901425,34.0,,LOF,,,72.0,,COMPLETE
24,0.01937984496124031,2026-04-28 11:12:48.035614,2026-04-28 11:12:48.051481,0 days 00:00:00.015867,0.01780004897700621,0.004288346044589347,,,HBOS,5.0,,,0.876305428647995,COMPLETE
