number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.09259259259259259,2026-04-28 11:38:47.414382,2026-04-28 11:38:47.436168,0 days 00:00:00.021786,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:38:47.436330,2026-04-28 11:38:47.444613,0 days 00:00:00.008283,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:38:47.444743,2026-04-28 11:38:47.452831,0 days 00:00:00.008088,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.02976190476190476,2026-04-28 11:38:47.452951,2026-04-28 11:38:47.670482,0 days 00:00:00.217531,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.010582010582010581,2026-04-28 11:38:47.670680,2026-04-28 11:38:47.675580,0 days 00:00:00.004900,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:38:47.675711,2026-04-28 11:38:47.743108,0 days 00:00:00.067397,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.02109704641350211,2026-04-28 11:38:47.743301,2026-04-28 11:38:48.184598,0 days 00:00:00.441297,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:38:48.184816,2026-04-28 11:38:48.189687,0 days 00:00:00.004871,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.027675276752767528,2026-04-28 11:38:48.189816,2026-04-28 11:38:48.362366,0 days 00:00:00.172550,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.01278772378516624,2026-04-28 11:38:48.362589,2026-04-28 11:38:48.371262,0 days 00:00:00.008673,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.7228915662650602,2026-04-28 11:38:48.371409,2026-04-28 11:38:48.394424,0 days 00:00:00.023015,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.7371794871794872,2026-04-28 11:38:48.394591,2026-04-28 11:38:48.417945,0 days 00:00:00.023354,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 11:38:48.418109,2026-04-28 11:38:48.428035,0 days 00:00:00.009926,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.7272727272727273,2026-04-28 11:38:48.428189,2026-04-28 11:38:48.451737,0 days 00:00:00.023548,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.35714285714285715,2026-04-28 11:38:48.451903,2026-04-28 11:38:48.491102,0 days 00:00:00.039199,,0.026641960893341532,80.0,,LOF,,,35.0,,COMPLETE
15,0.4444444444444444,2026-04-28 11:38:48.491284,2026-04-28 11:38:48.526982,0 days 00:00:00.035698,,0.00614072248611863,53.0,,LOF,,,35.0,,COMPLETE
16,0.0199203187250996,2026-04-28 11:38:48.527179,2026-04-28 11:38:48.537296,0 days 00:00:00.010117,,0.023350809989676466,,,ECOD,,,,,COMPLETE
17,0.7876712328767124,2026-04-28 11:38:48.537454,2026-04-28 11:38:48.561173,0 days 00:00:00.023719,,0.00891276795886596,56.0,,LOF,,,5.0,,COMPLETE
18,0.2348993288590604,2026-04-28 11:38:48.561420,2026-04-28 11:38:48.597308,0 days 00:00:00.035888,,0.006939970924376007,52.0,,LOF,,,33.0,,COMPLETE
19,0.21739130434782608,2026-04-28 11:38:48.597503,2026-04-28 11:38:48.657636,0 days 00:00:00.060133,,0.02436048698338823,36.0,,LOF,,,71.0,,COMPLETE
20,0.0,2026-04-28 11:38:48.657822,2026-04-28 11:38:48.668007,0 days 00:00:00.010185,,0.00892390470724845,,,ECOD,,,,,COMPLETE
21,0.5555555555555556,2026-04-28 11:38:48.668150,2026-04-28 11:38:48.692473,0 days 00:00:00.024323,,0.01818108974662312,64.0,,LOF,,,7.0,,COMPLETE
22,0.30726256983240224,2026-04-28 11:38:48.692661,2026-04-28 11:38:48.723666,0 days 00:00:00.031005,,0.03852726857182039,63.0,,LOF,,,19.0,,COMPLETE
23,0.24752475247524752,2026-04-28 11:38:48.723848,2026-04-28 11:38:48.756950,0 days 00:00:00.033102,,0.0038123374414285155,65.0,,LOF,,,23.0,,COMPLETE
24,0.2912621359223301,2026-04-28 11:38:48.757152,2026-04-28 11:38:48.808967,0 days 00:00:00.051815,,0.016082580459798133,79.0,,LOF,,,54.0,,COMPLETE
