number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.18867924528301888,2026-04-28 11:38:48.897439,2026-04-28 11:38:49.373741,0 days 00:00:00.476302,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:38:49.373924,2026-04-28 11:38:49.380067,0 days 00:00:00.006143,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:38:49.380183,2026-04-28 11:38:49.386339,0 days 00:00:00.006156,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.012690355329949238,2026-04-28 11:38:49.386498,2026-04-28 11:38:49.487086,0 days 00:00:00.100588,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.025510204081632654,2026-04-28 11:38:49.487291,2026-04-28 11:38:49.491717,0 days 00:00:00.004426,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.10204081632653061,2026-04-28 11:38:49.491846,2026-04-28 11:38:50.035611,0 days 00:00:00.543765,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.02717391304347826,2026-04-28 11:38:50.035795,2026-04-28 11:38:50.226256,0 days 00:00:00.190461,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:38:50.226440,2026-04-28 11:38:50.230554,0 days 00:00:00.004114,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.022172949002217297,2026-04-28 11:38:50.230682,2026-04-28 11:38:50.316055,0 days 00:00:00.085373,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.012690355329949238,2026-04-28 11:38:50.316239,2026-04-28 11:38:50.323311,0 days 00:00:00.007072,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.17391304347826086,2026-04-28 11:38:50.323423,2026-04-28 11:38:50.809764,0 days 00:00:00.486341,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.17857142857142858,2026-04-28 11:38:50.810003,2026-04-28 11:38:51.294885,0 days 00:00:00.484882,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 11:38:51.295071,2026-04-28 11:38:51.302576,0 days 00:00:00.007505,,0.014457625676736549,,,ECOD,,,,,COMPLETE
13,0.16806722689075632,2026-04-28 11:38:51.302723,2026-04-28 11:38:51.791059,0 days 00:00:00.488336,,0.01028812698820072,80.0,,LOF,,,7.0,,COMPLETE
14,0.16,2026-04-28 11:38:51.791257,2026-04-28 11:38:52.281659,0 days 00:00:00.490402,,0.0035677992409019164,58.0,,LOF,,,32.0,,COMPLETE
15,0.12195121951219512,2026-04-28 11:38:52.281851,2026-04-28 11:38:52.771850,0 days 00:00:00.489999,,0.025154112075184053,58.0,,LOF,,,37.0,,COMPLETE
16,0.0,2026-04-28 11:38:52.772053,2026-04-28 11:38:52.779620,0 days 00:00:00.007567,,0.006503918861306058,,,ECOD,,,,,COMPLETE
17,0.18181818181818182,2026-04-28 11:38:52.779743,2026-04-28 11:38:53.275775,0 days 00:00:00.496032,,0.0023091031097166965,69.0,,LOF,,,21.0,,COMPLETE
18,0.17094017094017094,2026-04-28 11:38:53.275964,2026-04-28 11:38:53.779435,0 days 00:00:00.503471,,0.0022263754660466315,56.0,,LOF,,,37.0,,COMPLETE
19,0.17699115044247787,2026-04-28 11:38:53.779635,2026-04-28 11:38:54.311860,0 days 00:00:00.532225,,0.0017118791097079208,40.0,,LOF,,,71.0,,COMPLETE
20,0.0,2026-04-28 11:38:54.312046,2026-04-28 11:38:54.319521,0 days 00:00:00.007475,,0.005032335706904673,,,ECOD,,,,,COMPLETE
21,0.18181818181818182,2026-04-28 11:38:54.319663,2026-04-28 11:38:54.804222,0 days 00:00:00.484559,,0.002129640617721207,69.0,,LOF,,,18.0,,COMPLETE
22,0.17543859649122806,2026-04-28 11:38:54.804437,2026-04-28 11:38:55.292112,0 days 00:00:00.487675,,0.00240408583426636,65.0,,LOF,,,25.0,,COMPLETE
23,0.15151515151515152,2026-04-28 11:38:55.292333,2026-04-28 11:38:55.777070,0 days 00:00:00.484737,,0.0010155398607706579,67.0,,LOF,,,23.0,,COMPLETE
24,0.14285714285714285,2026-04-28 11:38:55.777262,2026-04-28 11:38:56.272028,0 days 00:00:00.494766,,0.006527092787202634,68.0,,LOF,,,57.0,,COMPLETE
