number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.25,2026-04-28 11:38:58.878311,2026-04-28 11:38:58.902661,0 days 00:00:00.024350,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.04504504504504504,2026-04-28 11:38:58.902856,2026-04-28 11:38:58.911670,0 days 00:00:00.008814,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.043478260869565216,2026-04-28 11:38:58.911856,2026-04-28 11:38:58.920412,0 days 00:00:00.008556,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.03024193548387097,2026-04-28 11:38:58.920609,2026-04-28 11:38:59.135341,0 days 00:00:00.214732,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.025,2026-04-28 11:38:59.135539,2026-04-28 11:38:59.140689,0 days 00:00:00.005150,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:38:59.140824,2026-04-28 11:38:59.214780,0 days 00:00:00.073956,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.029190992493744787,2026-04-28 11:38:59.214967,2026-04-28 11:38:59.634367,0 days 00:00:00.419400,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:38:59.634555,2026-04-28 11:38:59.639346,0 days 00:00:00.004791,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.04725897920604915,2026-04-28 11:38:59.639509,2026-04-28 11:38:59.803850,0 days 00:00:00.164341,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0410958904109589,2026-04-28 11:38:59.804048,2026-04-28 11:38:59.812446,0 days 00:00:00.008398,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.859375,2026-04-28 11:38:59.812610,2026-04-28 11:38:59.837032,0 days 00:00:00.024422,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.8518518518518519,2026-04-28 11:38:59.837222,2026-04-28 11:38:59.862079,0 days 00:00:00.024857,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.03205128205128205,2026-04-28 11:38:59.862249,2026-04-28 11:38:59.871899,0 days 00:00:00.009650,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.8518518518518519,2026-04-28 11:38:59.872062,2026-04-28 11:38:59.897158,0 days 00:00:00.025096,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.11695906432748537,2026-04-28 11:38:59.897332,2026-04-28 11:38:59.935465,0 days 00:00:00.038133,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.03571428571428571,2026-04-28 11:38:59.935658,2026-04-28 11:38:59.988184,0 days 00:00:00.052526,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.0199203187250996,2026-04-28 11:38:59.988367,2026-04-28 11:38:59.998193,0 days 00:00:00.009826,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.17080745341614906,2026-04-28 11:38:59.998335,2026-04-28 11:39:00.033351,0 days 00:00:00.035016,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.8661417322834646,2026-04-28 11:39:00.033580,2026-04-28 11:39:00.056928,0 days 00:00:00.023348,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.0,2026-04-28 11:39:00.057112,2026-04-28 11:39:00.096505,0 days 00:00:00.039393,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.044642857142857144,2026-04-28 11:39:00.096710,2026-04-28 11:39:00.106352,0 days 00:00:00.009642,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.8333333333333334,2026-04-28 11:39:00.106492,2026-04-28 11:39:00.131242,0 days 00:00:00.024750,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.2898550724637681,2026-04-28 11:39:00.131442,2026-04-28 11:39:00.163396,0 days 00:00:00.031954,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.0,2026-04-28 11:39:00.163580,2026-04-28 11:39:00.244950,0 days 00:00:00.081370,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.12096774193548387,2026-04-28 11:39:00.245159,2026-04-28 11:39:00.274791,0 days 00:00:00.029632,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
