number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.03816793893129771,2026-04-28 11:39:06.103743,2026-04-28 11:39:06.288939,0 days 00:00:00.185196,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.03759398496240601,2026-04-28 11:39:06.289144,2026-04-28 11:39:06.321078,0 days 00:00:00.031934,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.03663003663003663,2026-04-28 11:39:06.321250,2026-04-28 11:39:06.353759,0 days 00:00:00.032509,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.18404907975460122,2026-04-28 11:39:06.353927,2026-04-28 11:39:06.570338,0 days 00:00:00.216411,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.07172995780590717,2026-04-28 11:39:06.570520,2026-04-28 11:39:06.583365,0 days 00:00:00.012845,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.21235521235521235,2026-04-28 11:39:06.583525,2026-04-28 11:39:07.099643,0 days 00:00:00.516118,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.11850152905198777,2026-04-28 11:39:07.099831,2026-04-28 11:39:07.523967,0 days 00:00:00.424136,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.01968503937007874,2026-04-28 11:39:07.524154,2026-04-28 11:39:07.536301,0 days 00:00:00.012147,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.17069701280227595,2026-04-28 11:39:07.536475,2026-04-28 11:39:07.702869,0 days 00:00:00.166394,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.06679389312977099,2026-04-28 11:39:07.703052,2026-04-28 11:39:07.735718,0 days 00:00:00.032666,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.3343465045592705,2026-04-28 11:39:07.735884,2026-04-28 11:39:08.295271,0 days 00:00:00.559387,,0.012278360049275504,15.0,,LOF,,,98.0,,COMPLETE
11,0.32608695652173914,2026-04-28 11:39:08.295470,2026-04-28 11:39:08.918814,0 days 00:00:00.623344,,0.011233584196728298,12.0,,LOF,,,99.0,,COMPLETE
12,0.09433962264150944,2026-04-28 11:39:08.919013,2026-04-28 11:39:08.952604,0 days 00:00:00.033591,,0.012473386195615808,,,ECOD,,,,,COMPLETE
13,0.3264094955489614,2026-04-28 11:39:08.952791,2026-04-28 11:39:09.567267,0 days 00:00:00.614476,,0.013083800167748908,12.0,,LOF,,,98.0,,COMPLETE
14,0.2564102564102564,2026-04-28 11:39:09.567452,2026-04-28 11:39:10.073341,0 days 00:00:00.505889,,0.026641960893341532,10.0,,LOF,,,71.0,,COMPLETE
15,0.34539473684210525,2026-04-28 11:39:10.073540,2026-04-28 11:39:10.486707,0 days 00:00:00.413167,,0.007795893358622733,38.0,,LOF,,,66.0,,COMPLETE
16,0.06968641114982578,2026-04-28 11:39:10.486894,2026-04-28 11:39:10.520791,0 days 00:00:00.033897,,0.006503918861306058,,,ECOD,,,,,COMPLETE
17,0.25547445255474455,2026-04-28 11:39:10.520984,2026-04-28 11:39:10.852022,0 days 00:00:00.331038,,0.02161065129252701,47.0,,LOF,,,45.0,,COMPLETE
18,0.35,2026-04-28 11:39:10.852213,2026-04-28 11:39:11.242616,0 days 00:00:00.390403,,0.006674619025368454,42.0,,LOF,,,59.0,,COMPLETE
19,0.35353535353535354,2026-04-28 11:39:11.242801,2026-04-28 11:39:11.596210,0 days 00:00:00.353409,,0.0064519376741650585,44.0,,LOF,,,52.0,,COMPLETE
20,0.056179775280898875,2026-04-28 11:39:11.596435,2026-04-28 11:39:11.630764,0 days 00:00:00.034329,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.3488372093023256,2026-04-28 11:39:11.630942,2026-04-28 11:39:12.007454,0 days 00:00:00.376512,,0.0070581320380868505,46.0,,LOF,,,57.0,,COMPLETE
22,0.3460207612456747,2026-04-28 11:39:12.007626,2026-04-28 11:39:12.335075,0 days 00:00:00.327449,,0.0047539953061380355,53.0,,LOF,,,45.0,,COMPLETE
23,0.3488372093023256,2026-04-28 11:39:12.335292,2026-04-28 11:39:12.764527,0 days 00:00:00.429235,,0.007030639863142183,57.0,,LOF,,,61.0,,COMPLETE
24,0.26252983293556087,2026-04-28 11:39:12.764735,2026-04-28 11:39:13.035155,0 days 00:00:00.270420,,0.022973886786386455,37.0,,LOF,,,32.0,,COMPLETE
