threshold,tp,fp,fn,precision,recall,f2
0.2543,46,86,26,0.3485,0.6389,0.5476
0.2578,46,86,26,0.3485,0.6389,0.5476
0.2614,46,86,26,0.3485,0.6389,0.5476
0.2649,46,86,26,0.3485,0.6389,0.5476
0.2684,46,86,26,0.3485,0.6389,0.5476
0.2719,46,86,26,0.3485,0.6389,0.5476
0.2755,46,66,26,0.4107,0.6389,0.575
0.279,46,66,26,0.4107,0.6389,0.575
0.2825,46,66,26,0.4107,0.6389,0.575
0.2861,46,66,26,0.4107,0.6389,0.575
0.2896,46,66,26,0.4107,0.6389,0.575
0.2931,46,66,26,0.4107,0.6389,0.575
0.2966,46,66,26,0.4107,0.6389,0.575
0.3002,46,66,26,0.4107,0.6389,0.575
0.3037,46,66,26,0.4107,0.6389,0.575
0.3072,46,66,26,0.4107,0.6389,0.575
0.3108,45,66,27,0.4054,0.625,0.5639
0.3143,45,66,27,0.4054,0.625,0.5639
0.3178,44,66,28,0.4,0.6111,0.5528
0.3213,44,66,28,0.4,0.6111,0.5528
0.3249,44,66,28,0.4,0.6111,0.5528
0.3284,44,66,28,0.4,0.6111,0.5528
0.3319,43,66,29,0.3945,0.5972,0.5416
0.3355,42,66,30,0.3889,0.5833,0.5303
0.339,42,66,30,0.3889,0.5833,0.5303
0.3425,42,66,30,0.3889,0.5833,0.5303
0.346,42,66,30,0.3889,0.5833,0.5303
0.3496,42,66,30,0.3889,0.5833,0.5303
0.3531,40,66,32,0.3774,0.5556,0.5076
0.3566,40,66,32,0.3774,0.5556,0.5076
0.3602,40,66,32,0.3774,0.5556,0.5076
0.3637,40,47,32,0.4598,0.5556,0.5333
0.3672,40,47,32,0.4598,0.5556,0.5333
0.3708,40,47,32,0.4598,0.5556,0.5333
0.3743,40,47,32,0.4598,0.5556,0.5333
0.3778,40,47,32,0.4598,0.5556,0.5333
0.3813,40,47,32,0.4598,0.5556,0.5333
0.3849,40,47,32,0.4598,0.5556,0.5333
0.3884,40,47,32,0.4598,0.5556,0.5333
0.3919,40,47,32,0.4598,0.5556,0.5333
0.3955,40,47,32,0.4598,0.5556,0.5333
0.399,39,47,33,0.4535,0.5417,0.5214
0.4025,39,47,33,0.4535,0.5417,0.5214
0.406,39,47,33,0.4535,0.5417,0.5214
0.4096,39,47,33,0.4535,0.5417,0.5214
0.4131,39,47,33,0.4535,0.5417,0.5214
0.4166,38,47,34,0.4471,0.5278,0.5094
0.4202,38,47,34,0.4471,0.5278,0.5094
0.4237,38,47,34,0.4471,0.5278,0.5094
0.4272,38,47,34,0.4471,0.5278,0.5094
0.4307,37,47,35,0.4405,0.5139,0.4973
0.4343,36,47,36,0.4337,0.5,0.4852
0.4378,35,47,37,0.4268,0.4861,0.473
0.4413,35,47,37,0.4268,0.4861,0.473
0.4449,35,47,37,0.4268,0.4861,0.473
0.4484,35,30,37,0.5385,0.4861,0.4958
0.4519,35,30,37,0.5385,0.4861,0.4958
0.4554,35,30,37,0.5385,0.4861,0.4958
0.459,33,30,39,0.5238,0.4583,0.4701
0.4625,33,30,39,0.5238,0.4583,0.4701
0.466,33,30,39,0.5238,0.4583,0.4701
0.4696,32,30,40,0.5161,0.4444,0.4571
0.4731,32,30,40,0.5161,0.4444,0.4571
0.4766,31,30,41,0.5082,0.4306,0.4441
0.4801,31,30,41,0.5082,0.4306,0.4441
0.4837,30,30,42,0.5,0.4167,0.431
0.4872,30,30,42,0.5,0.4167,0.431
0.4907,29,30,43,0.4915,0.4028,0.4179
0.4943,29,30,43,0.4915,0.4028,0.4179
0.4978,29,30,43,0.4915,0.4028,0.4179
0.5013,29,30,43,0.4915,0.4028,0.4179
0.5048,29,30,43,0.4915,0.4028,0.4179
0.5084,29,30,43,0.4915,0.4028,0.4179
0.5119,27,30,45,0.4737,0.375,0.3913
0.5154,27,30,45,0.4737,0.375,0.3913
0.519,27,30,45,0.4737,0.375,0.3913
0.5225,26,30,46,0.4643,0.3611,0.3779
0.526,26,30,46,0.4643,0.3611,0.3779
0.5295,26,30,46,0.4643,0.3611,0.3779
0.5331,26,30,46,0.4643,0.3611,0.3779
0.5366,25,30,47,0.4545,0.3472,0.3644
0.5401,25,30,47,0.4545,0.3472,0.3644
0.5437,25,30,47,0.4545,0.3472,0.3644
0.5472,25,13,47,0.6579,0.3472,0.3834
0.5507,25,13,47,0.6579,0.3472,0.3834
0.5542,24,13,48,0.6486,0.3333,0.3692
0.5578,23,13,49,0.6389,0.3194,0.3549
0.5613,22,13,50,0.6286,0.3056,0.3406
0.5648,22,13,50,0.6286,0.3056,0.3406
0.5684,22,13,50,0.6286,0.3056,0.3406
0.5719,21,13,51,0.6176,0.2917,0.3261
0.5754,20,13,52,0.6061,0.2778,0.3115
0.5789,20,13,52,0.6061,0.2778,0.3115
0.5825,18,13,54,0.5806,0.25,0.2821
0.586,18,13,54,0.5806,0.25,0.2821
0.5895,18,13,54,0.5806,0.25,0.2821
0.5931,18,13,54,0.5806,0.25,0.2821
0.5966,18,13,54,0.5806,0.25,0.2821
0.6001,18,13,54,0.5806,0.25,0.2821
0.6036,17,13,55,0.5667,0.2361,0.2673
0.6072,17,13,55,0.5667,0.2361,0.2673
0.6107,17,13,55,0.5667,0.2361,0.2673
0.6142,17,13,55,0.5667,0.2361,0.2673
0.6178,17,13,55,0.5667,0.2361,0.2673
0.6213,17,13,55,0.5667,0.2361,0.2673
0.6248,17,13,55,0.5667,0.2361,0.2673
0.6283,17,13,55,0.5667,0.2361,0.2673
0.6319,17,13,55,0.5667,0.2361,0.2673
0.6354,17,13,55,0.5667,0.2361,0.2673
0.6389,17,13,55,0.5667,0.2361,0.2673
0.6425,17,13,55,0.5667,0.2361,0.2673
0.646,17,13,55,0.5667,0.2361,0.2673
0.6495,17,13,55,0.5667,0.2361,0.2673
0.6531,17,13,55,0.5667,0.2361,0.2673
0.6566,17,13,55,0.5667,0.2361,0.2673
0.6601,17,13,55,0.5667,0.2361,0.2673
0.6636,17,13,55,0.5667,0.2361,0.2673
0.6672,16,13,56,0.5517,0.2222,0.2524
0.6707,16,13,56,0.5517,0.2222,0.2524
0.6742,16,13,56,0.5517,0.2222,0.2524
0.6778,16,13,56,0.5517,0.2222,0.2524
0.6813,16,13,56,0.5517,0.2222,0.2524
0.6848,16,13,56,0.5517,0.2222,0.2524
0.6883,16,13,56,0.5517,0.2222,0.2524
0.6919,15,13,57,0.5357,0.2083,0.2373
0.6954,15,13,57,0.5357,0.2083,0.2373
0.6989,15,13,57,0.5357,0.2083,0.2373
0.7025,15,13,57,0.5357,0.2083,0.2373
0.706,15,13,57,0.5357,0.2083,0.2373
0.7095,15,13,57,0.5357,0.2083,0.2373
0.713,15,13,57,0.5357,0.2083,0.2373
0.7166,15,13,57,0.5357,0.2083,0.2373
0.7201,15,13,57,0.5357,0.2083,0.2373
0.7236,15,13,57,0.5357,0.2083,0.2373
0.7272,15,13,57,0.5357,0.2083,0.2373
0.7307,15,13,57,0.5357,0.2083,0.2373
0.7342,15,13,57,0.5357,0.2083,0.2373
0.7377,15,13,57,0.5357,0.2083,0.2373
0.7413,15,13,57,0.5357,0.2083,0.2373
0.7448,14,13,58,0.5185,0.1944,0.2222
0.7483,14,13,58,0.5185,0.1944,0.2222
0.7519,13,13,59,0.5,0.1806,0.207
0.7554,12,13,60,0.48,0.1667,0.1917
0.7589,11,13,61,0.4583,0.1528,0.1763
0.7624,11,13,61,0.4583,0.1528,0.1763
0.766,10,13,62,0.4348,0.1389,0.1608
0.7695,10,13,62,0.4348,0.1389,0.1608
0.773,10,13,62,0.4348,0.1389,0.1608
0.7766,10,13,62,0.4348,0.1389,0.1608
0.7801,10,13,62,0.4348,0.1389,0.1608
0.7836,10,13,62,0.4348,0.1389,0.1608
0.7871,10,13,62,0.4348,0.1389,0.1608
0.7907,10,13,62,0.4348,0.1389,0.1608
0.7942,9,13,63,0.4091,0.125,0.1452
0.7977,9,13,63,0.4091,0.125,0.1452
0.8013,9,13,63,0.4091,0.125,0.1452
0.8048,9,13,63,0.4091,0.125,0.1452
0.8083,9,13,63,0.4091,0.125,0.1452
0.8118,8,13,64,0.381,0.1111,0.1294
0.8154,8,13,64,0.381,0.1111,0.1294
0.8189,8,13,64,0.381,0.1111,0.1294
0.8224,7,13,65,0.35,0.0972,0.1136
0.826,7,13,65,0.35,0.0972,0.1136
0.8295,6,13,66,0.3158,0.0833,0.0977
0.833,5,13,67,0.2778,0.0694,0.0817
0.8365,4,13,68,0.2353,0.0556,0.0656
0.8401,4,13,68,0.2353,0.0556,0.0656
0.8436,4,13,68,0.2353,0.0556,0.0656
0.8471,3,13,69,0.1875,0.0417,0.0493
0.8507,2,13,70,0.1333,0.0278,0.033
0.8542,2,13,70,0.1333,0.0278,0.033
0.8577,2,13,70,0.1333,0.0278,0.033
0.8612,2,13,70,0.1333,0.0278,0.033
0.8648,2,13,70,0.1333,0.0278,0.033
0.8683,2,13,70,0.1333,0.0278,0.033
0.8718,1,13,71,0.0714,0.0139,0.0166
0.8754,1,13,71,0.0714,0.0139,0.0166
0.8789,1,13,71,0.0714,0.0139,0.0166
0.8824,1,13,71,0.0714,0.0139,0.0166
0.8859,1,13,71,0.0714,0.0139,0.0166
0.8895,1,13,71,0.0714,0.0139,0.0166
0.893,1,13,71,0.0714,0.0139,0.0166
0.8965,1,13,71,0.0714,0.0139,0.0166
0.9001,1,13,71,0.0714,0.0139,0.0166
0.9036,1,13,71,0.0714,0.0139,0.0166
0.9071,1,13,71,0.0714,0.0139,0.0166
0.9106,1,0,71,1.0,0.0139,0.0173
0.9142,1,0,71,1.0,0.0139,0.0173
0.9177,1,0,71,1.0,0.0139,0.0173
0.9212,1,0,71,1.0,0.0139,0.0173
0.9248,1,0,71,1.0,0.0139,0.0173
