threshold,tp,fp,fn,precision,recall,f2
0.0,69,20283,0,0.0034,1.0,0.0167
0.005,12,0,57,1.0,0.1739,0.2083
0.0099,12,0,57,1.0,0.1739,0.2083
0.0149,12,0,57,1.0,0.1739,0.2083
0.0199,12,0,57,1.0,0.1739,0.2083
0.0249,12,0,57,1.0,0.1739,0.2083
0.0298,12,0,57,1.0,0.1739,0.2083
0.0348,12,0,57,1.0,0.1739,0.2083
0.0398,12,0,57,1.0,0.1739,0.2083
0.0447,12,0,57,1.0,0.1739,0.2083
0.0497,12,0,57,1.0,0.1739,0.2083
0.0547,12,0,57,1.0,0.1739,0.2083
0.0596,12,0,57,1.0,0.1739,0.2083
0.0646,12,0,57,1.0,0.1739,0.2083
0.0696,12,0,57,1.0,0.1739,0.2083
0.0746,12,0,57,1.0,0.1739,0.2083
0.0795,12,0,57,1.0,0.1739,0.2083
0.0845,12,0,57,1.0,0.1739,0.2083
0.0895,12,0,57,1.0,0.1739,0.2083
0.0944,12,0,57,1.0,0.1739,0.2083
0.0994,12,0,57,1.0,0.1739,0.2083
0.1044,12,0,57,1.0,0.1739,0.2083
0.1094,12,0,57,1.0,0.1739,0.2083
0.1143,12,0,57,1.0,0.1739,0.2083
0.1193,12,0,57,1.0,0.1739,0.2083
0.1243,12,0,57,1.0,0.1739,0.2083
0.1292,12,0,57,1.0,0.1739,0.2083
0.1342,12,0,57,1.0,0.1739,0.2083
0.1392,12,0,57,1.0,0.1739,0.2083
0.1441,12,0,57,1.0,0.1739,0.2083
0.1491,12,0,57,1.0,0.1739,0.2083
0.1541,12,0,57,1.0,0.1739,0.2083
0.1591,12,0,57,1.0,0.1739,0.2083
0.164,12,0,57,1.0,0.1739,0.2083
0.169,12,0,57,1.0,0.1739,0.2083
0.174,12,0,57,1.0,0.1739,0.2083
0.1789,12,0,57,1.0,0.1739,0.2083
0.1839,12,0,57,1.0,0.1739,0.2083
0.1889,12,0,57,1.0,0.1739,0.2083
