threshold,tp,fp,fn,precision,recall,f2
0.0,71,20281,0,0.0035,1.0,0.0172
0.0038,56,5,15,0.918,0.7887,0.8116
0.0075,55,5,16,0.9167,0.7746,0.7994
0.0113,53,5,18,0.9138,0.7465,0.7749
0.0151,52,5,19,0.9123,0.7324,0.7625
0.0188,51,5,20,0.9107,0.7183,0.75
0.0226,50,5,21,0.9091,0.7042,0.7375
0.0264,49,5,22,0.9074,0.6901,0.7249
0.0302,45,5,26,0.9,0.6338,0.6737
0.0339,42,5,29,0.8936,0.5915,0.6344
0.0377,40,5,31,0.8889,0.5634,0.6079
0.0415,39,5,32,0.8864,0.5493,0.5945
0.0452,37,5,34,0.881,0.5211,0.5675
0.049,35,5,36,0.875,0.493,0.5401
0.0528,32,5,39,0.8649,0.4507,0.4984
0.0565,31,5,40,0.8611,0.4366,0.4844
0.0603,29,5,42,0.8529,0.4085,0.456
0.0641,29,5,42,0.8529,0.4085,0.456
0.0678,28,1,43,0.9655,0.3944,0.4473
0.0716,26,1,45,0.963,0.3662,0.418
0.0754,25,1,46,0.9615,0.3521,0.4032
0.0791,23,1,48,0.9583,0.3239,0.3734
0.0829,23,1,48,0.9583,0.3239,0.3734
0.0867,19,1,52,0.95,0.2676,0.3125
0.0905,19,1,52,0.95,0.2676,0.3125
0.0942,18,1,53,0.9474,0.2535,0.297
0.098,17,1,54,0.9444,0.2394,0.2815
0.1018,16,1,55,0.9412,0.2254,0.2658
0.1055,15,1,56,0.9375,0.2113,0.25
0.1093,15,1,56,0.9375,0.2113,0.25
0.1131,12,1,59,0.9231,0.169,0.202
0.1168,8,1,63,0.8889,0.1127,0.1365
0.1206,5,1,66,0.8333,0.0704,0.0862
0.1244,2,1,69,0.6667,0.0282,0.0348
0.1281,1,1,70,0.5,0.0141,0.0175
0.1319,1,1,70,0.5,0.0141,0.0175
0.1357,1,1,70,0.5,0.0141,0.0175
0.1394,1,1,70,0.5,0.0141,0.0175
0.1432,1,1,70,0.5,0.0141,0.0175
0.147,1,1,70,0.5,0.0141,0.0175
0.1508,1,1,70,0.5,0.0141,0.0175
0.1545,1,1,70,0.5,0.0141,0.0175
0.1583,1,1,70,0.5,0.0141,0.0175
0.1621,1,1,70,0.5,0.0141,0.0175
0.1658,1,1,70,0.5,0.0141,0.0175
0.1696,1,1,70,0.5,0.0141,0.0175
0.1734,1,1,70,0.5,0.0141,0.0175
0.1771,1,1,70,0.5,0.0141,0.0175
0.1809,1,1,70,0.5,0.0141,0.0175
0.1847,1,1,70,0.5,0.0141,0.0175
0.1884,1,1,70,0.5,0.0141,0.0175
0.1922,1,1,70,0.5,0.0141,0.0175
0.196,1,1,70,0.5,0.0141,0.0175
0.1997,1,1,70,0.5,0.0141,0.0175
0.2035,1,1,70,0.5,0.0141,0.0175
0.2073,1,1,70,0.5,0.0141,0.0175
0.2111,1,1,70,0.5,0.0141,0.0175
0.2148,1,1,70,0.5,0.0141,0.0175
0.2186,1,1,70,0.5,0.0141,0.0175
0.2224,1,1,70,0.5,0.0141,0.0175
0.2261,1,1,70,0.5,0.0141,0.0175
0.2299,1,1,70,0.5,0.0141,0.0175
0.2337,1,1,70,0.5,0.0141,0.0175
0.2374,1,1,70,0.5,0.0141,0.0175
0.2412,1,1,70,0.5,0.0141,0.0175
0.245,1,1,70,0.5,0.0141,0.0175
0.2487,1,1,70,0.5,0.0141,0.0175
0.2525,1,1,70,0.5,0.0141,0.0175
0.2563,1,1,70,0.5,0.0141,0.0175
0.2601,1,1,70,0.5,0.0141,0.0175
0.2638,1,0,70,1.0,0.0141,0.0175
0.2676,1,0,70,1.0,0.0141,0.0175
0.2714,1,0,70,1.0,0.0141,0.0175
0.2751,1,0,70,1.0,0.0141,0.0175
0.2789,1,0,70,1.0,0.0141,0.0175
