threshold,tp,fp,fn,precision,recall,f2
0.0,75,20277,0,0.0037,1.0,0.0182
0.004,71,7,4,0.9103,0.9467,0.9392
0.008,71,7,4,0.9103,0.9467,0.9392
0.0121,71,7,4,0.9103,0.9467,0.9392
0.0161,71,7,4,0.9103,0.9467,0.9392
0.0201,70,7,5,0.9091,0.9333,0.9284
0.0241,70,7,5,0.9091,0.9333,0.9284
0.0281,69,7,6,0.9079,0.92,0.9176
0.0322,69,7,6,0.9079,0.92,0.9176
0.0362,69,7,6,0.9079,0.92,0.9176
0.0402,69,7,6,0.9079,0.92,0.9176
0.0442,69,7,6,0.9079,0.92,0.9176
0.0482,69,7,6,0.9079,0.92,0.9176
0.0523,69,7,6,0.9079,0.92,0.9176
0.0563,69,7,6,0.9079,0.92,0.9176
0.0603,69,7,6,0.9079,0.92,0.9176
0.0643,69,7,6,0.9079,0.92,0.9176
0.0683,69,7,6,0.9079,0.92,0.9176
0.0724,69,7,6,0.9079,0.92,0.9176
0.0764,69,7,6,0.9079,0.92,0.9176
0.0804,67,7,8,0.9054,0.8933,0.8957
0.0844,65,7,10,0.9028,0.8667,0.8737
0.0884,64,7,11,0.9014,0.8533,0.8625
0.0925,63,7,12,0.9,0.84,0.8514
0.0965,63,7,12,0.9,0.84,0.8514
0.1005,63,7,12,0.9,0.84,0.8514
0.1045,60,7,15,0.8955,0.8,0.8174
0.1085,59,7,16,0.8939,0.7867,0.806
0.1126,59,7,16,0.8939,0.7867,0.806
0.1166,59,7,16,0.8939,0.7867,0.806
0.1206,59,7,16,0.8939,0.7867,0.806
0.1246,59,7,16,0.8939,0.7867,0.806
0.1286,59,7,16,0.8939,0.7867,0.806
0.1327,59,7,16,0.8939,0.7867,0.806
0.1367,59,7,16,0.8939,0.7867,0.806
0.1407,59,7,16,0.8939,0.7867,0.806
0.1447,59,7,16,0.8939,0.7867,0.806
0.1487,59,7,16,0.8939,0.7867,0.806
0.1528,58,7,17,0.8923,0.7733,0.7945
0.1568,58,7,17,0.8923,0.7733,0.7945
0.1608,57,7,18,0.8906,0.76,0.783
0.1648,57,7,18,0.8906,0.76,0.783
0.1688,57,7,18,0.8906,0.76,0.783
0.1729,56,7,19,0.8889,0.7467,0.7713
0.1769,54,7,21,0.8852,0.72,0.7479
0.1809,54,7,21,0.8852,0.72,0.7479
0.1849,54,7,21,0.8852,0.72,0.7479
0.1889,54,7,21,0.8852,0.72,0.7479
0.193,53,7,22,0.8833,0.7067,0.7361
0.197,53,7,22,0.8833,0.7067,0.7361
0.201,53,7,22,0.8833,0.7067,0.7361
0.205,53,7,22,0.8833,0.7067,0.7361
0.209,53,7,22,0.8833,0.7067,0.7361
0.2131,53,7,22,0.8833,0.7067,0.7361
0.2171,53,7,22,0.8833,0.7067,0.7361
0.2211,51,7,24,0.8793,0.68,0.7123
0.2251,51,7,24,0.8793,0.68,0.7123
0.2291,51,7,24,0.8793,0.68,0.7123
0.2332,51,7,24,0.8793,0.68,0.7123
0.2372,51,7,24,0.8793,0.68,0.7123
0.2412,49,7,26,0.875,0.6533,0.6882
0.2452,49,7,26,0.875,0.6533,0.6882
0.2492,49,7,26,0.875,0.6533,0.6882
0.2533,49,7,26,0.875,0.6533,0.6882
0.2573,49,7,26,0.875,0.6533,0.6882
0.2613,49,7,26,0.875,0.6533,0.6882
0.2653,49,7,26,0.875,0.6533,0.6882
0.2693,49,7,26,0.875,0.6533,0.6882
0.2734,49,7,26,0.875,0.6533,0.6882
0.2774,48,7,27,0.8727,0.64,0.6761
0.2814,47,7,28,0.8704,0.6267,0.6638
0.2854,47,7,28,0.8704,0.6267,0.6638
0.2894,47,7,28,0.8704,0.6267,0.6638
0.2935,47,7,28,0.8704,0.6267,0.6638
0.2975,47,7,28,0.8704,0.6267,0.6638
0.3015,47,7,28,0.8704,0.6267,0.6638
0.3055,47,7,28,0.8704,0.6267,0.6638
0.3095,46,7,29,0.8679,0.6133,0.6516
0.3136,46,7,29,0.8679,0.6133,0.6516
0.3176,46,7,29,0.8679,0.6133,0.6516
0.3216,45,7,30,0.8654,0.6,0.6392
0.3256,44,7,31,0.8627,0.5867,0.6268
0.3296,44,7,31,0.8627,0.5867,0.6268
0.3337,42,7,33,0.8571,0.56,0.6017
0.3377,41,7,34,0.8542,0.5467,0.5891
0.3417,41,7,34,0.8542,0.5467,0.5891
0.3457,41,7,34,0.8542,0.5467,0.5891
0.3497,41,7,34,0.8542,0.5467,0.5891
0.3538,41,7,34,0.8542,0.5467,0.5891
0.3578,41,7,34,0.8542,0.5467,0.5891
0.3618,40,7,35,0.8511,0.5333,0.5764
0.3658,40,7,35,0.8511,0.5333,0.5764
0.3698,39,7,36,0.8478,0.52,0.5636
0.3739,39,7,36,0.8478,0.52,0.5636
0.3779,38,7,37,0.8444,0.5067,0.5507
0.3819,38,7,37,0.8444,0.5067,0.5507
0.3859,38,7,37,0.8444,0.5067,0.5507
0.3899,38,4,37,0.9048,0.5067,0.5556
0.394,38,4,37,0.9048,0.5067,0.5556
0.398,38,4,37,0.9048,0.5067,0.5556
0.402,38,0,37,1.0,0.5067,0.5621
0.406,38,0,37,1.0,0.5067,0.5621
0.4101,38,0,37,1.0,0.5067,0.5621
0.4141,37,0,38,1.0,0.4933,0.549
