threshold,tp,fp,fn,precision,recall,f2
0.286,72,1370,0,0.0499,1.0,0.2081
0.2895,72,1321,0,0.0517,1.0,0.2142
0.2931,72,1284,0,0.0531,1.0,0.219
0.2966,72,1216,0,0.0559,1.0,0.2284
0.3001,72,1198,0,0.0567,1.0,0.2311
0.3037,72,1147,0,0.0591,1.0,0.2389
0.3072,72,1106,0,0.0611,1.0,0.2456
0.3107,72,1069,0,0.0631,1.0,0.2519
0.3143,72,1043,0,0.0646,1.0,0.2566
0.3178,72,1006,0,0.0668,1.0,0.2635
0.3214,72,969,0,0.0692,1.0,0.2709
0.3249,72,935,0,0.0715,1.0,0.278
0.3284,72,900,0,0.0741,1.0,0.2857
0.332,72,864,0,0.0769,1.0,0.2941
0.3355,72,849,0,0.0782,1.0,0.2978
0.3391,72,810,0,0.0816,1.0,0.3077
0.3426,72,765,0,0.086,1.0,0.32
0.3461,72,756,0,0.087,1.0,0.3226
0.3497,72,726,0,0.0902,1.0,0.3315
0.3532,72,695,0,0.0939,1.0,0.3412
0.3567,72,668,0,0.0973,1.0,0.3502
0.3603,72,646,0,0.1003,1.0,0.3579
0.3638,72,634,0,0.102,1.0,0.3622
0.3674,72,612,0,0.1053,1.0,0.3704
0.3709,72,578,0,0.1108,1.0,0.3838
0.3744,72,555,0,0.1148,1.0,0.3934
0.378,72,545,0,0.1167,1.0,0.3978
0.3815,72,528,0,0.12,1.0,0.4054
0.385,72,506,0,0.1246,1.0,0.4157
0.3886,72,481,0,0.1302,1.0,0.4281
0.3921,72,472,0,0.1324,1.0,0.4327
0.3957,72,447,0,0.1387,1.0,0.4461
0.3992,72,427,0,0.1443,1.0,0.4574
0.4027,72,417,0,0.1472,1.0,0.4633
0.4063,72,405,0,0.1509,1.0,0.4706
0.4098,72,389,0,0.1562,1.0,0.4806
0.4133,72,372,0,0.1622,1.0,0.4918
0.4169,72,360,0,0.1667,1.0,0.5
0.4204,72,343,0,0.1735,1.0,0.5121
0.424,72,326,0,0.1809,1.0,0.5248
0.4275,72,321,0,0.1832,1.0,0.5286
0.431,72,303,0,0.192,1.0,0.543
0.4346,72,291,0,0.1983,1.0,0.553
0.4381,72,278,0,0.2057,1.0,0.5643
0.4416,72,273,0,0.2087,1.0,0.5687
0.4452,72,256,0,0.2195,1.0,0.5844
0.4487,72,250,0,0.2236,1.0,0.5902
0.4523,72,240,0,0.2308,1.0,0.6
0.4558,72,228,0,0.24,1.0,0.6122
0.4593,72,215,0,0.2509,1.0,0.6261
0.4629,72,209,0,0.2562,1.0,0.6327
0.4664,72,198,0,0.2667,1.0,0.6452
0.4699,72,192,0,0.2727,1.0,0.6522
0.4735,72,184,0,0.2812,1.0,0.6618
0.477,72,170,0,0.2975,1.0,0.6792
0.4806,72,163,0,0.3064,1.0,0.6883
0.4841,72,158,0,0.313,1.0,0.695
0.4876,72,152,0,0.3214,1.0,0.7031
0.4912,72,146,0,0.3303,1.0,0.7115
0.4947,72,138,0,0.3429,1.0,0.7229
0.4983,72,131,0,0.3547,1.0,0.7332
0.5018,72,125,0,0.3655,1.0,0.7423
0.5053,72,118,0,0.3789,1.0,0.7531
0.5089,72,113,0,0.3892,1.0,0.7611
0.5124,72,107,0,0.4022,1.0,0.7709
0.5159,72,100,0,0.4186,1.0,0.7826
0.5195,72,96,0,0.4286,1.0,0.7895
0.523,72,90,0,0.4444,1.0,0.8
0.5266,72,85,0,0.4586,1.0,0.809
0.5301,72,80,0,0.4737,1.0,0.8182
0.5336,72,74,0,0.4932,1.0,0.8295
0.5372,72,70,0,0.507,1.0,0.8372
0.5407,72,66,0,0.5217,1.0,0.8451
0.5442,72,62,0,0.5373,1.0,0.8531
0.5478,72,56,0,0.5625,1.0,0.8654
0.5513,72,51,0,0.5854,1.0,0.8759
0.5549,72,46,0,0.6102,1.0,0.8867
0.5584,72,41,0,0.6372,1.0,0.8978
0.5619,72,41,0,0.6372,1.0,0.8978
0.5655,72,37,0,0.6606,1.0,0.9068
0.569,72,29,0,0.7129,1.0,0.9254
0.5725,72,26,0,0.7347,1.0,0.9326
0.5761,72,26,0,0.7347,1.0,0.9326
0.5796,72,24,0,0.75,1.0,0.9375
0.5832,72,19,0,0.7912,1.0,0.9499
0.5867,72,18,0,0.8,1.0,0.9524
0.5902,71,15,1,0.8256,0.9861,0.9492
0.5938,70,14,2,0.8333,0.9722,0.9409
0.5973,69,12,3,0.8519,0.9583,0.935
0.6008,67,9,5,0.8816,0.9306,0.9203
0.6044,66,9,6,0.88,0.9167,0.9091
0.6079,65,9,7,0.8784,0.9028,0.8978
0.6115,64,8,8,0.8889,0.8889,0.8889
0.615,62,6,10,0.9118,0.8611,0.8708
0.6185,61,5,11,0.9242,0.8472,0.8616
0.6221,60,4,12,0.9375,0.8333,0.8523
0.6256,59,3,13,0.9516,0.8194,0.8429
0.6291,58,2,14,0.9667,0.8056,0.8333
0.6327,57,0,15,1.0,0.7917,0.8261
0.6362,56,0,16,1.0,0.7778,0.814
0.6398,54,0,18,1.0,0.75,0.7895
0.6433,52,0,20,1.0,0.7222,0.7647
0.6468,52,0,20,1.0,0.7222,0.7647
0.6504,50,0,22,1.0,0.6944,0.7396
0.6539,48,0,24,1.0,0.6667,0.7143
0.6575,46,0,26,1.0,0.6389,0.6886
0.661,44,0,28,1.0,0.6111,0.6627
0.6645,44,0,28,1.0,0.6111,0.6627
0.6681,42,0,30,1.0,0.5833,0.6364
0.6716,40,0,32,1.0,0.5556,0.6098
0.6751,40,0,32,1.0,0.5556,0.6098
0.6787,38,0,34,1.0,0.5278,0.5828
0.6822,36,0,36,1.0,0.5,0.5556
0.6858,36,0,36,1.0,0.5,0.5556
0.6893,34,0,38,1.0,0.4722,0.528
0.6928,34,0,38,1.0,0.4722,0.528
0.6964,32,0,40,1.0,0.4444,0.5
0.6999,30,0,42,1.0,0.4167,0.4717
0.7034,30,0,42,1.0,0.4167,0.4717
0.707,28,0,44,1.0,0.3889,0.443
0.7105,28,0,44,1.0,0.3889,0.443
0.7141,28,0,44,1.0,0.3889,0.443
0.7176,26,0,46,1.0,0.3611,0.414
0.7211,26,0,46,1.0,0.3611,0.414
0.7247,24,0,48,1.0,0.3333,0.3846
0.7282,24,0,48,1.0,0.3333,0.3846
0.7317,22,0,50,1.0,0.3056,0.3548
0.7353,22,0,50,1.0,0.3056,0.3548
0.7388,22,0,50,1.0,0.3056,0.3548
0.7424,20,0,52,1.0,0.2778,0.3247
0.7459,20,0,52,1.0,0.2778,0.3247
0.7494,20,0,52,1.0,0.2778,0.3247
0.753,18,0,54,1.0,0.25,0.2941
0.7565,18,0,54,1.0,0.25,0.2941
0.76,18,0,54,1.0,0.25,0.2941
0.7636,16,0,56,1.0,0.2222,0.2632
0.7671,16,0,56,1.0,0.2222,0.2632
0.7707,16,0,56,1.0,0.2222,0.2632
0.7742,16,0,56,1.0,0.2222,0.2632
0.7777,14,0,58,1.0,0.1944,0.2318
0.7813,14,0,58,1.0,0.1944,0.2318
0.7848,14,0,58,1.0,0.1944,0.2318
0.7883,14,0,58,1.0,0.1944,0.2318
0.7919,12,0,60,1.0,0.1667,0.2
0.7954,12,0,60,1.0,0.1667,0.2
0.799,12,0,60,1.0,0.1667,0.2
0.8025,12,0,60,1.0,0.1667,0.2
0.806,10,0,62,1.0,0.1389,0.1678
0.8096,10,0,62,1.0,0.1389,0.1678
0.8131,10,0,62,1.0,0.1389,0.1678
0.8166,10,0,62,1.0,0.1389,0.1678
0.8202,10,0,62,1.0,0.1389,0.1678
0.8237,10,0,62,1.0,0.1389,0.1678
0.8273,8,0,64,1.0,0.1111,0.1351
0.8308,8,0,64,1.0,0.1111,0.1351
0.8343,8,0,64,1.0,0.1111,0.1351
0.8379,8,0,64,1.0,0.1111,0.1351
0.8414,8,0,64,1.0,0.1111,0.1351
0.845,8,0,64,1.0,0.1111,0.1351
0.8485,8,0,64,1.0,0.1111,0.1351
0.852,6,0,66,1.0,0.0833,0.102
0.8556,6,0,66,1.0,0.0833,0.102
0.8591,6,0,66,1.0,0.0833,0.102
0.8626,6,0,66,1.0,0.0833,0.102
0.8662,6,0,66,1.0,0.0833,0.102
0.8697,6,0,66,1.0,0.0833,0.102
0.8733,6,0,66,1.0,0.0833,0.102
0.8768,6,0,66,1.0,0.0833,0.102
0.8803,6,0,66,1.0,0.0833,0.102
0.8839,4,0,68,1.0,0.0556,0.0685
0.8874,4,0,68,1.0,0.0556,0.0685
0.8909,4,0,68,1.0,0.0556,0.0685
0.8945,4,0,68,1.0,0.0556,0.0685
0.898,4,0,68,1.0,0.0556,0.0685
0.9016,4,0,68,1.0,0.0556,0.0685
0.9051,4,0,68,1.0,0.0556,0.0685
0.9086,4,0,68,1.0,0.0556,0.0685
0.9122,4,0,68,1.0,0.0556,0.0685
0.9157,4,0,68,1.0,0.0556,0.0685
0.9192,4,0,68,1.0,0.0556,0.0685
0.9228,4,0,68,1.0,0.0556,0.0685
0.9263,2,0,70,1.0,0.0278,0.0345
0.9299,2,0,70,1.0,0.0278,0.0345
0.9334,2,0,70,1.0,0.0278,0.0345
0.9369,2,0,70,1.0,0.0278,0.0345
0.9405,2,0,70,1.0,0.0278,0.0345
0.944,2,0,70,1.0,0.0278,0.0345
0.9475,2,0,70,1.0,0.0278,0.0345
0.9511,2,0,70,1.0,0.0278,0.0345
0.9546,2,0,70,1.0,0.0278,0.0345
0.9582,2,0,70,1.0,0.0278,0.0345
0.9617,2,0,70,1.0,0.0278,0.0345
0.9652,2,0,70,1.0,0.0278,0.0345
0.9688,2,0,70,1.0,0.0278,0.0345
0.9723,2,0,70,1.0,0.0278,0.0345
0.9758,2,0,70,1.0,0.0278,0.0345
0.9794,2,0,70,1.0,0.0278,0.0345
0.9829,2,0,70,1.0,0.0278,0.0345
0.9865,2,0,70,1.0,0.0278,0.0345
0.99,2,0,70,1.0,0.0278,0.0345
