threshold,tp,fp,fn,precision,recall,f2
0.0603,65,48,9,0.5752,0.8784,0.7946
0.0641,64,48,10,0.5714,0.8649,0.7843
0.068,64,48,10,0.5714,0.8649,0.7843
0.0719,63,48,11,0.5676,0.8514,0.774
0.0758,63,48,11,0.5676,0.8514,0.774
0.0797,63,48,11,0.5676,0.8514,0.774
0.0836,63,48,11,0.5676,0.8514,0.774
0.0875,62,48,12,0.5636,0.8378,0.7635
0.0913,60,48,14,0.5556,0.8108,0.7426
0.0952,60,48,14,0.5556,0.8108,0.7426
0.0991,59,48,15,0.5514,0.7973,0.732
0.103,58,48,16,0.5472,0.7838,0.7214
0.1069,57,48,17,0.5429,0.7703,0.7107
0.1108,54,48,20,0.5294,0.7297,0.6784
0.1146,54,48,20,0.5294,0.7297,0.6784
0.1185,54,48,20,0.5294,0.7297,0.6784
0.1224,52,48,22,0.52,0.7027,0.6566
0.1263,52,48,22,0.52,0.7027,0.6566
0.1302,49,48,25,0.5052,0.6622,0.6234
0.1341,49,48,25,0.5052,0.6622,0.6234
0.138,47,48,27,0.4947,0.6351,0.601
0.1418,47,48,27,0.4947,0.6351,0.601
0.1457,46,48,28,0.4894,0.6216,0.5897
0.1496,44,48,30,0.4783,0.5946,0.567
0.1535,44,48,30,0.4783,0.5946,0.567
0.1574,43,48,31,0.4725,0.5811,0.5556
0.1613,43,48,31,0.4725,0.5811,0.5556
0.1651,40,48,34,0.4545,0.5405,0.5208
0.169,40,46,34,0.4651,0.5405,0.5236
0.1729,40,46,34,0.4651,0.5405,0.5236
0.1768,40,46,34,0.4651,0.5405,0.5236
0.1807,40,46,34,0.4651,0.5405,0.5236
0.1846,39,46,35,0.4588,0.527,0.5118
0.1885,39,46,35,0.4588,0.527,0.5118
0.1923,39,46,35,0.4588,0.527,0.5118
0.1962,37,46,37,0.4458,0.5,0.4881
0.2001,37,46,37,0.4458,0.5,0.4881
0.204,36,46,38,0.439,0.4865,0.4762
0.2079,35,46,39,0.4321,0.473,0.4642
0.2118,34,46,40,0.425,0.4595,0.4521
0.2157,33,46,41,0.4177,0.4459,0.44
0.2195,33,46,41,0.4177,0.4459,0.44
0.2234,32,46,42,0.4103,0.4324,0.4278
0.2273,31,46,43,0.4026,0.4189,0.4155
0.2312,29,46,45,0.3867,0.3919,0.3908
0.2351,29,46,45,0.3867,0.3919,0.3908
0.239,29,46,45,0.3867,0.3919,0.3908
0.2428,27,46,47,0.3699,0.3649,0.3659
0.2467,27,46,47,0.3699,0.3649,0.3659
0.2506,27,46,47,0.3699,0.3649,0.3659
0.2545,27,46,47,0.3699,0.3649,0.3659
0.2584,27,46,47,0.3699,0.3649,0.3659
0.2623,27,46,47,0.3699,0.3649,0.3659
0.2662,27,46,47,0.3699,0.3649,0.3659
0.27,27,46,47,0.3699,0.3649,0.3659
0.2739,27,46,47,0.3699,0.3649,0.3659
0.2778,25,46,49,0.3521,0.3378,0.3406
0.2817,25,46,49,0.3521,0.3378,0.3406
0.2856,25,46,49,0.3521,0.3378,0.3406
0.2895,24,46,50,0.3429,0.3243,0.3279
0.2933,24,46,50,0.3429,0.3243,0.3279
0.2972,24,46,50,0.3429,0.3243,0.3279
0.3011,24,46,50,0.3429,0.3243,0.3279
0.305,24,46,50,0.3429,0.3243,0.3279
0.3089,24,46,50,0.3429,0.3243,0.3279
0.3128,23,46,51,0.3333,0.3108,0.3151
0.3167,23,46,51,0.3333,0.3108,0.3151
0.3205,22,46,52,0.3235,0.2973,0.3022
0.3244,22,46,52,0.3235,0.2973,0.3022
0.3283,20,46,54,0.303,0.2703,0.2762
0.3322,17,46,57,0.2698,0.2297,0.2368
0.3361,17,16,57,0.5152,0.2297,0.2584
0.34,17,16,57,0.5152,0.2297,0.2584
0.3438,17,16,57,0.5152,0.2297,0.2584
0.3477,17,16,57,0.5152,0.2297,0.2584
0.3516,16,16,58,0.5,0.2162,0.2439
0.3555,16,16,58,0.5,0.2162,0.2439
0.3594,16,16,58,0.5,0.2162,0.2439
0.3633,15,16,59,0.4839,0.2027,0.2294
0.3672,15,16,59,0.4839,0.2027,0.2294
0.371,15,16,59,0.4839,0.2027,0.2294
0.3749,15,16,59,0.4839,0.2027,0.2294
