threshold,tp,fp,fn,precision,recall,f2
0.0022,73,50,3,0.5935,0.9605,0.8548
0.0062,71,50,5,0.5868,0.9342,0.8353
0.0102,71,50,5,0.5868,0.9342,0.8353
0.0142,71,50,5,0.5868,0.9342,0.8353
0.0182,69,50,7,0.5798,0.9079,0.8156
0.0222,67,50,9,0.5726,0.8816,0.7957
0.0262,66,50,10,0.569,0.8684,0.7857
0.0302,66,50,10,0.569,0.8684,0.7857
0.0342,64,50,12,0.5614,0.8421,0.7656
0.0382,64,50,12,0.5614,0.8421,0.7656
0.0422,64,50,12,0.5614,0.8421,0.7656
0.0463,64,50,12,0.5614,0.8421,0.7656
0.0503,62,50,14,0.5536,0.8158,0.7452
0.0543,62,50,14,0.5536,0.8158,0.7452
0.0583,62,50,14,0.5536,0.8158,0.7452
0.0623,60,50,16,0.5455,0.7895,0.7246
0.0663,59,50,17,0.5413,0.7763,0.7143
0.0703,59,50,17,0.5413,0.7763,0.7143
0.0743,59,50,17,0.5413,0.7763,0.7143
0.0783,59,50,17,0.5413,0.7763,0.7143
0.0823,58,50,18,0.537,0.7632,0.7039
0.0863,57,50,19,0.5327,0.75,0.6934
0.0904,56,50,20,0.5283,0.7368,0.6829
0.0944,56,50,20,0.5283,0.7368,0.6829
0.0984,55,50,21,0.5238,0.7237,0.6724
0.1024,54,50,22,0.5192,0.7105,0.6618
0.1064,53,50,23,0.5146,0.6974,0.6511
0.1104,53,50,23,0.5146,0.6974,0.6511
0.1144,51,50,25,0.505,0.6711,0.6296
0.1184,50,50,26,0.5,0.6579,0.6188
0.1224,50,50,26,0.5,0.6579,0.6188
0.1264,49,50,27,0.4949,0.6447,0.6079
0.1304,48,50,28,0.4898,0.6316,0.597
0.1345,47,50,29,0.4845,0.6184,0.586
0.1385,47,50,29,0.4845,0.6184,0.586
0.1425,45,50,31,0.4737,0.5921,0.5639
0.1465,44,50,32,0.4681,0.5789,0.5528
0.1505,43,50,33,0.4624,0.5658,0.5416
0.1545,42,50,34,0.4565,0.5526,0.5303
0.1585,40,50,36,0.4444,0.5263,0.5076
0.1625,40,50,36,0.4444,0.5263,0.5076
0.1665,39,50,37,0.4382,0.5132,0.4962
0.1705,37,50,39,0.4253,0.4868,0.4731
0.1746,37,50,39,0.4253,0.4868,0.4731
0.1786,36,50,40,0.4186,0.4737,0.4615
0.1826,36,50,40,0.4186,0.4737,0.4615
0.1866,32,50,44,0.3902,0.4211,0.4145
0.1906,30,50,46,0.375,0.3947,0.3906
0.1946,30,50,46,0.375,0.3947,0.3906
0.1986,29,50,47,0.3671,0.3816,0.3786
0.2026,29,30,47,0.4915,0.3816,0.3994
0.2066,27,30,49,0.4737,0.3553,0.374
0.2106,27,30,49,0.4737,0.3553,0.374
0.2146,27,30,49,0.4737,0.3553,0.374
0.2187,25,30,51,0.4545,0.3289,0.3482
0.2227,25,30,51,0.4545,0.3289,0.3482
0.2267,25,30,51,0.4545,0.3289,0.3482
0.2307,24,30,52,0.4444,0.3158,0.3352
0.2347,22,30,54,0.4231,0.2895,0.309
0.2387,21,30,55,0.4118,0.2763,0.2958
0.2427,21,30,55,0.4118,0.2763,0.2958
0.2467,21,30,55,0.4118,0.2763,0.2958
0.2507,20,30,56,0.4,0.2632,0.2825
0.2547,18,30,58,0.375,0.2368,0.2557
0.2587,17,30,59,0.3617,0.2237,0.2422
0.2628,17,30,59,0.3617,0.2237,0.2422
0.2668,16,30,60,0.3478,0.2105,0.2286
0.2708,16,30,60,0.3478,0.2105,0.2286
0.2748,16,30,60,0.3478,0.2105,0.2286
0.2788,15,30,61,0.3333,0.1974,0.2149
0.2828,14,30,62,0.3182,0.1842,0.2011
0.2868,14,30,62,0.3182,0.1842,0.2011
0.2908,14,30,62,0.3182,0.1842,0.2011
0.2948,13,30,63,0.3023,0.1711,0.1873
0.2988,12,30,64,0.2857,0.1579,0.1734
0.3028,10,30,66,0.25,0.1316,0.1453
0.3069,10,30,66,0.25,0.1316,0.1453
0.3109,9,30,67,0.2308,0.1184,0.1312
0.3149,8,30,68,0.2105,0.1053,0.117
0.3189,8,30,68,0.2105,0.1053,0.117
0.3229,7,30,69,0.1892,0.0921,0.1026
0.3269,7,30,69,0.1892,0.0921,0.1026
0.3309,5,30,71,0.1429,0.0658,0.0737
0.3349,5,30,71,0.1429,0.0658,0.0737
0.3389,5,30,71,0.1429,0.0658,0.0737
0.3429,5,30,71,0.1429,0.0658,0.0737
0.347,4,30,72,0.1176,0.0526,0.0592
0.351,4,30,72,0.1176,0.0526,0.0592
0.355,4,30,72,0.1176,0.0526,0.0592
0.359,4,30,72,0.1176,0.0526,0.0592
0.363,3,30,73,0.0909,0.0395,0.0445
0.367,3,30,73,0.0909,0.0395,0.0445
