threshold,tp,fp,fn,precision,recall,f2
0.0,76,20276,0,0.0037,1.0,0.0184
0.005,8,0,68,1.0,0.1053,0.1282
0.0099,8,0,68,1.0,0.1053,0.1282
0.0149,8,0,68,1.0,0.1053,0.1282
0.0198,8,0,68,1.0,0.1053,0.1282
0.0248,8,0,68,1.0,0.1053,0.1282
0.0297,8,0,68,1.0,0.1053,0.1282
0.0347,8,0,68,1.0,0.1053,0.1282
0.0397,8,0,68,1.0,0.1053,0.1282
0.0446,8,0,68,1.0,0.1053,0.1282
0.0496,8,0,68,1.0,0.1053,0.1282
0.0545,8,0,68,1.0,0.1053,0.1282
0.0595,8,0,68,1.0,0.1053,0.1282
0.0645,8,0,68,1.0,0.1053,0.1282
0.0694,8,0,68,1.0,0.1053,0.1282
0.0744,8,0,68,1.0,0.1053,0.1282
0.0793,8,0,68,1.0,0.1053,0.1282
0.0843,8,0,68,1.0,0.1053,0.1282
0.0892,8,0,68,1.0,0.1053,0.1282
0.0942,8,0,68,1.0,0.1053,0.1282
0.0992,8,0,68,1.0,0.1053,0.1282
0.1041,8,0,68,1.0,0.1053,0.1282
0.1091,8,0,68,1.0,0.1053,0.1282
0.114,8,0,68,1.0,0.1053,0.1282
0.119,8,0,68,1.0,0.1053,0.1282
0.124,8,0,68,1.0,0.1053,0.1282
0.1289,8,0,68,1.0,0.1053,0.1282
0.1339,8,0,68,1.0,0.1053,0.1282
0.1388,8,0,68,1.0,0.1053,0.1282
0.1438,8,0,68,1.0,0.1053,0.1282
0.1487,8,0,68,1.0,0.1053,0.1282
0.1537,8,0,68,1.0,0.1053,0.1282
0.1587,8,0,68,1.0,0.1053,0.1282
0.1636,8,0,68,1.0,0.1053,0.1282
0.1686,8,0,68,1.0,0.1053,0.1282
0.1735,8,0,68,1.0,0.1053,0.1282
0.1785,8,0,68,1.0,0.1053,0.1282
0.1835,8,0,68,1.0,0.1053,0.1282
0.1884,8,0,68,1.0,0.1053,0.1282
0.1934,8,0,68,1.0,0.1053,0.1282
0.1983,8,0,68,1.0,0.1053,0.1282
0.2033,8,0,68,1.0,0.1053,0.1282
0.2082,8,0,68,1.0,0.1053,0.1282
0.2132,8,0,68,1.0,0.1053,0.1282
0.2182,8,0,68,1.0,0.1053,0.1282
0.2231,8,0,68,1.0,0.1053,0.1282
0.2281,8,0,68,1.0,0.1053,0.1282
0.233,8,0,68,1.0,0.1053,0.1282
0.238,8,0,68,1.0,0.1053,0.1282
0.2429,8,0,68,1.0,0.1053,0.1282
0.2479,8,0,68,1.0,0.1053,0.1282
0.2529,8,0,68,1.0,0.1053,0.1282
0.2578,8,0,68,1.0,0.1053,0.1282
0.2628,8,0,68,1.0,0.1053,0.1282
0.2677,8,0,68,1.0,0.1053,0.1282
0.2727,8,0,68,1.0,0.1053,0.1282
0.2777,8,0,68,1.0,0.1053,0.1282
0.2826,8,0,68,1.0,0.1053,0.1282
0.2876,8,0,68,1.0,0.1053,0.1282
0.2925,8,0,68,1.0,0.1053,0.1282
0.2975,8,0,68,1.0,0.1053,0.1282
0.3024,8,0,68,1.0,0.1053,0.1282
0.3074,8,0,68,1.0,0.1053,0.1282
0.3124,8,0,68,1.0,0.1053,0.1282
0.3173,8,0,68,1.0,0.1053,0.1282
0.3223,8,0,68,1.0,0.1053,0.1282
0.3272,8,0,68,1.0,0.1053,0.1282
0.3322,8,0,68,1.0,0.1053,0.1282
0.3372,8,0,68,1.0,0.1053,0.1282
0.3421,8,0,68,1.0,0.1053,0.1282
0.3471,8,0,68,1.0,0.1053,0.1282
0.352,8,0,68,1.0,0.1053,0.1282
0.357,8,0,68,1.0,0.1053,0.1282
0.3619,8,0,68,1.0,0.1053,0.1282
0.3669,7,0,69,1.0,0.0921,0.1125
0.3719,7,0,69,1.0,0.0921,0.1125
0.3768,7,0,69,1.0,0.0921,0.1125
0.3818,7,0,69,1.0,0.0921,0.1125
0.3867,7,0,69,1.0,0.0921,0.1125
0.3917,7,0,69,1.0,0.0921,0.1125
0.3967,7,0,69,1.0,0.0921,0.1125
0.4016,7,0,69,1.0,0.0921,0.1125
0.4066,7,0,69,1.0,0.0921,0.1125
0.4115,6,0,70,1.0,0.0789,0.0968
0.4165,6,0,70,1.0,0.0789,0.0968
0.4214,6,0,70,1.0,0.0789,0.0968
0.4264,6,0,70,1.0,0.0789,0.0968
0.4314,6,0,70,1.0,0.0789,0.0968
0.4363,6,0,70,1.0,0.0789,0.0968
0.4413,5,0,71,1.0,0.0658,0.0809
0.4462,5,0,71,1.0,0.0658,0.0809
0.4512,5,0,71,1.0,0.0658,0.0809
0.4561,5,0,71,1.0,0.0658,0.0809
0.4611,5,0,71,1.0,0.0658,0.0809
0.4661,4,0,72,1.0,0.0526,0.0649
0.471,4,0,72,1.0,0.0526,0.0649
0.476,4,0,72,1.0,0.0526,0.0649
0.4809,4,0,72,1.0,0.0526,0.0649
0.4859,4,0,72,1.0,0.0526,0.0649
0.4909,4,0,72,1.0,0.0526,0.0649
0.4958,4,0,72,1.0,0.0526,0.0649
0.5008,4,0,72,1.0,0.0526,0.0649
0.5057,4,0,72,1.0,0.0526,0.0649
0.5107,4,0,72,1.0,0.0526,0.0649
0.5156,3,0,73,1.0,0.0395,0.0489
0.5206,3,0,73,1.0,0.0395,0.0489
0.5256,3,0,73,1.0,0.0395,0.0489
0.5305,3,0,73,1.0,0.0395,0.0489
0.5355,3,0,73,1.0,0.0395,0.0489
0.5404,3,0,73,1.0,0.0395,0.0489
0.5454,3,0,73,1.0,0.0395,0.0489
0.5504,3,0,73,1.0,0.0395,0.0489
0.5553,3,0,73,1.0,0.0395,0.0489
0.5603,3,0,73,1.0,0.0395,0.0489
0.5652,3,0,73,1.0,0.0395,0.0489
0.5702,3,0,73,1.0,0.0395,0.0489
0.5751,3,0,73,1.0,0.0395,0.0489
0.5801,3,0,73,1.0,0.0395,0.0489
0.5851,3,0,73,1.0,0.0395,0.0489
0.59,3,0,73,1.0,0.0395,0.0489
0.595,3,0,73,1.0,0.0395,0.0489
0.5999,3,0,73,1.0,0.0395,0.0489
0.6049,3,0,73,1.0,0.0395,0.0489
0.6098,3,0,73,1.0,0.0395,0.0489
0.6148,3,0,73,1.0,0.0395,0.0489
0.6198,3,0,73,1.0,0.0395,0.0489
0.6247,3,0,73,1.0,0.0395,0.0489
0.6297,3,0,73,1.0,0.0395,0.0489
0.6346,3,0,73,1.0,0.0395,0.0489
0.6396,3,0,73,1.0,0.0395,0.0489
0.6446,3,0,73,1.0,0.0395,0.0489
0.6495,3,0,73,1.0,0.0395,0.0489
0.6545,3,0,73,1.0,0.0395,0.0489
0.6594,3,0,73,1.0,0.0395,0.0489
0.6644,3,0,73,1.0,0.0395,0.0489
0.6693,3,0,73,1.0,0.0395,0.0489
0.6743,3,0,73,1.0,0.0395,0.0489
0.6793,3,0,73,1.0,0.0395,0.0489
0.6842,3,0,73,1.0,0.0395,0.0489
0.6892,3,0,73,1.0,0.0395,0.0489
0.6941,3,0,73,1.0,0.0395,0.0489
0.6991,3,0,73,1.0,0.0395,0.0489
0.7041,3,0,73,1.0,0.0395,0.0489
0.709,3,0,73,1.0,0.0395,0.0489
0.714,3,0,73,1.0,0.0395,0.0489
0.7189,3,0,73,1.0,0.0395,0.0489
0.7239,3,0,73,1.0,0.0395,0.0489
0.7288,3,0,73,1.0,0.0395,0.0489
0.7338,3,0,73,1.0,0.0395,0.0489
0.7388,3,0,73,1.0,0.0395,0.0489
0.7437,3,0,73,1.0,0.0395,0.0489
0.7487,3,0,73,1.0,0.0395,0.0489
0.7536,3,0,73,1.0,0.0395,0.0489
0.7586,3,0,73,1.0,0.0395,0.0489
0.7636,3,0,73,1.0,0.0395,0.0489
0.7685,3,0,73,1.0,0.0395,0.0489
0.7735,3,0,73,1.0,0.0395,0.0489
0.7784,3,0,73,1.0,0.0395,0.0489
0.7834,3,0,73,1.0,0.0395,0.0489
0.7883,3,0,73,1.0,0.0395,0.0489
0.7933,3,0,73,1.0,0.0395,0.0489
0.7983,3,0,73,1.0,0.0395,0.0489
0.8032,3,0,73,1.0,0.0395,0.0489
0.8082,3,0,73,1.0,0.0395,0.0489
0.8131,3,0,73,1.0,0.0395,0.0489
0.8181,3,0,73,1.0,0.0395,0.0489
0.823,3,0,73,1.0,0.0395,0.0489
0.828,3,0,73,1.0,0.0395,0.0489
0.833,3,0,73,1.0,0.0395,0.0489
0.8379,3,0,73,1.0,0.0395,0.0489
0.8429,3,0,73,1.0,0.0395,0.0489
0.8478,3,0,73,1.0,0.0395,0.0489
0.8528,3,0,73,1.0,0.0395,0.0489
0.8578,3,0,73,1.0,0.0395,0.0489
0.8627,2,0,74,1.0,0.0263,0.0327
0.8677,2,0,74,1.0,0.0263,0.0327
0.8726,2,0,74,1.0,0.0263,0.0327
0.8776,2,0,74,1.0,0.0263,0.0327
0.8825,2,0,74,1.0,0.0263,0.0327
0.8875,2,0,74,1.0,0.0263,0.0327
0.8925,2,0,74,1.0,0.0263,0.0327
0.8974,2,0,74,1.0,0.0263,0.0327
0.9024,2,0,74,1.0,0.0263,0.0327
0.9073,2,0,74,1.0,0.0263,0.0327
0.9123,2,0,74,1.0,0.0263,0.0327
0.9173,2,0,74,1.0,0.0263,0.0327
0.9222,2,0,74,1.0,0.0263,0.0327
0.9272,2,0,74,1.0,0.0263,0.0327
0.9321,2,0,74,1.0,0.0263,0.0327
0.9371,2,0,74,1.0,0.0263,0.0327
0.942,2,0,74,1.0,0.0263,0.0327
0.947,2,0,74,1.0,0.0263,0.0327
0.952,2,0,74,1.0,0.0263,0.0327
0.9569,2,0,74,1.0,0.0263,0.0327
0.9619,2,0,74,1.0,0.0263,0.0327
0.9668,2,0,74,1.0,0.0263,0.0327
0.9718,2,0,74,1.0,0.0263,0.0327
0.9768,1,0,75,1.0,0.0132,0.0164
0.9817,1,0,75,1.0,0.0132,0.0164
0.9867,1,0,75,1.0,0.0132,0.0164
