threshold,tp,fp,fn,precision,recall,f2
0.0,90,20262,0,0.0044,1.0,0.0217
0.004,80,5,10,0.9412,0.8889,0.8989
0.0079,75,5,15,0.9375,0.8333,0.8523
0.0119,69,5,21,0.9324,0.7667,0.7949
0.0158,63,5,27,0.9265,0.7,0.736
0.0198,56,5,34,0.918,0.6222,0.6651
0.0237,50,5,40,0.9091,0.5556,0.6024
0.0277,46,5,44,0.902,0.5111,0.5596
0.0316,42,5,48,0.8936,0.4667,0.516
0.0356,40,5,50,0.8889,0.4444,0.4938
0.0395,35,5,55,0.875,0.3889,0.4375
0.0435,33,5,57,0.8684,0.3667,0.4146
0.0474,25,5,65,0.8333,0.2778,0.3205
0.0514,19,5,71,0.7917,0.2111,0.2474
0.0553,16,5,74,0.7619,0.1778,0.21
0.0593,10,5,80,0.6667,0.1111,0.1333
0.0633,10,5,80,0.6667,0.1111,0.1333
0.0672,7,5,83,0.5833,0.0778,0.0941
0.0712,6,5,84,0.5455,0.0667,0.0809
0.0751,1,5,89,0.1667,0.0111,0.0137
0.0791,1,5,89,0.1667,0.0111,0.0137
0.083,1,5,89,0.1667,0.0111,0.0137
0.087,1,5,89,0.1667,0.0111,0.0137
0.0909,1,5,89,0.1667,0.0111,0.0137
0.0949,1,5,89,0.1667,0.0111,0.0137
0.0988,1,5,89,0.1667,0.0111,0.0137
0.1028,1,5,89,0.1667,0.0111,0.0137
0.1067,1,5,89,0.1667,0.0111,0.0137
0.1107,1,5,89,0.1667,0.0111,0.0137
0.1146,1,1,89,0.5,0.0111,0.0138
0.1186,1,1,89,0.5,0.0111,0.0138
0.1226,1,0,89,1.0,0.0111,0.0139
0.1265,1,0,89,1.0,0.0111,0.0139
0.1305,1,0,89,1.0,0.0111,0.0139
0.1344,1,0,89,1.0,0.0111,0.0139
0.1384,1,0,89,1.0,0.0111,0.0139
0.1423,1,0,89,1.0,0.0111,0.0139
0.1463,1,0,89,1.0,0.0111,0.0139
0.1502,1,0,89,1.0,0.0111,0.0139
0.1542,1,0,89,1.0,0.0111,0.0139
0.1581,1,0,89,1.0,0.0111,0.0139
0.1621,1,0,89,1.0,0.0111,0.0139
0.166,1,0,89,1.0,0.0111,0.0139
0.17,1,0,89,1.0,0.0111,0.0139
0.1739,1,0,89,1.0,0.0111,0.0139
0.1779,1,0,89,1.0,0.0111,0.0139
0.1818,1,0,89,1.0,0.0111,0.0139
0.1858,1,0,89,1.0,0.0111,0.0139
0.1898,1,0,89,1.0,0.0111,0.0139
0.1937,1,0,89,1.0,0.0111,0.0139
0.1977,1,0,89,1.0,0.0111,0.0139
0.2016,1,0,89,1.0,0.0111,0.0139
0.2056,1,0,89,1.0,0.0111,0.0139
0.2095,1,0,89,1.0,0.0111,0.0139
0.2135,1,0,89,1.0,0.0111,0.0139
0.2174,1,0,89,1.0,0.0111,0.0139
0.2214,1,0,89,1.0,0.0111,0.0139
0.2253,1,0,89,1.0,0.0111,0.0139
0.2293,1,0,89,1.0,0.0111,0.0139
0.2332,1,0,89,1.0,0.0111,0.0139
0.2372,1,0,89,1.0,0.0111,0.0139
0.2411,1,0,89,1.0,0.0111,0.0139
0.2451,1,0,89,1.0,0.0111,0.0139
0.2491,1,0,89,1.0,0.0111,0.0139
0.253,1,0,89,1.0,0.0111,0.0139
0.257,1,0,89,1.0,0.0111,0.0139
0.2609,1,0,89,1.0,0.0111,0.0139
0.2649,1,0,89,1.0,0.0111,0.0139
0.2688,1,0,89,1.0,0.0111,0.0139
0.2728,1,0,89,1.0,0.0111,0.0139
0.2767,1,0,89,1.0,0.0111,0.0139
0.2807,1,0,89,1.0,0.0111,0.0139
0.2846,1,0,89,1.0,0.0111,0.0139
0.2886,1,0,89,1.0,0.0111,0.0139
0.2925,1,0,89,1.0,0.0111,0.0139
0.2965,1,0,89,1.0,0.0111,0.0139
0.3004,1,0,89,1.0,0.0111,0.0139
0.3044,1,0,89,1.0,0.0111,0.0139
0.3084,1,0,89,1.0,0.0111,0.0139
0.3123,1,0,89,1.0,0.0111,0.0139
0.3163,1,0,89,1.0,0.0111,0.0139
0.3202,1,0,89,1.0,0.0111,0.0139
0.3242,1,0,89,1.0,0.0111,0.0139
0.3281,1,0,89,1.0,0.0111,0.0139
0.3321,1,0,89,1.0,0.0111,0.0139
0.336,1,0,89,1.0,0.0111,0.0139
0.34,1,0,89,1.0,0.0111,0.0139
0.3439,1,0,89,1.0,0.0111,0.0139
0.3479,1,0,89,1.0,0.0111,0.0139
0.3518,1,0,89,1.0,0.0111,0.0139
0.3558,1,0,89,1.0,0.0111,0.0139
0.3597,1,0,89,1.0,0.0111,0.0139
0.3637,1,0,89,1.0,0.0111,0.0139
0.3677,1,0,89,1.0,0.0111,0.0139
0.3716,1,0,89,1.0,0.0111,0.0139
0.3756,1,0,89,1.0,0.0111,0.0139
0.3795,1,0,89,1.0,0.0111,0.0139
0.3835,1,0,89,1.0,0.0111,0.0139
0.3874,1,0,89,1.0,0.0111,0.0139
0.3914,1,0,89,1.0,0.0111,0.0139
0.3953,1,0,89,1.0,0.0111,0.0139
0.3993,1,0,89,1.0,0.0111,0.0139
0.4032,1,0,89,1.0,0.0111,0.0139
0.4072,1,0,89,1.0,0.0111,0.0139
0.4111,1,0,89,1.0,0.0111,0.0139
0.4151,1,0,89,1.0,0.0111,0.0139
0.419,1,0,89,1.0,0.0111,0.0139
0.423,1,0,89,1.0,0.0111,0.0139
0.427,1,0,89,1.0,0.0111,0.0139
0.4309,1,0,89,1.0,0.0111,0.0139
0.4349,1,0,89,1.0,0.0111,0.0139
0.4388,1,0,89,1.0,0.0111,0.0139
0.4428,1,0,89,1.0,0.0111,0.0139
0.4467,1,0,89,1.0,0.0111,0.0139
0.4507,1,0,89,1.0,0.0111,0.0139
0.4546,1,0,89,1.0,0.0111,0.0139
0.4586,1,0,89,1.0,0.0111,0.0139
0.4625,1,0,89,1.0,0.0111,0.0139
0.4665,1,0,89,1.0,0.0111,0.0139
0.4704,1,0,89,1.0,0.0111,0.0139
0.4744,1,0,89,1.0,0.0111,0.0139
0.4783,1,0,89,1.0,0.0111,0.0139
0.4823,1,0,89,1.0,0.0111,0.0139
0.4862,1,0,89,1.0,0.0111,0.0139
0.4902,1,0,89,1.0,0.0111,0.0139
0.4942,1,0,89,1.0,0.0111,0.0139
0.4981,1,0,89,1.0,0.0111,0.0139
0.5021,1,0,89,1.0,0.0111,0.0139
0.506,1,0,89,1.0,0.0111,0.0139
0.51,1,0,89,1.0,0.0111,0.0139
0.5139,1,0,89,1.0,0.0111,0.0139
0.5179,1,0,89,1.0,0.0111,0.0139
0.5218,1,0,89,1.0,0.0111,0.0139
0.5258,1,0,89,1.0,0.0111,0.0139
0.5297,1,0,89,1.0,0.0111,0.0139
0.5337,1,0,89,1.0,0.0111,0.0139
0.5376,1,0,89,1.0,0.0111,0.0139
0.5416,1,0,89,1.0,0.0111,0.0139
0.5455,1,0,89,1.0,0.0111,0.0139
0.5495,1,0,89,1.0,0.0111,0.0139
0.5535,1,0,89,1.0,0.0111,0.0139
0.5574,1,0,89,1.0,0.0111,0.0139
0.5614,1,0,89,1.0,0.0111,0.0139
0.5653,1,0,89,1.0,0.0111,0.0139
0.5693,1,0,89,1.0,0.0111,0.0139
0.5732,1,0,89,1.0,0.0111,0.0139
0.5772,1,0,89,1.0,0.0111,0.0139
0.5811,1,0,89,1.0,0.0111,0.0139
0.5851,1,0,89,1.0,0.0111,0.0139
0.589,1,0,89,1.0,0.0111,0.0139
0.593,1,0,89,1.0,0.0111,0.0139
0.5969,1,0,89,1.0,0.0111,0.0139
0.6009,1,0,89,1.0,0.0111,0.0139
0.6048,1,0,89,1.0,0.0111,0.0139
0.6088,1,0,89,1.0,0.0111,0.0139
0.6128,1,0,89,1.0,0.0111,0.0139
0.6167,1,0,89,1.0,0.0111,0.0139
0.6207,1,0,89,1.0,0.0111,0.0139
0.6246,1,0,89,1.0,0.0111,0.0139
0.6286,1,0,89,1.0,0.0111,0.0139
0.6325,1,0,89,1.0,0.0111,0.0139
0.6365,1,0,89,1.0,0.0111,0.0139
0.6404,1,0,89,1.0,0.0111,0.0139
0.6444,1,0,89,1.0,0.0111,0.0139
0.6483,1,0,89,1.0,0.0111,0.0139
0.6523,1,0,89,1.0,0.0111,0.0139
0.6562,1,0,89,1.0,0.0111,0.0139
0.6602,1,0,89,1.0,0.0111,0.0139
0.6641,1,0,89,1.0,0.0111,0.0139
0.6681,1,0,89,1.0,0.0111,0.0139
0.6721,1,0,89,1.0,0.0111,0.0139
0.676,1,0,89,1.0,0.0111,0.0139
0.68,1,0,89,1.0,0.0111,0.0139
0.6839,1,0,89,1.0,0.0111,0.0139
0.6879,1,0,89,1.0,0.0111,0.0139
0.6918,1,0,89,1.0,0.0111,0.0139
0.6958,1,0,89,1.0,0.0111,0.0139
0.6997,1,0,89,1.0,0.0111,0.0139
0.7037,1,0,89,1.0,0.0111,0.0139
0.7076,1,0,89,1.0,0.0111,0.0139
0.7116,1,0,89,1.0,0.0111,0.0139
