threshold,tp,fp,fn,precision,recall,f2
0.0,65,20287,0,0.0032,1.0,0.0158
0.004,63,13,2,0.8289,0.9692,0.9375
0.008,62,13,3,0.8267,0.9538,0.9254
0.0121,61,13,4,0.8243,0.9385,0.9132
0.0161,60,13,5,0.8219,0.9231,0.9009
0.0201,60,13,5,0.8219,0.9231,0.9009
0.0241,60,13,5,0.8219,0.9231,0.9009
0.0281,59,13,6,0.8194,0.9077,0.8886
0.0322,59,13,6,0.8194,0.9077,0.8886
0.0362,57,13,8,0.8143,0.8769,0.8636
0.0402,57,13,8,0.8143,0.8769,0.8636
0.0442,56,13,9,0.8116,0.8615,0.8511
0.0482,54,13,11,0.806,0.8308,0.8257
0.0523,54,13,11,0.806,0.8308,0.8257
0.0563,54,13,11,0.806,0.8308,0.8257
0.0603,53,13,12,0.803,0.8154,0.8129
0.0643,52,13,13,0.8,0.8,0.8
0.0683,52,13,13,0.8,0.8,0.8
0.0724,52,13,13,0.8,0.8,0.8
0.0764,52,13,13,0.8,0.8,0.8
0.0804,52,13,13,0.8,0.8,0.8
0.0844,51,13,14,0.7969,0.7846,0.787
0.0884,51,13,14,0.7969,0.7846,0.787
0.0925,51,13,14,0.7969,0.7846,0.787
0.0965,50,13,15,0.7937,0.7692,0.774
0.1005,49,13,16,0.7903,0.7538,0.7609
0.1045,48,13,17,0.7869,0.7385,0.7477
0.1085,48,13,17,0.7869,0.7385,0.7477
0.1126,48,13,17,0.7869,0.7385,0.7477
0.1166,47,13,18,0.7833,0.7231,0.7344
0.1206,46,13,19,0.7797,0.7077,0.721
0.1246,46,13,19,0.7797,0.7077,0.721
0.1286,45,13,20,0.7759,0.6923,0.7075
0.1327,45,13,20,0.7759,0.6923,0.7075
0.1367,43,13,22,0.7679,0.6615,0.6804
0.1407,42,13,23,0.7636,0.6462,0.6667
0.1447,41,13,24,0.7593,0.6308,0.6529
0.1487,41,13,24,0.7593,0.6308,0.6529
0.1528,41,13,24,0.7593,0.6308,0.6529
0.1568,38,13,27,0.7451,0.5846,0.6109
0.1608,37,13,28,0.74,0.5692,0.5968
0.1648,37,13,28,0.74,0.5692,0.5968
0.1688,37,13,28,0.74,0.5692,0.5968
0.1729,37,13,28,0.74,0.5692,0.5968
0.1769,37,13,28,0.74,0.5692,0.5968
0.1809,37,13,28,0.74,0.5692,0.5968
0.1849,36,13,29,0.7347,0.5538,0.5825
0.1889,36,13,29,0.7347,0.5538,0.5825
0.193,35,13,30,0.7292,0.5385,0.5682
0.197,34,13,31,0.7234,0.5231,0.5537
0.201,34,5,31,0.8718,0.5231,0.5686
0.205,33,5,32,0.8684,0.5077,0.5537
0.209,33,5,32,0.8684,0.5077,0.5537
0.2131,33,5,32,0.8684,0.5077,0.5537
0.2171,30,5,35,0.8571,0.4615,0.5085
0.2211,29,5,36,0.8529,0.4462,0.4932
0.2251,27,5,38,0.8438,0.4154,0.4623
0.2291,27,5,38,0.8438,0.4154,0.4623
0.2332,27,5,38,0.8438,0.4154,0.4623
0.2372,26,5,39,0.8387,0.4,0.4467
0.2412,25,5,40,0.8333,0.3846,0.431
0.2452,25,5,40,0.8333,0.3846,0.431
0.2492,24,5,41,0.8276,0.3692,0.4152
0.2533,24,5,41,0.8276,0.3692,0.4152
0.2573,22,5,43,0.8148,0.3385,0.3833
0.2613,21,5,44,0.8077,0.3231,0.3671
0.2653,21,5,44,0.8077,0.3231,0.3671
0.2693,20,5,45,0.8,0.3077,0.3509
0.2734,20,5,45,0.8,0.3077,0.3509
0.2774,20,5,45,0.8,0.3077,0.3509
0.2814,20,5,45,0.8,0.3077,0.3509
0.2854,20,5,45,0.8,0.3077,0.3509
0.2894,20,5,45,0.8,0.3077,0.3509
0.2935,19,5,46,0.7917,0.2923,0.3345
0.2975,19,5,46,0.7917,0.2923,0.3345
0.3015,18,5,47,0.7826,0.2769,0.318
0.3055,18,5,47,0.7826,0.2769,0.318
0.3095,17,5,48,0.7727,0.2615,0.3014
0.3136,16,5,49,0.7619,0.2462,0.2847
0.3176,16,5,49,0.7619,0.2462,0.2847
0.3216,15,5,50,0.75,0.2308,0.2679
0.3256,12,5,53,0.7059,0.1846,0.2166
0.3296,12,5,53,0.7059,0.1846,0.2166
0.3337,11,5,54,0.6875,0.1692,0.1993
0.3377,11,5,54,0.6875,0.1692,0.1993
0.3417,11,5,54,0.6875,0.1692,0.1993
0.3457,11,5,54,0.6875,0.1692,0.1993
0.3497,10,5,55,0.6667,0.1538,0.1818
0.3538,10,5,55,0.6667,0.1538,0.1818
0.3578,9,5,56,0.6429,0.1385,0.1642
0.3618,9,5,56,0.6429,0.1385,0.1642
0.3658,8,5,57,0.6154,0.1231,0.1465
0.3698,7,5,58,0.5833,0.1077,0.1287
0.3739,7,5,58,0.5833,0.1077,0.1287
0.3779,6,5,59,0.5455,0.0923,0.1107
0.3819,4,5,61,0.4444,0.0615,0.0743
0.3859,2,5,63,0.2857,0.0308,0.0375
0.3899,2,5,63,0.2857,0.0308,0.0375
0.394,2,5,63,0.2857,0.0308,0.0375
0.398,1,5,64,0.1667,0.0154,0.0188
