threshold,tp,fp,fn,precision,recall,f2
0.2881,80,1333,0,0.0566,1.0,0.2308
0.2916,80,1283,0,0.0587,1.0,0.2377
0.2951,80,1227,0,0.0612,1.0,0.2459
0.2987,80,1202,0,0.0624,1.0,0.2497
0.3022,80,1161,0,0.0645,1.0,0.2562
0.3057,80,1120,0,0.0667,1.0,0.2632
0.3092,80,1075,0,0.0693,1.0,0.2712
0.3128,80,1048,0,0.0709,1.0,0.2762
0.3163,80,1016,0,0.073,1.0,0.2825
0.3198,80,977,0,0.0757,1.0,0.2905
0.3233,80,935,0,0.0788,1.0,0.2996
0.3269,80,901,0,0.0815,1.0,0.3075
0.3304,80,869,0,0.0843,1.0,0.3152
0.3339,80,848,0,0.0862,1.0,0.3205
0.3375,80,816,0,0.0893,1.0,0.3289
0.341,80,785,0,0.0925,1.0,0.3376
0.3445,80,755,0,0.0958,1.0,0.3463
0.348,80,726,0,0.0993,1.0,0.3552
0.3516,80,712,0,0.101,1.0,0.3597
0.3551,80,680,0,0.1053,1.0,0.3704
0.3586,80,640,0,0.1111,1.0,0.3846
0.3621,80,627,0,0.1132,1.0,0.3895
0.3657,80,599,0,0.1178,1.0,0.4004
0.3692,80,588,0,0.1198,1.0,0.4049
0.3727,80,562,0,0.1246,1.0,0.4158
0.3763,80,551,0,0.1268,1.0,0.4206
0.3798,80,529,0,0.1314,1.0,0.4306
0.3833,80,499,0,0.1382,1.0,0.4449
0.3868,80,491,0,0.1401,1.0,0.4489
0.3904,80,466,0,0.1465,1.0,0.4619
0.3939,80,447,0,0.1518,1.0,0.4723
0.3974,80,439,0,0.1541,1.0,0.4768
0.4009,80,419,0,0.1603,1.0,0.4884
0.4045,80,399,0,0.167,1.0,0.5006
0.408,80,380,0,0.1739,1.0,0.5128
0.4115,80,373,0,0.1766,1.0,0.5175
0.4151,80,353,0,0.1848,1.0,0.5312
0.4186,80,346,0,0.1878,1.0,0.5362
0.4221,80,331,0,0.1946,1.0,0.5472
0.4256,80,316,0,0.202,1.0,0.5587
0.4292,80,300,0,0.2105,1.0,0.5714
0.4327,80,292,0,0.2151,1.0,0.578
0.4362,80,277,0,0.2241,1.0,0.5908
0.4397,80,264,0,0.2326,1.0,0.6024
0.4433,80,255,0,0.2388,1.0,0.6107
0.4468,80,241,0,0.2492,1.0,0.624
0.4503,80,236,0,0.2532,1.0,0.6289
0.4539,80,225,0,0.2623,1.0,0.64
0.4574,80,217,0,0.2694,1.0,0.6483
0.4609,80,206,0,0.2797,1.0,0.6601
0.4644,80,197,0,0.2888,1.0,0.67
0.468,80,189,0,0.2974,1.0,0.6791
0.4715,80,178,0,0.3101,1.0,0.692
0.475,80,173,0,0.3162,1.0,0.6981
0.4785,80,164,0,0.3279,1.0,0.7092
0.4821,80,149,0,0.3493,1.0,0.7286
0.4856,80,142,0,0.3604,1.0,0.738
0.4891,80,139,0,0.3653,1.0,0.7421
0.4927,80,133,0,0.3756,1.0,0.7505
0.4962,80,125,0,0.3902,1.0,0.7619
0.4997,80,122,0,0.396,1.0,0.7663
0.5032,80,115,0,0.4103,1.0,0.7767
0.5068,80,108,0,0.4255,1.0,0.7874
0.5103,80,100,0,0.4444,1.0,0.8
0.5138,80,96,0,0.4545,1.0,0.8065
0.5173,80,91,0,0.4678,1.0,0.8147
0.5209,80,85,0,0.4848,1.0,0.8247
0.5244,80,79,0,0.5031,1.0,0.8351
0.5279,80,69,0,0.5369,1.0,0.8529
0.5315,80,66,0,0.5479,1.0,0.8584
0.535,80,62,0,0.5634,1.0,0.8658
0.5385,80,60,0,0.5714,1.0,0.8696
0.542,80,53,0,0.6015,1.0,0.883
0.5456,80,52,0,0.6061,1.0,0.885
0.5491,80,47,0,0.6299,1.0,0.8949
0.5526,80,42,0,0.6557,1.0,0.905
0.5561,80,39,0,0.6723,1.0,0.9112
0.5597,80,34,0,0.7018,1.0,0.9217
0.5632,80,32,0,0.7143,1.0,0.9259
0.5667,80,28,0,0.7407,1.0,0.9346
0.5703,80,24,0,0.7692,1.0,0.9434
0.5738,80,22,0,0.7843,1.0,0.9479
0.5773,80,18,0,0.8163,1.0,0.9569
0.5808,79,15,1,0.8404,0.9875,0.9541
0.5844,79,12,1,0.8681,0.9875,0.9611
0.5879,78,10,2,0.8864,0.975,0.9559
0.5914,77,9,3,0.8953,0.9625,0.9483
0.5949,76,7,4,0.9157,0.95,0.9429
0.5985,74,5,6,0.9367,0.925,0.9273
0.602,73,5,7,0.9359,0.9125,0.9171
0.6055,72,4,8,0.9474,0.9,0.9091
0.6091,70,2,10,0.9722,0.875,0.8929
0.6126,69,0,11,1.0,0.8625,0.8869
0.6161,68,0,12,1.0,0.85,0.8763
0.6196,66,0,14,1.0,0.825,0.8549
0.6232,64,0,16,1.0,0.8,0.8333
0.6267,62,0,18,1.0,0.775,0.8115
0.6302,60,0,20,1.0,0.75,0.7895
0.6337,58,0,22,1.0,0.725,0.7672
0.6373,56,0,24,1.0,0.7,0.7447
0.6408,54,0,26,1.0,0.675,0.7219
0.6443,52,0,28,1.0,0.65,0.6989
0.6479,50,0,30,1.0,0.625,0.6757
0.6514,48,0,32,1.0,0.6,0.6522
0.6549,48,0,32,1.0,0.6,0.6522
0.6584,46,0,34,1.0,0.575,0.6284
0.662,44,0,36,1.0,0.55,0.6044
0.6655,42,0,38,1.0,0.525,0.5801
0.669,42,0,38,1.0,0.525,0.5801
0.6725,40,0,40,1.0,0.5,0.5556
0.6761,38,0,42,1.0,0.475,0.5307
0.6796,38,0,42,1.0,0.475,0.5307
0.6831,36,0,44,1.0,0.45,0.5056
0.6867,36,0,44,1.0,0.45,0.5056
0.6902,34,0,46,1.0,0.425,0.4802
0.6937,32,0,48,1.0,0.4,0.4545
0.6972,32,0,48,1.0,0.4,0.4545
0.7008,30,0,50,1.0,0.375,0.4286
0.7043,30,0,50,1.0,0.375,0.4286
0.7078,28,0,52,1.0,0.35,0.4023
0.7113,28,0,52,1.0,0.35,0.4023
0.7149,26,0,54,1.0,0.325,0.3757
0.7184,26,0,54,1.0,0.325,0.3757
0.7219,26,0,54,1.0,0.325,0.3757
0.7255,24,0,56,1.0,0.3,0.3488
0.729,24,0,56,1.0,0.3,0.3488
0.7325,22,0,58,1.0,0.275,0.3216
0.736,22,0,58,1.0,0.275,0.3216
0.7396,22,0,58,1.0,0.275,0.3216
0.7431,20,0,60,1.0,0.25,0.2941
0.7466,20,0,60,1.0,0.25,0.2941
0.7501,20,0,60,1.0,0.25,0.2941
0.7537,18,0,62,1.0,0.225,0.2663
0.7572,18,0,62,1.0,0.225,0.2663
0.7607,18,0,62,1.0,0.225,0.2663
0.7643,16,0,64,1.0,0.2,0.2381
0.7678,16,0,64,1.0,0.2,0.2381
0.7713,16,0,64,1.0,0.2,0.2381
0.7748,14,0,66,1.0,0.175,0.2096
0.7784,14,0,66,1.0,0.175,0.2096
0.7819,14,0,66,1.0,0.175,0.2096
0.7854,14,0,66,1.0,0.175,0.2096
0.7889,14,0,66,1.0,0.175,0.2096
0.7925,12,0,68,1.0,0.15,0.1807
0.796,12,0,68,1.0,0.15,0.1807
0.7995,12,0,68,1.0,0.15,0.1807
0.8031,12,0,68,1.0,0.15,0.1807
0.8066,10,0,70,1.0,0.125,0.1515
0.8101,10,0,70,1.0,0.125,0.1515
0.8136,10,0,70,1.0,0.125,0.1515
0.8172,10,0,70,1.0,0.125,0.1515
0.8207,10,0,70,1.0,0.125,0.1515
0.8242,10,0,70,1.0,0.125,0.1515
0.8277,8,0,72,1.0,0.1,0.122
0.8313,8,0,72,1.0,0.1,0.122
0.8348,8,0,72,1.0,0.1,0.122
0.8383,8,0,72,1.0,0.1,0.122
0.8419,8,0,72,1.0,0.1,0.122
0.8454,8,0,72,1.0,0.1,0.122
0.8489,8,0,72,1.0,0.1,0.122
0.8524,6,0,74,1.0,0.075,0.092
0.856,6,0,74,1.0,0.075,0.092
0.8595,6,0,74,1.0,0.075,0.092
0.863,6,0,74,1.0,0.075,0.092
0.8665,6,0,74,1.0,0.075,0.092
0.8701,6,0,74,1.0,0.075,0.092
0.8736,6,0,74,1.0,0.075,0.092
0.8771,6,0,74,1.0,0.075,0.092
0.8807,6,0,74,1.0,0.075,0.092
0.8842,4,0,76,1.0,0.05,0.0617
0.8877,4,0,76,1.0,0.05,0.0617
0.8912,4,0,76,1.0,0.05,0.0617
0.8948,4,0,76,1.0,0.05,0.0617
0.8983,4,0,76,1.0,0.05,0.0617
0.9018,4,0,76,1.0,0.05,0.0617
0.9053,4,0,76,1.0,0.05,0.0617
0.9089,4,0,76,1.0,0.05,0.0617
0.9124,4,0,76,1.0,0.05,0.0617
0.9159,4,0,76,1.0,0.05,0.0617
0.9195,4,0,76,1.0,0.05,0.0617
0.923,4,0,76,1.0,0.05,0.0617
0.9265,2,0,78,1.0,0.025,0.0311
0.93,2,0,78,1.0,0.025,0.0311
0.9336,2,0,78,1.0,0.025,0.0311
0.9371,2,0,78,1.0,0.025,0.0311
0.9406,2,0,78,1.0,0.025,0.0311
0.9441,2,0,78,1.0,0.025,0.0311
0.9477,2,0,78,1.0,0.025,0.0311
0.9512,2,0,78,1.0,0.025,0.0311
0.9547,2,0,78,1.0,0.025,0.0311
0.9583,2,0,78,1.0,0.025,0.0311
0.9618,2,0,78,1.0,0.025,0.0311
0.9653,2,0,78,1.0,0.025,0.0311
0.9688,2,0,78,1.0,0.025,0.0311
0.9724,2,0,78,1.0,0.025,0.0311
0.9759,2,0,78,1.0,0.025,0.0311
0.9794,2,0,78,1.0,0.025,0.0311
0.9829,2,0,78,1.0,0.025,0.0311
0.9865,2,0,78,1.0,0.025,0.0311
0.99,2,0,78,1.0,0.025,0.0311
