threshold,tp,fp,fn,precision,recall,f2
0.0,58,20294,0,0.0028,1.0,0.0141
0.0049,47,696,11,0.0633,0.8103,0.241
0.0097,46,696,12,0.062,0.7931,0.2361
0.0146,46,696,12,0.062,0.7931,0.2361
0.0194,46,696,12,0.062,0.7931,0.2361
0.0243,46,696,12,0.062,0.7931,0.2361
0.0291,45,696,13,0.0607,0.7759,0.2312
0.034,45,696,13,0.0607,0.7759,0.2312
0.0388,45,653,13,0.0645,0.7759,0.2419
0.0437,45,653,13,0.0645,0.7759,0.2419
0.0485,44,653,14,0.0631,0.7586,0.2368
0.0534,44,653,14,0.0631,0.7586,0.2368
0.0582,44,653,14,0.0631,0.7586,0.2368
0.0631,44,653,14,0.0631,0.7586,0.2368
0.0679,43,653,15,0.0618,0.7414,0.2317
0.0728,42,571,16,0.0685,0.7241,0.2485
0.0776,42,571,16,0.0685,0.7241,0.2485
0.0825,41,571,17,0.067,0.7069,0.2429
0.0873,41,571,17,0.067,0.7069,0.2429
0.0922,41,571,17,0.067,0.7069,0.2429
0.097,41,571,17,0.067,0.7069,0.2429
0.1019,41,571,17,0.067,0.7069,0.2429
0.1067,41,532,17,0.0716,0.7069,0.2547
0.1116,41,532,17,0.0716,0.7069,0.2547
0.1164,40,532,18,0.0699,0.6897,0.2488
0.1213,40,532,18,0.0699,0.6897,0.2488
0.1261,40,532,18,0.0699,0.6897,0.2488
0.131,40,532,18,0.0699,0.6897,0.2488
0.1359,39,532,19,0.0683,0.6724,0.2428
0.1407,39,492,19,0.0734,0.6724,0.2556
0.1456,39,492,19,0.0734,0.6724,0.2556
0.1504,39,492,19,0.0734,0.6724,0.2556
0.1553,39,492,19,0.0734,0.6724,0.2556
0.1601,39,492,19,0.0734,0.6724,0.2556
0.165,39,492,19,0.0734,0.6724,0.2556
0.1698,38,492,20,0.0717,0.6552,0.2493
0.1747,38,492,20,0.0717,0.6552,0.2493
0.1795,37,492,21,0.0699,0.6379,0.2431
0.1844,37,492,21,0.0699,0.6379,0.2431
0.1892,37,492,21,0.0699,0.6379,0.2431
0.1941,37,492,21,0.0699,0.6379,0.2431
0.1989,37,492,21,0.0699,0.6379,0.2431
0.2038,37,492,21,0.0699,0.6379,0.2431
0.2086,37,492,21,0.0699,0.6379,0.2431
0.2135,37,492,21,0.0699,0.6379,0.2431
0.2183,37,492,21,0.0699,0.6379,0.2431
0.2232,37,492,21,0.0699,0.6379,0.2431
0.228,37,492,21,0.0699,0.6379,0.2431
0.2329,37,492,21,0.0699,0.6379,0.2431
0.2377,37,492,21,0.0699,0.6379,0.2431
0.2426,37,492,21,0.0699,0.6379,0.2431
0.2474,37,492,21,0.0699,0.6379,0.2431
0.2523,37,492,21,0.0699,0.6379,0.2431
0.2571,37,492,21,0.0699,0.6379,0.2431
0.262,37,492,21,0.0699,0.6379,0.2431
0.2669,37,492,21,0.0699,0.6379,0.2431
0.2717,37,492,21,0.0699,0.6379,0.2431
0.2766,36,456,22,0.0732,0.6207,0.2486
0.2814,35,456,23,0.0713,0.6034,0.242
0.2863,35,456,23,0.0713,0.6034,0.242
0.2911,34,456,24,0.0694,0.5862,0.2355
0.296,33,456,25,0.0675,0.569,0.2288
0.3008,32,456,26,0.0656,0.5517,0.2222
0.3057,32,456,26,0.0656,0.5517,0.2222
0.3105,32,422,26,0.0705,0.5517,0.2332
0.3154,32,422,26,0.0705,0.5517,0.2332
0.3202,32,422,26,0.0705,0.5517,0.2332
0.3251,32,422,26,0.0705,0.5517,0.2332
0.3299,31,422,27,0.0684,0.5345,0.2263
0.3348,30,422,28,0.0664,0.5172,0.2193
0.3396,30,422,28,0.0664,0.5172,0.2193
0.3445,29,422,29,0.0643,0.5,0.2123
0.3493,29,422,29,0.0643,0.5,0.2123
0.3542,29,422,29,0.0643,0.5,0.2123
0.359,29,422,29,0.0643,0.5,0.2123
0.3639,29,422,29,0.0643,0.5,0.2123
0.3687,28,422,30,0.0622,0.4828,0.2053
0.3736,28,422,30,0.0622,0.4828,0.2053
0.3784,28,422,30,0.0622,0.4828,0.2053
0.3833,28,356,30,0.0729,0.4828,0.2273
0.3881,27,356,31,0.0705,0.4655,0.2195
0.393,27,356,31,0.0705,0.4655,0.2195
0.3979,27,356,31,0.0705,0.4655,0.2195
0.4027,27,356,31,0.0705,0.4655,0.2195
0.4076,25,356,33,0.0656,0.431,0.2039
0.4124,24,356,34,0.0632,0.4138,0.1961
0.4173,24,244,34,0.0896,0.4138,0.24
0.4221,24,244,34,0.0896,0.4138,0.24
0.427,24,244,34,0.0896,0.4138,0.24
0.4318,24,244,34,0.0896,0.4138,0.24
0.4367,24,244,34,0.0896,0.4138,0.24
0.4415,24,244,34,0.0896,0.4138,0.24
0.4464,24,214,34,0.1008,0.4138,0.2553
0.4512,24,152,34,0.1364,0.4138,0.2941
0.4561,23,152,35,0.1314,0.3966,0.2826
0.4609,21,152,37,0.1214,0.3621,0.2593
0.4658,20,152,38,0.1163,0.3448,0.2475
0.4706,20,152,38,0.1163,0.3448,0.2475
0.4755,20,152,38,0.1163,0.3448,0.2475
0.4803,19,152,39,0.1111,0.3276,0.2357
0.4852,19,152,39,0.1111,0.3276,0.2357
0.49,19,152,39,0.1111,0.3276,0.2357
0.4949,18,152,40,0.1059,0.3103,0.2239
0.4997,17,152,41,0.1006,0.2931,0.212
0.5046,17,152,41,0.1006,0.2931,0.212
0.5094,16,152,42,0.0952,0.2759,0.2
0.5143,16,152,42,0.0952,0.2759,0.2
0.5191,13,152,45,0.0788,0.2241,0.1637
0.524,13,152,45,0.0788,0.2241,0.1637
0.5289,13,152,45,0.0788,0.2241,0.1637
0.5337,13,152,45,0.0788,0.2241,0.1637
0.5386,12,152,46,0.0732,0.2069,0.1515
0.5434,12,152,46,0.0732,0.2069,0.1515
0.5483,11,152,47,0.0675,0.1897,0.1392
0.5531,10,124,48,0.0746,0.1724,0.1366
0.558,9,124,49,0.0677,0.1552,0.1233
0.5628,8,124,50,0.0606,0.1379,0.1099
0.5677,7,124,51,0.0534,0.1207,0.0964
0.5725,7,124,51,0.0534,0.1207,0.0964
0.5774,7,124,51,0.0534,0.1207,0.0964
0.5822,7,124,51,0.0534,0.1207,0.0964
0.5871,7,97,51,0.0673,0.1207,0.1042
0.5919,7,97,51,0.0673,0.1207,0.1042
0.5968,6,97,52,0.0583,0.1034,0.0896
0.6016,6,97,52,0.0583,0.1034,0.0896
0.6065,6,97,52,0.0583,0.1034,0.0896
0.6113,6,97,52,0.0583,0.1034,0.0896
0.6162,5,97,53,0.049,0.0862,0.0749
0.621,4,97,54,0.0396,0.069,0.0601
0.6259,3,97,55,0.03,0.0517,0.0452
0.6307,3,97,55,0.03,0.0517,0.0452
0.6356,3,97,55,0.03,0.0517,0.0452
0.6404,3,97,55,0.03,0.0517,0.0452
0.6453,3,97,55,0.03,0.0517,0.0452
0.6501,3,73,55,0.0395,0.0517,0.0487
0.655,3,73,55,0.0395,0.0517,0.0487
0.6599,2,73,56,0.0267,0.0345,0.0326
0.6647,2,73,56,0.0267,0.0345,0.0326
0.6696,2,73,56,0.0267,0.0345,0.0326
0.6744,1,73,57,0.0135,0.0172,0.0163
0.6793,1,73,57,0.0135,0.0172,0.0163
0.6841,1,73,57,0.0135,0.0172,0.0163
0.689,1,73,57,0.0135,0.0172,0.0163
0.6938,1,73,57,0.0135,0.0172,0.0163
0.6987,1,73,57,0.0135,0.0172,0.0163
0.7035,1,73,57,0.0135,0.0172,0.0163
0.7084,1,73,57,0.0135,0.0172,0.0163
0.7132,1,73,57,0.0135,0.0172,0.0163
0.7181,1,73,57,0.0135,0.0172,0.0163
0.7229,1,73,57,0.0135,0.0172,0.0163
0.7278,1,73,57,0.0135,0.0172,0.0163
0.7326,1,73,57,0.0135,0.0172,0.0163
0.7375,0,73,58,0.0,0.0,0.0
0.7423,0,73,58,0.0,0.0,0.0
0.7472,0,73,58,0.0,0.0,0.0
0.752,0,73,58,0.0,0.0,0.0
0.7569,0,73,58,0.0,0.0,0.0
0.7617,0,73,58,0.0,0.0,0.0
0.7666,0,73,58,0.0,0.0,0.0
0.7714,0,73,58,0.0,0.0,0.0
0.7763,0,73,58,0.0,0.0,0.0
0.7811,0,73,58,0.0,0.0,0.0
0.786,0,73,58,0.0,0.0,0.0
0.7909,0,73,58,0.0,0.0,0.0
0.7957,0,73,58,0.0,0.0,0.0
0.8006,0,73,58,0.0,0.0,0.0
0.8054,0,73,58,0.0,0.0,0.0
0.8103,0,73,58,0.0,0.0,0.0
0.8151,0,73,58,0.0,0.0,0.0
0.82,0,73,58,0.0,0.0,0.0
0.8248,0,73,58,0.0,0.0,0.0
0.8297,0,53,58,0.0,0.0,0.0
0.8345,0,53,58,0.0,0.0,0.0
0.8394,0,53,58,0.0,0.0,0.0
0.8442,0,53,58,0.0,0.0,0.0
0.8491,0,53,58,0.0,0.0,0.0
0.8539,0,53,58,0.0,0.0,0.0
0.8588,0,53,58,0.0,0.0,0.0
0.8636,0,16,58,0.0,0.0,0.0
0.8685,0,16,58,0.0,0.0,0.0
0.8733,0,16,58,0.0,0.0,0.0
0.8782,0,16,58,0.0,0.0,0.0
0.883,0,16,58,0.0,0.0,0.0
0.8879,0,16,58,0.0,0.0,0.0
0.8927,0,16,58,0.0,0.0,0.0
0.8976,0,16,58,0.0,0.0,0.0
0.9024,0,16,58,0.0,0.0,0.0
0.9073,0,16,58,0.0,0.0,0.0
0.9121,0,16,58,0.0,0.0,0.0
0.917,0,16,58,0.0,0.0,0.0
0.9219,0,16,58,0.0,0.0,0.0
0.9267,0,16,58,0.0,0.0,0.0
0.9316,0,16,58,0.0,0.0,0.0
0.9364,0,16,58,0.0,0.0,0.0
0.9413,0,16,58,0.0,0.0,0.0
0.9461,0,16,58,0.0,0.0,0.0
0.951,0,16,58,0.0,0.0,0.0
0.9558,0,16,58,0.0,0.0,0.0
0.9607,0,16,58,0.0,0.0,0.0
0.9655,0,16,58,0.0,0.0,0.0
