threshold,tp,fp,fn,precision,recall,f2
0.0,74,20278,0,0.0036,1.0,0.0179
0.004,72,41,2,0.6372,0.973,0.8802
0.008,72,41,2,0.6372,0.973,0.8802
0.0121,72,41,2,0.6372,0.973,0.8802
0.0161,72,41,2,0.6372,0.973,0.8802
0.0201,71,41,3,0.6339,0.9595,0.8701
0.0241,70,41,4,0.6306,0.9459,0.86
0.0281,70,41,4,0.6306,0.9459,0.86
0.0322,70,41,4,0.6306,0.9459,0.86
0.0362,70,41,4,0.6306,0.9459,0.86
0.0402,69,41,5,0.6273,0.9324,0.8498
0.0442,69,41,5,0.6273,0.9324,0.8498
0.0482,67,41,7,0.6204,0.9054,0.8292
0.0523,67,41,7,0.6204,0.9054,0.8292
0.0563,66,41,8,0.6168,0.8919,0.8189
0.0603,66,41,8,0.6168,0.8919,0.8189
0.0643,64,41,10,0.6095,0.8649,0.798
0.0683,63,41,11,0.6058,0.8514,0.7875
0.0724,62,41,12,0.6019,0.8378,0.7769
0.0764,62,41,12,0.6019,0.8378,0.7769
0.0804,62,41,12,0.6019,0.8378,0.7769
0.0844,61,41,13,0.598,0.8243,0.7663
0.0884,60,41,14,0.5941,0.8108,0.7557
0.0925,59,41,15,0.59,0.7973,0.7449
0.0965,56,41,18,0.5773,0.7568,0.7125
0.1005,55,41,19,0.5729,0.7432,0.7015
0.1045,55,41,19,0.5729,0.7432,0.7015
0.1085,53,41,21,0.5638,0.7162,0.6795
0.1126,53,41,21,0.5638,0.7162,0.6795
0.1166,49,41,25,0.5444,0.6622,0.6347
0.1206,47,41,27,0.5341,0.6351,0.612
0.1246,47,41,27,0.5341,0.6351,0.612
0.1286,45,41,29,0.5233,0.6081,0.589
0.1327,43,41,31,0.5119,0.5811,0.5658
0.1367,43,41,31,0.5119,0.5811,0.5658
0.1407,41,41,33,0.5,0.5541,0.5423
0.1447,40,41,34,0.4938,0.5405,0.5305
0.1487,37,41,37,0.4744,0.5,0.4947
0.1528,37,41,37,0.4744,0.5,0.4947
0.1568,37,41,37,0.4744,0.5,0.4947
0.1608,36,41,38,0.4675,0.4865,0.4826
0.1648,34,41,40,0.4533,0.4595,0.4582
0.1688,34,41,40,0.4533,0.4595,0.4582
0.1729,34,41,40,0.4533,0.4595,0.4582
0.1769,33,41,41,0.4459,0.4459,0.4459
0.1809,30,41,44,0.4225,0.4054,0.4087
0.1849,30,41,44,0.4225,0.4054,0.4087
0.1889,30,41,44,0.4225,0.4054,0.4087
0.193,30,41,44,0.4225,0.4054,0.4087
0.197,28,41,46,0.4058,0.3784,0.3836
0.201,27,23,47,0.54,0.3649,0.3902
0.205,25,23,49,0.5208,0.3378,0.3634
0.209,24,23,50,0.5106,0.3243,0.3499
0.2131,24,23,50,0.5106,0.3243,0.3499
0.2171,24,23,50,0.5106,0.3243,0.3499
0.2211,21,23,53,0.4773,0.2838,0.3088
0.2251,20,23,54,0.4651,0.2703,0.295
0.2291,18,23,56,0.439,0.2432,0.2671
0.2332,18,23,56,0.439,0.2432,0.2671
0.2372,18,23,56,0.439,0.2432,0.2671
0.2412,18,20,56,0.4737,0.2432,0.2695
0.2452,17,20,57,0.4595,0.2297,0.2553
0.2492,16,20,58,0.4444,0.2162,0.241
0.2533,15,20,59,0.4286,0.2027,0.2266
0.2573,15,20,59,0.4286,0.2027,0.2266
0.2613,15,20,59,0.4286,0.2027,0.2266
0.2653,14,20,60,0.4118,0.1892,0.2121
0.2693,14,20,60,0.4118,0.1892,0.2121
0.2734,12,20,62,0.375,0.1622,0.1829
0.2774,10,20,64,0.3333,0.1351,0.1534
0.2814,9,20,65,0.3103,0.1216,0.1385
0.2854,9,20,65,0.3103,0.1216,0.1385
0.2894,8,20,66,0.2857,0.1081,0.1235
0.2935,8,20,66,0.2857,0.1081,0.1235
0.2975,7,20,67,0.2593,0.0946,0.1084
0.3015,7,20,67,0.2593,0.0946,0.1084
0.3055,6,20,68,0.2308,0.0811,0.0932
0.3095,6,20,68,0.2308,0.0811,0.0932
0.3136,5,20,69,0.2,0.0676,0.0779
0.3176,5,20,69,0.2,0.0676,0.0779
0.3216,5,20,69,0.2,0.0676,0.0779
0.3256,5,20,69,0.2,0.0676,0.0779
0.3296,5,20,69,0.2,0.0676,0.0779
0.3337,5,20,69,0.2,0.0676,0.0779
0.3377,5,20,69,0.2,0.0676,0.0779
0.3417,5,20,69,0.2,0.0676,0.0779
0.3457,5,20,69,0.2,0.0676,0.0779
0.3497,4,20,70,0.1667,0.0541,0.0625
0.3538,3,20,71,0.1304,0.0405,0.047
0.3578,2,20,72,0.0909,0.027,0.0314
0.3618,2,20,72,0.0909,0.027,0.0314
0.3658,2,20,72,0.0909,0.027,0.0314
0.3698,2,20,72,0.0909,0.027,0.0314
0.3739,2,20,72,0.0909,0.027,0.0314
0.3779,2,20,72,0.0909,0.027,0.0314
0.3819,2,20,72,0.0909,0.027,0.0314
0.3859,0,20,74,0.0,0.0,0.0
0.3899,0,20,74,0.0,0.0,0.0
0.394,0,20,74,0.0,0.0,0.0
0.398,0,20,74,0.0,0.0,0.0
0.402,0,6,74,0.0,0.0,0.0
0.406,0,6,74,0.0,0.0,0.0
0.4101,0,6,74,0.0,0.0,0.0
0.4141,0,6,74,0.0,0.0,0.0
0.4181,0,6,74,0.0,0.0,0.0
0.4221,0,6,74,0.0,0.0,0.0
0.4261,0,6,74,0.0,0.0,0.0
0.4302,0,6,74,0.0,0.0,0.0
