threshold,tp,fp,fn,precision,recall,f2
0.0,75,20277,0,0.0037,1.0,0.0182
0.005,10,13,65,0.4348,0.1333,0.1548
0.0099,10,13,65,0.4348,0.1333,0.1548
0.0149,10,13,65,0.4348,0.1333,0.1548
0.0199,10,13,65,0.4348,0.1333,0.1548
0.0249,10,13,65,0.4348,0.1333,0.1548
0.0298,10,13,65,0.4348,0.1333,0.1548
0.0348,10,13,65,0.4348,0.1333,0.1548
0.0398,10,13,65,0.4348,0.1333,0.1548
0.0448,10,13,65,0.4348,0.1333,0.1548
0.0497,10,13,65,0.4348,0.1333,0.1548
0.0547,10,13,65,0.4348,0.1333,0.1548
0.0597,10,13,65,0.4348,0.1333,0.1548
0.0647,10,13,65,0.4348,0.1333,0.1548
0.0696,10,13,65,0.4348,0.1333,0.1548
0.0746,10,13,65,0.4348,0.1333,0.1548
0.0796,9,13,66,0.4091,0.12,0.1398
0.0846,9,13,66,0.4091,0.12,0.1398
0.0895,9,13,66,0.4091,0.12,0.1398
0.0945,9,13,66,0.4091,0.12,0.1398
0.0995,9,13,66,0.4091,0.12,0.1398
0.1045,9,13,66,0.4091,0.12,0.1398
0.1094,9,13,66,0.4091,0.12,0.1398
0.1144,9,13,66,0.4091,0.12,0.1398
0.1194,9,13,66,0.4091,0.12,0.1398
0.1244,9,13,66,0.4091,0.12,0.1398
0.1293,9,13,66,0.4091,0.12,0.1398
0.1343,9,13,66,0.4091,0.12,0.1398
0.1393,9,13,66,0.4091,0.12,0.1398
0.1443,9,13,66,0.4091,0.12,0.1398
0.1492,9,13,66,0.4091,0.12,0.1398
0.1542,9,13,66,0.4091,0.12,0.1398
0.1592,9,13,66,0.4091,0.12,0.1398
0.1642,9,13,66,0.4091,0.12,0.1398
0.1691,9,13,66,0.4091,0.12,0.1398
0.1741,9,13,66,0.4091,0.12,0.1398
0.1791,9,13,66,0.4091,0.12,0.1398
0.1841,9,13,66,0.4091,0.12,0.1398
0.189,9,13,66,0.4091,0.12,0.1398
0.194,8,13,67,0.381,0.1067,0.1246
0.199,8,13,67,0.381,0.1067,0.1246
0.204,8,13,67,0.381,0.1067,0.1246
0.2089,8,13,67,0.381,0.1067,0.1246
0.2139,8,13,67,0.381,0.1067,0.1246
0.2189,8,13,67,0.381,0.1067,0.1246
0.2239,8,13,67,0.381,0.1067,0.1246
0.2288,8,13,67,0.381,0.1067,0.1246
0.2338,8,13,67,0.381,0.1067,0.1246
0.2388,8,13,67,0.381,0.1067,0.1246
0.2438,8,13,67,0.381,0.1067,0.1246
0.2487,8,13,67,0.381,0.1067,0.1246
0.2537,8,4,67,0.6667,0.1067,0.1282
0.2587,8,4,67,0.6667,0.1067,0.1282
0.2637,8,4,67,0.6667,0.1067,0.1282
0.2686,8,4,67,0.6667,0.1067,0.1282
0.2736,8,4,67,0.6667,0.1067,0.1282
0.2786,8,4,67,0.6667,0.1067,0.1282
0.2836,8,4,67,0.6667,0.1067,0.1282
0.2885,8,4,67,0.6667,0.1067,0.1282
0.2935,8,4,67,0.6667,0.1067,0.1282
0.2985,8,4,67,0.6667,0.1067,0.1282
0.3035,8,4,67,0.6667,0.1067,0.1282
0.3084,8,4,67,0.6667,0.1067,0.1282
0.3134,8,4,67,0.6667,0.1067,0.1282
0.3184,8,4,67,0.6667,0.1067,0.1282
0.3234,8,4,67,0.6667,0.1067,0.1282
0.3283,8,4,67,0.6667,0.1067,0.1282
0.3333,8,4,67,0.6667,0.1067,0.1282
0.3383,8,4,67,0.6667,0.1067,0.1282
0.3433,8,4,67,0.6667,0.1067,0.1282
0.3482,7,4,68,0.6364,0.0933,0.1125
0.3532,7,4,68,0.6364,0.0933,0.1125
0.3582,7,4,68,0.6364,0.0933,0.1125
0.3632,7,4,68,0.6364,0.0933,0.1125
0.3681,7,4,68,0.6364,0.0933,0.1125
0.3731,7,4,68,0.6364,0.0933,0.1125
0.3781,7,4,68,0.6364,0.0933,0.1125
0.3831,6,4,69,0.6,0.08,0.0968
0.388,6,4,69,0.6,0.08,0.0968
0.393,6,4,69,0.6,0.08,0.0968
0.398,6,4,69,0.6,0.08,0.0968
0.403,6,4,69,0.6,0.08,0.0968
0.4079,6,4,69,0.6,0.08,0.0968
0.4129,6,4,69,0.6,0.08,0.0968
0.4179,6,4,69,0.6,0.08,0.0968
0.4229,6,4,69,0.6,0.08,0.0968
0.4278,6,4,69,0.6,0.08,0.0968
0.4328,6,4,69,0.6,0.08,0.0968
0.4378,6,4,69,0.6,0.08,0.0968
0.4428,6,4,69,0.6,0.08,0.0968
0.4477,6,4,69,0.6,0.08,0.0968
0.4527,6,4,69,0.6,0.08,0.0968
0.4577,6,4,69,0.6,0.08,0.0968
0.4627,6,4,69,0.6,0.08,0.0968
0.4676,6,4,69,0.6,0.08,0.0968
0.4726,6,4,69,0.6,0.08,0.0968
0.4776,6,4,69,0.6,0.08,0.0968
0.4826,6,4,69,0.6,0.08,0.0968
0.4875,6,4,69,0.6,0.08,0.0968
0.4925,6,4,69,0.6,0.08,0.0968
0.4975,6,4,69,0.6,0.08,0.0968
0.5025,6,4,69,0.6,0.08,0.0968
0.5074,5,4,70,0.5556,0.0667,0.0809
0.5124,5,4,70,0.5556,0.0667,0.0809
0.5174,5,4,70,0.5556,0.0667,0.0809
0.5224,5,4,70,0.5556,0.0667,0.0809
0.5273,5,4,70,0.5556,0.0667,0.0809
0.5323,5,4,70,0.5556,0.0667,0.0809
0.5373,5,4,70,0.5556,0.0667,0.0809
0.5423,5,4,70,0.5556,0.0667,0.0809
0.5472,4,4,71,0.5,0.0533,0.0649
0.5522,4,4,71,0.5,0.0533,0.0649
0.5572,4,4,71,0.5,0.0533,0.0649
0.5622,4,4,71,0.5,0.0533,0.0649
0.5671,4,4,71,0.5,0.0533,0.0649
0.5721,3,4,72,0.4286,0.04,0.0489
0.5771,3,4,72,0.4286,0.04,0.0489
0.5821,3,4,72,0.4286,0.04,0.0489
0.587,3,4,72,0.4286,0.04,0.0489
0.592,3,4,72,0.4286,0.04,0.0489
0.597,3,4,72,0.4286,0.04,0.0489
0.602,3,4,72,0.4286,0.04,0.0489
0.6069,3,4,72,0.4286,0.04,0.0489
0.6119,3,4,72,0.4286,0.04,0.0489
0.6169,2,4,73,0.3333,0.0267,0.0327
0.6219,2,4,73,0.3333,0.0267,0.0327
0.6268,2,4,73,0.3333,0.0267,0.0327
0.6318,2,4,73,0.3333,0.0267,0.0327
0.6368,2,4,73,0.3333,0.0267,0.0327
0.6418,2,4,73,0.3333,0.0267,0.0327
0.6467,2,4,73,0.3333,0.0267,0.0327
0.6517,2,4,73,0.3333,0.0267,0.0327
0.6567,2,4,73,0.3333,0.0267,0.0327
0.6617,2,4,73,0.3333,0.0267,0.0327
0.6666,2,4,73,0.3333,0.0267,0.0327
0.6716,2,4,73,0.3333,0.0267,0.0327
0.6766,2,4,73,0.3333,0.0267,0.0327
0.6816,2,4,73,0.3333,0.0267,0.0327
0.6865,2,4,73,0.3333,0.0267,0.0327
0.6915,2,4,73,0.3333,0.0267,0.0327
0.6965,2,4,73,0.3333,0.0267,0.0327
0.7015,2,4,73,0.3333,0.0267,0.0327
0.7064,2,4,73,0.3333,0.0267,0.0327
0.7114,2,4,73,0.3333,0.0267,0.0327
0.7164,2,4,73,0.3333,0.0267,0.0327
0.7214,2,4,73,0.3333,0.0267,0.0327
0.7263,2,4,73,0.3333,0.0267,0.0327
0.7313,2,4,73,0.3333,0.0267,0.0327
0.7363,2,4,73,0.3333,0.0267,0.0327
0.7413,2,4,73,0.3333,0.0267,0.0327
0.7462,2,4,73,0.3333,0.0267,0.0327
0.7512,2,4,73,0.3333,0.0267,0.0327
0.7562,2,4,73,0.3333,0.0267,0.0327
0.7612,2,4,73,0.3333,0.0267,0.0327
0.7661,2,4,73,0.3333,0.0267,0.0327
0.7711,2,4,73,0.3333,0.0267,0.0327
0.7761,1,4,74,0.2,0.0133,0.0164
0.7811,1,4,74,0.2,0.0133,0.0164
0.786,1,4,74,0.2,0.0133,0.0164
0.791,1,4,74,0.2,0.0133,0.0164
0.796,1,4,74,0.2,0.0133,0.0164
0.801,1,4,74,0.2,0.0133,0.0164
0.8059,1,4,74,0.2,0.0133,0.0164
0.8109,1,4,74,0.2,0.0133,0.0164
0.8159,1,4,74,0.2,0.0133,0.0164
0.8209,0,4,75,0.0,0.0,0.0
0.8258,0,4,75,0.0,0.0,0.0
0.8308,0,4,75,0.0,0.0,0.0
0.8358,0,4,75,0.0,0.0,0.0
0.8408,0,4,75,0.0,0.0,0.0
0.8457,0,4,75,0.0,0.0,0.0
0.8507,0,4,75,0.0,0.0,0.0
0.8557,0,4,75,0.0,0.0,0.0
0.8607,0,4,75,0.0,0.0,0.0
0.8656,0,4,75,0.0,0.0,0.0
0.8706,0,4,75,0.0,0.0,0.0
0.8756,0,4,75,0.0,0.0,0.0
0.8806,0,4,75,0.0,0.0,0.0
0.8855,0,4,75,0.0,0.0,0.0
0.8905,0,4,75,0.0,0.0,0.0
0.8955,0,4,75,0.0,0.0,0.0
0.9005,0,4,75,0.0,0.0,0.0
0.9054,0,4,75,0.0,0.0,0.0
0.9104,0,4,75,0.0,0.0,0.0
0.9154,0,4,75,0.0,0.0,0.0
0.9204,0,4,75,0.0,0.0,0.0
0.9253,0,4,75,0.0,0.0,0.0
0.9303,0,4,75,0.0,0.0,0.0
0.9353,0,4,75,0.0,0.0,0.0
0.9403,0,4,75,0.0,0.0,0.0
0.9452,0,4,75,0.0,0.0,0.0
0.9502,0,4,75,0.0,0.0,0.0
0.9552,0,4,75,0.0,0.0,0.0
0.9602,0,4,75,0.0,0.0,0.0
0.9651,0,4,75,0.0,0.0,0.0
0.9701,0,4,75,0.0,0.0,0.0
0.9751,0,4,75,0.0,0.0,0.0
0.9801,0,4,75,0.0,0.0,0.0
0.985,0,4,75,0.0,0.0,0.0
0.99,0,4,75,0.0,0.0,0.0
