threshold,tp,fp,fn,precision,recall,f2
0.0,76,1,0,0.987,1.0,0.9974
0.0038,59,1,17,0.9833,0.7763,0.8104
0.0075,39,1,37,0.975,0.5132,0.5669
0.0113,15,1,61,0.9375,0.1974,0.2344
0.0151,5,1,71,0.8333,0.0658,0.0806
0.0189,5,1,71,0.8333,0.0658,0.0806
0.0226,4,0,72,1.0,0.0526,0.0649
0.0264,3,0,73,1.0,0.0395,0.0489
0.0302,3,0,73,1.0,0.0395,0.0489
0.0339,3,0,73,1.0,0.0395,0.0489
0.0377,3,0,73,1.0,0.0395,0.0489
0.0415,3,0,73,1.0,0.0395,0.0489
0.0452,3,0,73,1.0,0.0395,0.0489
0.049,3,0,73,1.0,0.0395,0.0489
0.0528,3,0,73,1.0,0.0395,0.0489
0.0565,2,0,74,1.0,0.0263,0.0327
0.0603,2,0,74,1.0,0.0263,0.0327
0.0641,2,0,74,1.0,0.0263,0.0327
0.0678,2,0,74,1.0,0.0263,0.0327
0.0716,2,0,74,1.0,0.0263,0.0327
0.0754,2,0,74,1.0,0.0263,0.0327
0.0792,2,0,74,1.0,0.0263,0.0327
0.0829,2,0,74,1.0,0.0263,0.0327
0.0867,2,0,74,1.0,0.0263,0.0327
0.0905,2,0,74,1.0,0.0263,0.0327
0.0942,2,0,74,1.0,0.0263,0.0327
0.098,2,0,74,1.0,0.0263,0.0327
0.1018,2,0,74,1.0,0.0263,0.0327
0.1055,2,0,74,1.0,0.0263,0.0327
0.1093,2,0,74,1.0,0.0263,0.0327
0.1131,2,0,74,1.0,0.0263,0.0327
0.1168,2,0,74,1.0,0.0263,0.0327
0.1206,2,0,74,1.0,0.0263,0.0327
0.1244,1,0,75,1.0,0.0132,0.0164
0.1281,1,0,75,1.0,0.0132,0.0164
0.1319,1,0,75,1.0,0.0132,0.0164
0.1357,1,0,75,1.0,0.0132,0.0164
0.1395,1,0,75,1.0,0.0132,0.0164
0.1432,1,0,75,1.0,0.0132,0.0164
0.147,1,0,75,1.0,0.0132,0.0164
0.1508,1,0,75,1.0,0.0132,0.0164
0.1545,1,0,75,1.0,0.0132,0.0164
0.1583,1,0,75,1.0,0.0132,0.0164
0.1621,1,0,75,1.0,0.0132,0.0164
0.1658,1,0,75,1.0,0.0132,0.0164
0.1696,1,0,75,1.0,0.0132,0.0164
0.1734,1,0,75,1.0,0.0132,0.0164
0.1771,1,0,75,1.0,0.0132,0.0164
0.1809,1,0,75,1.0,0.0132,0.0164
0.1847,1,0,75,1.0,0.0132,0.0164
0.1884,1,0,75,1.0,0.0132,0.0164
0.1922,1,0,75,1.0,0.0132,0.0164
0.196,1,0,75,1.0,0.0132,0.0164
0.1998,1,0,75,1.0,0.0132,0.0164
0.2035,1,0,75,1.0,0.0132,0.0164
0.2073,1,0,75,1.0,0.0132,0.0164
0.2111,1,0,75,1.0,0.0132,0.0164
0.2148,1,0,75,1.0,0.0132,0.0164
0.2186,1,0,75,1.0,0.0132,0.0164
