threshold,tp,fp,fn,precision,recall,f2
0.0277,65,48,6,0.5752,0.9155,0.8186
0.0315,65,48,6,0.5752,0.9155,0.8186
0.0354,64,48,7,0.5714,0.9014,0.8081
0.0393,63,48,8,0.5676,0.8873,0.7975
0.0432,62,48,9,0.5636,0.8732,0.7868
0.0471,62,48,9,0.5636,0.8732,0.7868
0.0509,62,48,9,0.5636,0.8732,0.7868
0.0548,62,48,9,0.5636,0.8732,0.7868
0.0587,59,48,12,0.5514,0.831,0.7545
0.0626,59,48,12,0.5514,0.831,0.7545
0.0665,58,48,13,0.5472,0.8169,0.7436
0.0703,58,48,13,0.5472,0.8169,0.7436
0.0742,58,48,13,0.5472,0.8169,0.7436
0.0781,58,48,13,0.5472,0.8169,0.7436
0.082,58,48,13,0.5472,0.8169,0.7436
0.0859,57,48,14,0.5429,0.8028,0.7326
0.0898,57,48,14,0.5429,0.8028,0.7326
0.0936,57,48,14,0.5429,0.8028,0.7326
0.0975,55,48,16,0.534,0.7746,0.7106
0.1014,53,48,18,0.5248,0.7465,0.6883
0.1053,52,48,19,0.52,0.7324,0.6771
0.1092,51,48,20,0.5152,0.7183,0.6658
0.113,50,48,21,0.5102,0.7042,0.6545
0.1169,50,48,21,0.5102,0.7042,0.6545
0.1208,49,48,22,0.5052,0.6901,0.643
0.1247,47,48,24,0.4947,0.662,0.6201
0.1286,45,48,26,0.4839,0.6338,0.5968
0.1324,44,48,27,0.4783,0.6197,0.5851
0.1363,44,48,27,0.4783,0.6197,0.5851
0.1402,44,48,27,0.4783,0.6197,0.5851
0.1441,43,48,28,0.4725,0.6056,0.5733
0.148,42,48,29,0.4667,0.5915,0.5615
0.1519,42,48,29,0.4667,0.5915,0.5615
0.1557,41,48,30,0.4607,0.5775,0.5496
0.1596,40,48,31,0.4545,0.5634,0.5376
0.1635,40,48,31,0.4545,0.5634,0.5376
0.1674,39,48,32,0.4483,0.5493,0.5256
0.1713,37,48,34,0.4353,0.5211,0.5014
0.1751,37,48,34,0.4353,0.5211,0.5014
0.179,35,48,36,0.4217,0.493,0.4768
0.1829,34,48,37,0.4146,0.4789,0.4645
0.1868,34,45,37,0.4304,0.4789,0.4683
0.1907,33,45,38,0.4231,0.4648,0.4558
0.1945,32,45,39,0.4156,0.4507,0.4432
0.1984,30,45,41,0.4,0.4225,0.4178
0.2023,29,25,42,0.537,0.4085,0.429
0.2062,29,25,42,0.537,0.4085,0.429
0.2101,29,25,42,0.537,0.4085,0.429
0.2139,29,25,42,0.537,0.4085,0.429
0.2178,29,25,42,0.537,0.4085,0.429
0.2217,28,25,43,0.5283,0.3944,0.4154
0.2256,25,25,46,0.5,0.3521,0.3743
0.2295,23,25,48,0.4792,0.3239,0.3464
0.2334,23,25,48,0.4792,0.3239,0.3464
0.2372,21,25,50,0.4565,0.2958,0.3182
0.2411,21,25,50,0.4565,0.2958,0.3182
0.245,20,25,51,0.4444,0.2817,0.304
0.2489,20,25,51,0.4444,0.2817,0.304
0.2528,19,25,52,0.4318,0.2676,0.2896
0.2566,19,25,52,0.4318,0.2676,0.2896
0.2605,19,25,52,0.4318,0.2676,0.2896
0.2644,17,25,54,0.4048,0.2394,0.2607
0.2683,16,25,55,0.3902,0.2254,0.2462
0.2722,16,25,55,0.3902,0.2254,0.2462
0.276,16,25,55,0.3902,0.2254,0.2462
0.2799,15,25,56,0.375,0.2113,0.2315
0.2838,15,25,56,0.375,0.2113,0.2315
0.2877,15,25,56,0.375,0.2113,0.2315
0.2916,15,25,56,0.375,0.2113,0.2315
0.2955,15,25,56,0.375,0.2113,0.2315
0.2993,12,25,59,0.3243,0.169,0.1869
0.3032,11,25,60,0.3056,0.1549,0.1719
0.3071,10,25,61,0.2857,0.1408,0.1567
0.311,9,25,62,0.2647,0.1268,0.1415
0.3149,8,25,63,0.2424,0.1127,0.1262
0.3187,7,25,64,0.2188,0.0986,0.1108
0.3226,7,25,64,0.2188,0.0986,0.1108
0.3265,7,25,64,0.2188,0.0986,0.1108
0.3304,7,25,64,0.2188,0.0986,0.1108
0.3343,6,25,65,0.1935,0.0845,0.0952
0.3381,5,25,66,0.1667,0.0704,0.0796
0.342,5,25,66,0.1667,0.0704,0.0796
0.3459,4,25,67,0.1379,0.0563,0.0639
0.3498,3,25,68,0.1071,0.0423,0.0481
0.3537,2,25,69,0.0741,0.0282,0.0322
0.3576,2,25,69,0.0741,0.0282,0.0322
0.3614,2,22,69,0.0833,0.0282,0.0325
0.3653,2,22,69,0.0833,0.0282,0.0325
0.3692,2,22,69,0.0833,0.0282,0.0325
0.3731,2,22,69,0.0833,0.0282,0.0325
0.377,2,22,69,0.0833,0.0282,0.0325
0.3808,1,22,70,0.0435,0.0141,0.0163
0.3847,1,22,70,0.0435,0.0141,0.0163
0.3886,1,22,70,0.0435,0.0141,0.0163
0.3925,0,22,71,0.0,0.0,0.0
0.3964,0,22,71,0.0,0.0,0.0
0.4002,0,11,71,0.0,0.0,0.0
0.4041,0,11,71,0.0,0.0,0.0
0.408,0,11,71,0.0,0.0,0.0
0.4119,0,11,71,0.0,0.0,0.0
0.4158,0,11,71,0.0,0.0,0.0
0.4196,0,11,71,0.0,0.0,0.0
0.4235,0,11,71,0.0,0.0,0.0
0.4274,0,11,71,0.0,0.0,0.0
0.4313,0,11,71,0.0,0.0,0.0
0.4352,0,11,71,0.0,0.0,0.0
0.4391,0,11,71,0.0,0.0,0.0
0.4429,0,11,71,0.0,0.0,0.0
0.4468,0,11,71,0.0,0.0,0.0
0.4507,0,11,71,0.0,0.0,0.0
0.4546,0,11,71,0.0,0.0,0.0
0.4585,0,11,71,0.0,0.0,0.0
0.4623,0,11,71,0.0,0.0,0.0
0.4662,0,11,71,0.0,0.0,0.0
0.4701,0,11,71,0.0,0.0,0.0
0.474,0,11,71,0.0,0.0,0.0
0.4779,0,11,71,0.0,0.0,0.0
0.4817,0,11,71,0.0,0.0,0.0
0.4856,0,11,71,0.0,0.0,0.0
0.4895,0,11,71,0.0,0.0,0.0
0.4934,0,11,71,0.0,0.0,0.0
0.4973,0,11,71,0.0,0.0,0.0
0.5012,0,11,71,0.0,0.0,0.0
0.505,0,11,71,0.0,0.0,0.0
0.5089,0,11,71,0.0,0.0,0.0
0.5128,0,11,71,0.0,0.0,0.0
0.5167,0,11,71,0.0,0.0,0.0
0.5206,0,11,71,0.0,0.0,0.0
0.5244,0,11,71,0.0,0.0,0.0
0.5283,0,11,71,0.0,0.0,0.0
0.5322,0,11,71,0.0,0.0,0.0
0.5361,0,11,71,0.0,0.0,0.0
0.54,0,11,71,0.0,0.0,0.0
0.5438,0,11,71,0.0,0.0,0.0
0.5477,0,11,71,0.0,0.0,0.0
0.5516,0,11,71,0.0,0.0,0.0
0.5555,0,11,71,0.0,0.0,0.0
0.5594,0,11,71,0.0,0.0,0.0
0.5633,0,11,71,0.0,0.0,0.0
0.5671,0,11,71,0.0,0.0,0.0
0.571,0,11,71,0.0,0.0,0.0
0.5749,0,11,71,0.0,0.0,0.0
0.5788,0,11,71,0.0,0.0,0.0
0.5827,0,11,71,0.0,0.0,0.0
0.5865,0,11,71,0.0,0.0,0.0
0.5904,0,11,71,0.0,0.0,0.0
0.5943,0,11,71,0.0,0.0,0.0
0.5982,0,11,71,0.0,0.0,0.0
0.6021,0,3,71,0.0,0.0,0.0
0.6059,0,3,71,0.0,0.0,0.0
0.6098,0,3,71,0.0,0.0,0.0
0.6137,0,3,71,0.0,0.0,0.0
0.6176,0,3,71,0.0,0.0,0.0
0.6215,0,3,71,0.0,0.0,0.0
0.6253,0,3,71,0.0,0.0,0.0
0.6292,0,3,71,0.0,0.0,0.0
0.6331,0,3,71,0.0,0.0,0.0
0.637,0,3,71,0.0,0.0,0.0
0.6409,0,3,71,0.0,0.0,0.0
0.6448,0,3,71,0.0,0.0,0.0
0.6486,0,3,71,0.0,0.0,0.0
0.6525,0,3,71,0.0,0.0,0.0
0.6564,0,3,71,0.0,0.0,0.0
0.6603,0,3,71,0.0,0.0,0.0
0.6642,0,3,71,0.0,0.0,0.0
0.668,0,3,71,0.0,0.0,0.0
0.6719,0,3,71,0.0,0.0,0.0
0.6758,0,3,71,0.0,0.0,0.0
0.6797,0,3,71,0.0,0.0,0.0
0.6836,0,3,71,0.0,0.0,0.0
0.6874,0,3,71,0.0,0.0,0.0
0.6913,0,3,71,0.0,0.0,0.0
0.6952,0,3,71,0.0,0.0,0.0
0.6991,0,3,71,0.0,0.0,0.0
0.703,0,3,71,0.0,0.0,0.0
0.7069,0,3,71,0.0,0.0,0.0
0.7107,0,3,71,0.0,0.0,0.0
0.7146,0,3,71,0.0,0.0,0.0
0.7185,0,3,71,0.0,0.0,0.0
0.7224,0,3,71,0.0,0.0,0.0
0.7263,0,3,71,0.0,0.0,0.0
