threshold,tp,fp,fn,precision,recall,f2
0.309,74,1088,0,0.0637,1.0,0.2538
0.3124,74,1042,0,0.0663,1.0,0.262
0.3159,74,1016,0,0.0679,1.0,0.267
0.3193,74,989,0,0.0696,1.0,0.2723
0.3227,74,944,0,0.0727,1.0,0.2816
0.3261,74,924,0,0.0741,1.0,0.2859
0.3295,74,892,0,0.0766,1.0,0.2932
0.333,74,860,0,0.0792,1.0,0.3008
0.3364,74,834,0,0.0815,1.0,0.3073
0.3398,74,796,0,0.0851,1.0,0.3173
0.3432,74,765,0,0.0882,1.0,0.326
0.3467,74,750,0,0.0898,1.0,0.3304
0.3501,74,723,0,0.0928,1.0,0.3385
0.3535,74,696,0,0.0961,1.0,0.3471
0.3569,74,677,0,0.0985,1.0,0.3534
0.3603,74,654,0,0.1016,1.0,0.3613
0.3638,74,632,0,0.1048,1.0,0.3693
0.3672,74,608,0,0.1085,1.0,0.3783
0.3706,74,589,0,0.1116,1.0,0.3858
0.374,74,571,0,0.1147,1.0,0.3932
0.3775,74,548,0,0.119,1.0,0.4031
0.3809,74,528,0,0.1229,1.0,0.412
0.3843,74,510,0,0.1267,1.0,0.4205
0.3877,74,493,0,0.1305,1.0,0.4287
0.3911,74,473,0,0.1353,1.0,0.4389
0.3946,74,459,0,0.1388,1.0,0.4463
0.398,74,440,0,0.144,1.0,0.4568
0.4014,74,425,0,0.1483,1.0,0.4654
0.4048,74,406,0,0.1542,1.0,0.4768
0.4083,74,393,0,0.1585,1.0,0.4849
0.4117,74,375,0,0.1648,1.0,0.4966
0.4151,74,364,0,0.1689,1.0,0.5041
0.4185,74,348,0,0.1754,1.0,0.5153
0.4219,74,331,0,0.1827,1.0,0.5278
0.4254,74,326,0,0.185,1.0,0.5316
0.4288,74,313,0,0.1912,1.0,0.5417
0.4322,74,302,0,0.1968,1.0,0.5506
0.4356,74,288,0,0.2044,1.0,0.5623
0.4391,74,274,0,0.2126,1.0,0.5745
0.4425,74,264,0,0.2189,1.0,0.5836
0.4459,74,258,0,0.2229,1.0,0.5892
0.4493,74,244,0,0.2327,1.0,0.6026
0.4527,74,230,0,0.2434,1.0,0.6167
0.4562,74,226,0,0.2467,1.0,0.6208
0.4596,74,216,0,0.2552,1.0,0.6314
0.463,74,208,0,0.2624,1.0,0.6401
0.4664,74,196,0,0.2741,1.0,0.6537
0.4698,74,187,0,0.2835,1.0,0.6643
0.4733,74,177,0,0.2948,1.0,0.6764
0.4767,74,175,0,0.2972,1.0,0.6789
0.4801,74,164,0,0.3109,1.0,0.6929
0.4835,74,156,0,0.3217,1.0,0.7034
0.487,74,149,0,0.3318,1.0,0.7129
0.4904,74,145,0,0.3379,1.0,0.7184
0.4938,74,137,0,0.3507,1.0,0.7298
0.4972,74,127,0,0.3682,1.0,0.7445
0.5006,74,126,0,0.37,1.0,0.746
0.5041,74,119,0,0.3834,1.0,0.7566
0.5075,74,112,0,0.3978,1.0,0.7676
0.5109,74,106,0,0.4111,1.0,0.7773
0.5143,74,100,0,0.4253,1.0,0.7872
0.5178,74,94,0,0.4405,1.0,0.7974
0.5212,74,90,0,0.4512,1.0,0.8043
0.5246,74,85,0,0.4654,1.0,0.8132
0.528,74,80,0,0.4805,1.0,0.8222
0.5314,74,76,0,0.4933,1.0,0.8296
0.5349,74,71,0,0.5103,1.0,0.839
0.5383,74,65,0,0.5324,1.0,0.8506
0.5417,74,62,0,0.5441,1.0,0.8565
0.5451,74,58,0,0.5606,1.0,0.8645
0.5486,74,50,0,0.5968,1.0,0.881
0.552,74,50,0,0.5968,1.0,0.881
0.5554,74,45,0,0.6218,1.0,0.8916
0.5588,74,42,0,0.6379,1.0,0.8981
0.5622,74,38,0,0.6607,1.0,0.9069
0.5657,74,36,0,0.6727,1.0,0.9113
0.5691,74,32,0,0.6981,1.0,0.9204
0.5725,74,28,0,0.7255,1.0,0.9296
0.5759,74,22,0,0.7708,1.0,0.9439
0.5794,74,20,0,0.7872,1.0,0.9487
0.5828,74,19,0,0.7957,1.0,0.9512
0.5862,74,14,0,0.8409,1.0,0.9635
0.5896,74,13,0,0.8506,1.0,0.9661
0.593,74,10,0,0.881,1.0,0.9737
0.5965,74,8,0,0.9024,1.0,0.9788
0.5999,74,5,0,0.9367,1.0,0.9867
0.6033,74,2,0,0.9737,1.0,0.9946
0.6067,74,0,0,1.0,1.0,1.0
0.6102,72,0,2,1.0,0.973,0.9783
0.6136,70,0,4,1.0,0.9459,0.9563
0.617,68,0,6,1.0,0.9189,0.9341
0.6204,66,0,8,1.0,0.8919,0.9116
0.6238,64,0,10,1.0,0.8649,0.8889
0.6273,62,0,12,1.0,0.8378,0.8659
0.6307,60,0,14,1.0,0.8108,0.8427
0.6341,58,0,16,1.0,0.7838,0.8192
0.6375,56,0,18,1.0,0.7568,0.7955
0.641,54,0,20,1.0,0.7297,0.7714
0.6444,52,0,22,1.0,0.7027,0.7471
0.6478,50,0,24,1.0,0.6757,0.7225
0.6512,50,0,24,1.0,0.6757,0.7225
0.6546,48,0,26,1.0,0.6486,0.6977
0.6581,46,0,28,1.0,0.6216,0.6725
0.6615,44,0,30,1.0,0.5946,0.6471
0.6649,44,0,30,1.0,0.5946,0.6471
0.6683,42,0,32,1.0,0.5676,0.6213
0.6717,40,0,34,1.0,0.5405,0.5952
