threshold,tp,fp,fn,precision,recall,f2
0.0,78,20274,0,0.0038,1.0,0.0189
0.004,76,53,2,0.5891,0.9744,0.8617
0.008,75,53,3,0.5859,0.9615,0.8523
0.0121,75,53,3,0.5859,0.9615,0.8523
0.0161,75,53,3,0.5859,0.9615,0.8523
0.0201,72,53,6,0.576,0.9231,0.8238
0.0241,71,53,7,0.5726,0.9103,0.8142
0.0281,71,53,7,0.5726,0.9103,0.8142
0.0322,71,53,7,0.5726,0.9103,0.8142
0.0362,71,53,7,0.5726,0.9103,0.8142
0.0402,70,53,8,0.5691,0.8974,0.8046
0.0442,67,53,11,0.5583,0.859,0.7755
0.0482,67,53,11,0.5583,0.859,0.7755
0.0523,67,53,11,0.5583,0.859,0.7755
0.0563,67,53,11,0.5583,0.859,0.7755
0.0603,67,53,11,0.5583,0.859,0.7755
0.0643,66,53,12,0.5546,0.8462,0.7657
0.0683,66,53,12,0.5546,0.8462,0.7657
0.0724,66,53,12,0.5546,0.8462,0.7657
0.0764,66,53,12,0.5546,0.8462,0.7657
0.0804,66,53,12,0.5546,0.8462,0.7657
0.0844,66,53,12,0.5546,0.8462,0.7657
0.0884,65,53,13,0.5508,0.8333,0.7558
0.0925,63,53,15,0.5431,0.8077,0.736
0.0965,62,53,16,0.5391,0.7949,0.726
0.1005,62,53,16,0.5391,0.7949,0.726
0.1045,61,53,17,0.5351,0.7821,0.716
0.1085,61,53,17,0.5351,0.7821,0.716
0.1126,61,53,17,0.5351,0.7821,0.716
0.1166,61,53,17,0.5351,0.7821,0.716
0.1206,59,53,19,0.5268,0.7564,0.6958
0.1246,59,53,19,0.5268,0.7564,0.6958
0.1286,58,53,20,0.5225,0.7436,0.6856
0.1327,56,53,22,0.5138,0.7179,0.6651
0.1367,56,53,22,0.5138,0.7179,0.6651
0.1407,56,53,22,0.5138,0.7179,0.6651
0.1447,55,53,23,0.5093,0.7051,0.6548
0.1487,53,53,25,0.5,0.6795,0.634
0.1528,51,53,27,0.4904,0.6538,0.613
0.1568,49,53,29,0.4804,0.6282,0.5918
0.1608,48,53,30,0.4752,0.6154,0.5811
0.1648,47,53,31,0.47,0.6026,0.5704
0.1688,47,53,31,0.47,0.6026,0.5704
0.1729,47,53,31,0.47,0.6026,0.5704
0.1769,46,53,32,0.4646,0.5897,0.5596
0.1809,46,53,32,0.4646,0.5897,0.5596
0.1849,41,53,37,0.4362,0.5256,0.5049
0.1889,40,53,38,0.4301,0.5128,0.4938
0.193,39,53,39,0.4239,0.5,0.4827
0.197,37,53,41,0.4111,0.4744,0.4602
0.201,36,20,42,0.6429,0.4615,0.4891
0.205,34,20,44,0.6296,0.4359,0.4645
0.209,34,20,44,0.6296,0.4359,0.4645
0.2131,34,20,44,0.6296,0.4359,0.4645
0.2171,33,20,45,0.6226,0.4231,0.4521
0.2211,33,20,45,0.6226,0.4231,0.4521
