threshold,tp,fp,fn,precision,recall,f2
0.0,80,20272,0,0.0039,1.0,0.0193
0.004,76,23,4,0.7677,0.95,0.9069
0.008,75,23,5,0.7653,0.9375,0.8971
0.0121,72,23,8,0.7579,0.9,0.8675
0.0161,71,23,9,0.7553,0.8875,0.8575
0.0201,70,23,10,0.7527,0.875,0.8475
0.0241,70,23,10,0.7527,0.875,0.8475
0.0281,70,23,10,0.7527,0.875,0.8475
0.0322,68,23,12,0.7473,0.85,0.8273
0.0362,68,23,12,0.7473,0.85,0.8273
0.0402,68,23,12,0.7473,0.85,0.8273
0.0442,67,23,13,0.7444,0.8375,0.8171
0.0482,66,23,14,0.7416,0.825,0.8068
0.0523,66,23,14,0.7416,0.825,0.8068
0.0563,65,23,15,0.7386,0.8125,0.7966
0.0603,65,23,15,0.7386,0.8125,0.7966
0.0643,63,23,17,0.7326,0.7875,0.7759
0.0683,62,23,18,0.7294,0.775,0.7654
0.0724,62,23,18,0.7294,0.775,0.7654
0.0764,62,23,18,0.7294,0.775,0.7654
0.0804,60,23,20,0.7229,0.75,0.7444
0.0844,59,23,21,0.7195,0.7375,0.7338
0.0884,57,23,23,0.7125,0.7125,0.7125
0.0925,55,23,25,0.7051,0.6875,0.691
0.0965,55,23,25,0.7051,0.6875,0.691
0.1005,54,23,26,0.7013,0.675,0.6801
0.1045,54,23,26,0.7013,0.675,0.6801
0.1085,52,23,28,0.6933,0.65,0.6582
0.1126,49,23,31,0.6806,0.6125,0.625
0.1166,48,23,32,0.6761,0.6,0.6138
0.1206,47,23,33,0.6714,0.5875,0.6026
0.1246,46,23,34,0.6667,0.575,0.5913
0.1286,45,23,35,0.6618,0.5625,0.5799
0.1327,44,23,36,0.6567,0.55,0.5685
0.1367,44,23,36,0.6567,0.55,0.5685
0.1407,43,23,37,0.6515,0.5375,0.557
0.1447,43,23,37,0.6515,0.5375,0.557
0.1487,41,23,39,0.6406,0.5125,0.5339
0.1528,40,23,40,0.6349,0.5,0.5222
0.1568,39,23,41,0.629,0.4875,0.5105
0.1608,39,23,41,0.629,0.4875,0.5105
0.1648,38,23,42,0.623,0.475,0.4987
0.1688,36,23,44,0.6102,0.45,0.4749
0.1729,36,23,44,0.6102,0.45,0.4749
0.1769,34,23,46,0.5965,0.425,0.4509
0.1809,33,23,47,0.5893,0.4125,0.4388
0.1849,33,23,47,0.5893,0.4125,0.4388
0.1889,32,23,48,0.5818,0.4,0.4267
0.193,32,23,48,0.5818,0.4,0.4267
0.197,30,23,50,0.566,0.375,0.4021
0.201,30,11,50,0.7317,0.375,0.4155
0.205,30,11,50,0.7317,0.375,0.4155
0.209,30,11,50,0.7317,0.375,0.4155
0.2131,29,11,51,0.725,0.3625,0.4028
0.2171,29,11,51,0.725,0.3625,0.4028
0.2211,27,11,53,0.7105,0.3375,0.3771
0.2251,27,11,53,0.7105,0.3375,0.3771
0.2291,26,11,54,0.7027,0.325,0.3641
0.2332,26,11,54,0.7027,0.325,0.3641
0.2372,23,11,57,0.6765,0.2875,0.3249
0.2412,22,11,58,0.6667,0.275,0.3116
0.2452,22,11,58,0.6667,0.275,0.3116
0.2492,20,11,60,0.6452,0.25,0.2849
0.2533,19,11,61,0.6333,0.2375,0.2714
0.2573,19,11,61,0.6333,0.2375,0.2714
0.2613,18,11,62,0.6207,0.225,0.2579
0.2653,16,11,64,0.5926,0.2,0.2305
0.2693,15,11,65,0.5769,0.1875,0.2168
0.2734,14,11,66,0.56,0.175,0.2029
0.2774,13,11,67,0.5417,0.1625,0.189
0.2814,13,11,67,0.5417,0.1625,0.189
0.2854,13,11,67,0.5417,0.1625,0.189
0.2894,13,11,67,0.5417,0.1625,0.189
0.2935,13,11,67,0.5417,0.1625,0.189
0.2975,13,11,67,0.5417,0.1625,0.189
0.3015,13,11,67,0.5417,0.1625,0.189
0.3055,13,11,67,0.5417,0.1625,0.189
0.3095,12,11,68,0.5217,0.15,0.1749
0.3136,11,11,69,0.5,0.1375,0.1608
0.3176,11,11,69,0.5,0.1375,0.1608
0.3216,11,11,69,0.5,0.1375,0.1608
0.3256,11,11,69,0.5,0.1375,0.1608
0.3296,9,11,71,0.45,0.1125,0.1324
0.3337,9,11,71,0.45,0.1125,0.1324
0.3377,9,11,71,0.45,0.1125,0.1324
0.3417,8,11,72,0.4211,0.1,0.118
0.3457,6,11,74,0.3529,0.075,0.089
0.3497,6,11,74,0.3529,0.075,0.089
0.3538,6,11,74,0.3529,0.075,0.089
0.3578,5,11,75,0.3125,0.0625,0.0744
0.3618,3,11,77,0.2143,0.0375,0.0449
0.3658,3,11,77,0.2143,0.0375,0.0449
0.3698,2,11,78,0.1538,0.025,0.03
0.3739,1,11,79,0.0833,0.0125,0.0151
0.3779,1,11,79,0.0833,0.0125,0.0151
0.3819,1,11,79,0.0833,0.0125,0.0151
0.3859,0,11,80,0.0,0.0,0.0
0.3899,0,11,80,0.0,0.0,0.0
0.394,0,11,80,0.0,0.0,0.0
0.398,0,11,80,0.0,0.0,0.0
0.402,0,5,80,0.0,0.0,0.0
0.406,0,5,80,0.0,0.0,0.0
0.4101,0,5,80,0.0,0.0,0.0
0.4141,0,5,80,0.0,0.0,0.0
0.4181,0,5,80,0.0,0.0,0.0
0.4221,0,5,80,0.0,0.0,0.0
0.4261,0,5,80,0.0,0.0,0.0
0.4302,0,5,80,0.0,0.0,0.0
0.4342,0,5,80,0.0,0.0,0.0
0.4382,0,5,80,0.0,0.0,0.0
0.4422,0,5,80,0.0,0.0,0.0
0.4462,0,5,80,0.0,0.0,0.0
0.4503,0,5,80,0.0,0.0,0.0
0.4543,0,5,80,0.0,0.0,0.0
0.4583,0,5,80,0.0,0.0,0.0
0.4623,0,5,80,0.0,0.0,0.0
0.4663,0,5,80,0.0,0.0,0.0
0.4704,0,5,80,0.0,0.0,0.0
0.4744,0,5,80,0.0,0.0,0.0
0.4784,0,5,80,0.0,0.0,0.0
0.4824,0,5,80,0.0,0.0,0.0
0.4864,0,5,80,0.0,0.0,0.0
0.4905,0,5,80,0.0,0.0,0.0
0.4945,0,5,80,0.0,0.0,0.0
0.4985,0,5,80,0.0,0.0,0.0
0.5025,0,5,80,0.0,0.0,0.0
0.5065,0,5,80,0.0,0.0,0.0
0.5106,0,5,80,0.0,0.0,0.0
0.5146,0,5,80,0.0,0.0,0.0
0.5186,0,5,80,0.0,0.0,0.0
0.5226,0,5,80,0.0,0.0,0.0
0.5266,0,5,80,0.0,0.0,0.0
0.5307,0,5,80,0.0,0.0,0.0
0.5347,0,5,80,0.0,0.0,0.0
0.5387,0,5,80,0.0,0.0,0.0
0.5427,0,5,80,0.0,0.0,0.0
0.5467,0,5,80,0.0,0.0,0.0
0.5508,0,5,80,0.0,0.0,0.0
0.5548,0,5,80,0.0,0.0,0.0
