threshold,tp,fp,fn,precision,recall,f2
0.0,79,20273,0,0.0039,1.0,0.0191
0.0045,11,8,68,0.5789,0.1392,0.1642
0.009,11,8,68,0.5789,0.1392,0.1642
0.0136,11,8,68,0.5789,0.1392,0.1642
0.0181,11,8,68,0.5789,0.1392,0.1642
0.0226,11,8,68,0.5789,0.1392,0.1642
0.0271,11,8,68,0.5789,0.1392,0.1642
0.0317,11,8,68,0.5789,0.1392,0.1642
0.0362,11,8,68,0.5789,0.1392,0.1642
0.0407,11,8,68,0.5789,0.1392,0.1642
0.0452,11,8,68,0.5789,0.1392,0.1642
0.0497,11,8,68,0.5789,0.1392,0.1642
0.0543,11,8,68,0.5789,0.1392,0.1642
0.0588,11,8,68,0.5789,0.1392,0.1642
0.0633,11,8,68,0.5789,0.1392,0.1642
0.0678,11,8,68,0.5789,0.1392,0.1642
0.0724,11,8,68,0.5789,0.1392,0.1642
0.0769,11,8,68,0.5789,0.1392,0.1642
0.0814,11,8,68,0.5789,0.1392,0.1642
0.0859,11,8,68,0.5789,0.1392,0.1642
0.0905,11,8,68,0.5789,0.1392,0.1642
0.095,11,8,68,0.5789,0.1392,0.1642
0.0995,11,8,68,0.5789,0.1392,0.1642
0.104,11,8,68,0.5789,0.1392,0.1642
0.1085,11,8,68,0.5789,0.1392,0.1642
0.1131,11,8,68,0.5789,0.1392,0.1642
0.1176,11,8,68,0.5789,0.1392,0.1642
0.1221,10,8,69,0.5556,0.1266,0.1497
0.1266,10,8,69,0.5556,0.1266,0.1497
0.1312,10,8,69,0.5556,0.1266,0.1497
0.1357,10,8,69,0.5556,0.1266,0.1497
0.1402,10,8,69,0.5556,0.1266,0.1497
0.1447,10,8,69,0.5556,0.1266,0.1497
0.1492,10,8,69,0.5556,0.1266,0.1497
0.1538,10,8,69,0.5556,0.1266,0.1497
0.1583,10,8,69,0.5556,0.1266,0.1497
0.1628,10,8,69,0.5556,0.1266,0.1497
0.1673,10,8,69,0.5556,0.1266,0.1497
0.1719,10,8,69,0.5556,0.1266,0.1497
0.1764,10,8,69,0.5556,0.1266,0.1497
0.1809,10,8,69,0.5556,0.1266,0.1497
0.1854,10,8,69,0.5556,0.1266,0.1497
0.1899,9,8,70,0.5294,0.1139,0.1351
0.1945,9,8,70,0.5294,0.1139,0.1351
0.199,9,0,70,1.0,0.1139,0.1385
0.2035,9,0,70,1.0,0.1139,0.1385
0.208,9,0,70,1.0,0.1139,0.1385
0.2126,9,0,70,1.0,0.1139,0.1385
0.2171,9,0,70,1.0,0.1139,0.1385
0.2216,8,0,71,1.0,0.1013,0.1235
0.2261,8,0,71,1.0,0.1013,0.1235
0.2307,8,0,71,1.0,0.1013,0.1235
0.2352,8,0,71,1.0,0.1013,0.1235
0.2397,8,0,71,1.0,0.1013,0.1235
0.2442,8,0,71,1.0,0.1013,0.1235
0.2487,8,0,71,1.0,0.1013,0.1235
0.2533,8,0,71,1.0,0.1013,0.1235
0.2578,8,0,71,1.0,0.1013,0.1235
0.2623,8,0,71,1.0,0.1013,0.1235
0.2668,8,0,71,1.0,0.1013,0.1235
0.2714,8,0,71,1.0,0.1013,0.1235
0.2759,8,0,71,1.0,0.1013,0.1235
0.2804,8,0,71,1.0,0.1013,0.1235
0.2849,8,0,71,1.0,0.1013,0.1235
0.2894,8,0,71,1.0,0.1013,0.1235
0.294,8,0,71,1.0,0.1013,0.1235
0.2985,8,0,71,1.0,0.1013,0.1235
0.303,7,0,72,1.0,0.0886,0.1084
0.3075,7,0,72,1.0,0.0886,0.1084
0.3121,7,0,72,1.0,0.0886,0.1084
0.3166,7,0,72,1.0,0.0886,0.1084
0.3211,7,0,72,1.0,0.0886,0.1084
0.3256,7,0,72,1.0,0.0886,0.1084
0.3302,7,0,72,1.0,0.0886,0.1084
0.3347,7,0,72,1.0,0.0886,0.1084
0.3392,7,0,72,1.0,0.0886,0.1084
0.3437,7,0,72,1.0,0.0886,0.1084
0.3482,7,0,72,1.0,0.0886,0.1084
0.3528,7,0,72,1.0,0.0886,0.1084
0.3573,7,0,72,1.0,0.0886,0.1084
0.3618,7,0,72,1.0,0.0886,0.1084
0.3663,7,0,72,1.0,0.0886,0.1084
0.3709,7,0,72,1.0,0.0886,0.1084
0.3754,7,0,72,1.0,0.0886,0.1084
0.3799,7,0,72,1.0,0.0886,0.1084
0.3844,7,0,72,1.0,0.0886,0.1084
0.3889,7,0,72,1.0,0.0886,0.1084
