threshold,tp,fp,fn,precision,recall,f2
0.0,71,20281,0,0.0035,1.0,0.0172
0.0012,68,19,3,0.7816,0.9577,0.9164
0.0025,67,19,4,0.7791,0.9437,0.9054
0.0037,67,19,4,0.7791,0.9437,0.9054
0.0049,67,19,4,0.7791,0.9437,0.9054
0.0062,66,19,5,0.7765,0.9296,0.8943
0.0074,66,19,5,0.7765,0.9296,0.8943
0.0086,66,19,5,0.7765,0.9296,0.8943
0.0099,66,19,5,0.7765,0.9296,0.8943
0.0111,66,19,5,0.7765,0.9296,0.8943
0.0124,66,19,5,0.7765,0.9296,0.8943
0.0136,65,19,6,0.7738,0.9155,0.8832
0.0148,64,19,7,0.7711,0.9014,0.8719
0.0161,64,19,7,0.7711,0.9014,0.8719
0.0173,62,19,9,0.7654,0.8732,0.8493
0.0185,61,19,10,0.7625,0.8592,0.8379
0.0198,60,19,11,0.7595,0.8451,0.8264
0.021,60,19,11,0.7595,0.8451,0.8264
0.0222,59,19,12,0.7564,0.831,0.8149
0.0235,59,19,12,0.7564,0.831,0.8149
0.0247,59,19,12,0.7564,0.831,0.8149
0.0259,59,19,12,0.7564,0.831,0.8149
0.0272,58,19,13,0.7532,0.8169,0.8033
0.0284,55,19,16,0.7432,0.7746,0.7682
0.0297,54,19,17,0.7397,0.7606,0.7563
0.0309,53,19,18,0.7361,0.7465,0.7444
0.0321,51,19,20,0.7286,0.7183,0.7203
0.0334,50,19,21,0.7246,0.7042,0.7082
0.0346,49,19,22,0.7206,0.6901,0.696
0.0358,47,19,24,0.7121,0.662,0.6714
0.0371,46,19,25,0.7077,0.6479,0.659
0.0383,46,19,25,0.7077,0.6479,0.659
0.0395,44,19,27,0.6984,0.6197,0.634
0.0408,44,19,27,0.6984,0.6197,0.634
0.042,44,19,27,0.6984,0.6197,0.634
0.0432,44,19,27,0.6984,0.6197,0.634
0.0445,44,19,27,0.6984,0.6197,0.634
0.0457,44,19,27,0.6984,0.6197,0.634
0.0469,44,19,27,0.6984,0.6197,0.634
0.0482,44,19,27,0.6984,0.6197,0.634
0.0494,42,19,29,0.6885,0.5915,0.6087
0.0507,41,19,30,0.6833,0.5775,0.5959
0.0519,41,19,30,0.6833,0.5775,0.5959
0.0531,41,19,30,0.6833,0.5775,0.5959
0.0544,41,19,30,0.6833,0.5775,0.5959
0.0556,41,19,30,0.6833,0.5775,0.5959
0.0568,41,19,30,0.6833,0.5775,0.5959
0.0581,41,19,30,0.6833,0.5775,0.5959
0.0593,41,19,30,0.6833,0.5775,0.5959
0.0605,41,19,30,0.6833,0.5775,0.5959
0.0618,40,19,31,0.678,0.5634,0.5831
0.063,40,19,31,0.678,0.5634,0.5831
0.0642,40,19,31,0.678,0.5634,0.5831
