threshold,tp,fp,fn,precision,recall,f2
0.0,77,20275,0,0.0038,1.0,0.0186
0.004,74,7,3,0.9136,0.961,0.9512
0.008,73,7,4,0.9125,0.9481,0.9407
0.0121,72,7,5,0.9114,0.9351,0.9302
0.0161,71,7,6,0.9103,0.9221,0.9197
0.0201,70,7,7,0.9091,0.9091,0.9091
0.0241,70,7,7,0.9091,0.9091,0.9091
0.0281,70,7,7,0.9091,0.9091,0.9091
0.0322,69,7,8,0.9079,0.8961,0.8984
0.0362,69,7,8,0.9079,0.8961,0.8984
0.0402,68,7,9,0.9067,0.8831,0.8877
0.0442,66,7,11,0.9041,0.8571,0.8661
0.0482,66,7,11,0.9041,0.8571,0.8661
0.0523,66,7,11,0.9041,0.8571,0.8661
0.0563,65,7,12,0.9028,0.8442,0.8553
0.0603,65,7,12,0.9028,0.8442,0.8553
0.0643,65,7,12,0.9028,0.8442,0.8553
0.0683,64,7,13,0.9014,0.8312,0.8443
0.0724,62,7,15,0.8986,0.8052,0.8223
0.0764,62,7,15,0.8986,0.8052,0.8223
0.0804,62,7,15,0.8986,0.8052,0.8223
0.0844,60,7,17,0.8955,0.7792,0.8
0.0884,58,7,19,0.8923,0.7532,0.7775
0.0925,56,7,21,0.8889,0.7273,0.7547
0.0965,56,7,21,0.8889,0.7273,0.7547
0.1005,54,7,23,0.8852,0.7013,0.7317
0.1045,54,7,23,0.8852,0.7013,0.7317
0.1085,53,7,24,0.8833,0.6883,0.7201
0.1126,53,7,24,0.8833,0.6883,0.7201
0.1166,53,7,24,0.8833,0.6883,0.7201
0.1206,53,7,24,0.8833,0.6883,0.7201
0.1246,52,7,25,0.8814,0.6753,0.7084
0.1286,51,7,26,0.8793,0.6623,0.6967
0.1327,49,7,28,0.875,0.6364,0.6731
0.1367,49,7,28,0.875,0.6364,0.6731
0.1407,48,7,29,0.8727,0.6234,0.6612
0.1447,45,7,32,0.8654,0.5844,0.625
0.1487,44,7,33,0.8627,0.5714,0.6128
0.1528,42,7,35,0.8571,0.5455,0.5882
0.1568,41,7,36,0.8542,0.5325,0.5758
0.1608,40,7,37,0.8511,0.5195,0.5634
0.1648,39,7,38,0.8478,0.5065,0.5508
0.1688,39,7,38,0.8478,0.5065,0.5508
0.1729,36,7,41,0.8372,0.4675,0.5128
0.1769,36,7,41,0.8372,0.4675,0.5128
0.1809,36,7,41,0.8372,0.4675,0.5128
0.1849,36,7,41,0.8372,0.4675,0.5128
0.1889,36,7,41,0.8372,0.4675,0.5128
0.193,34,7,43,0.8293,0.4416,0.4871
0.197,34,7,43,0.8293,0.4416,0.4871
0.201,34,7,43,0.8293,0.4416,0.4871
0.205,34,7,43,0.8293,0.4416,0.4871
0.209,32,7,45,0.8205,0.4156,0.4611
0.2131,30,7,47,0.8108,0.3896,0.4348
0.2171,28,7,49,0.8,0.3636,0.4082
0.2211,28,7,49,0.8,0.3636,0.4082
0.2251,26,7,51,0.7879,0.3377,0.3812
0.2291,25,7,52,0.7812,0.3247,0.3676
0.2332,24,7,53,0.7742,0.3117,0.354
0.2372,24,7,53,0.7742,0.3117,0.354
0.2412,22,7,55,0.7586,0.2857,0.3264
