threshold,tp,fp,fn,precision,recall,f2
0.4987,68,16,1,0.8095,0.9855,0.9444
0.5012,68,16,1,0.8095,0.9855,0.9444
0.5036,68,16,1,0.8095,0.9855,0.9444
0.5061,68,16,1,0.8095,0.9855,0.9444
0.5086,68,16,1,0.8095,0.9855,0.9444
0.511,68,16,1,0.8095,0.9855,0.9444
0.5135,68,16,1,0.8095,0.9855,0.9444
0.516,68,16,1,0.8095,0.9855,0.9444
0.5184,68,16,1,0.8095,0.9855,0.9444
0.5209,68,16,1,0.8095,0.9855,0.9444
0.5234,68,16,1,0.8095,0.9855,0.9444
0.5259,68,16,1,0.8095,0.9855,0.9444
0.5283,68,16,1,0.8095,0.9855,0.9444
0.5308,68,16,1,0.8095,0.9855,0.9444
0.5333,68,16,1,0.8095,0.9855,0.9444
0.5357,68,16,1,0.8095,0.9855,0.9444
0.5382,68,16,1,0.8095,0.9855,0.9444
0.5407,68,16,1,0.8095,0.9855,0.9444
0.5431,68,16,1,0.8095,0.9855,0.9444
0.5456,68,16,1,0.8095,0.9855,0.9444
0.5481,68,16,1,0.8095,0.9855,0.9444
0.5505,68,16,1,0.8095,0.9855,0.9444
0.553,68,16,1,0.8095,0.9855,0.9444
0.5555,68,16,1,0.8095,0.9855,0.9444
0.5579,68,16,1,0.8095,0.9855,0.9444
0.5604,68,16,1,0.8095,0.9855,0.9444
0.5629,68,16,1,0.8095,0.9855,0.9444
0.5654,68,16,1,0.8095,0.9855,0.9444
0.5678,68,16,1,0.8095,0.9855,0.9444
0.5703,68,16,1,0.8095,0.9855,0.9444
0.5728,68,16,1,0.8095,0.9855,0.9444
0.5752,68,16,1,0.8095,0.9855,0.9444
0.5777,68,16,1,0.8095,0.9855,0.9444
0.5802,68,16,1,0.8095,0.9855,0.9444
0.5826,68,16,1,0.8095,0.9855,0.9444
0.5851,68,16,1,0.8095,0.9855,0.9444
0.5876,68,16,1,0.8095,0.9855,0.9444
0.59,68,16,1,0.8095,0.9855,0.9444
0.5925,68,16,1,0.8095,0.9855,0.9444
0.595,68,16,1,0.8095,0.9855,0.9444
0.5975,68,16,1,0.8095,0.9855,0.9444
0.5999,68,16,1,0.8095,0.9855,0.9444
0.6024,68,16,1,0.8095,0.9855,0.9444
0.6049,68,16,1,0.8095,0.9855,0.9444
0.6073,68,16,1,0.8095,0.9855,0.9444
0.6098,68,16,1,0.8095,0.9855,0.9444
0.6123,68,16,1,0.8095,0.9855,0.9444
0.6147,68,16,1,0.8095,0.9855,0.9444
0.6172,68,16,1,0.8095,0.9855,0.9444
0.6197,68,16,1,0.8095,0.9855,0.9444
0.6221,68,16,1,0.8095,0.9855,0.9444
0.6246,68,16,1,0.8095,0.9855,0.9444
0.6271,68,16,1,0.8095,0.9855,0.9444
0.6295,68,16,1,0.8095,0.9855,0.9444
0.632,68,16,1,0.8095,0.9855,0.9444
0.6345,68,16,1,0.8095,0.9855,0.9444
0.637,68,16,1,0.8095,0.9855,0.9444
0.6394,68,16,1,0.8095,0.9855,0.9444
0.6419,68,16,1,0.8095,0.9855,0.9444
0.6444,68,16,1,0.8095,0.9855,0.9444
0.6468,68,16,1,0.8095,0.9855,0.9444
0.6493,68,16,1,0.8095,0.9855,0.9444
0.6518,68,16,1,0.8095,0.9855,0.9444
0.6542,68,16,1,0.8095,0.9855,0.9444
0.6567,68,16,1,0.8095,0.9855,0.9444
0.6592,68,16,1,0.8095,0.9855,0.9444
0.6616,68,16,1,0.8095,0.9855,0.9444
0.6641,68,16,1,0.8095,0.9855,0.9444
0.6666,68,16,1,0.8095,0.9855,0.9444
0.669,68,16,1,0.8095,0.9855,0.9444
0.6715,68,16,1,0.8095,0.9855,0.9444
0.674,68,16,1,0.8095,0.9855,0.9444
0.6765,68,16,1,0.8095,0.9855,0.9444
0.6789,68,16,1,0.8095,0.9855,0.9444
0.6814,68,16,1,0.8095,0.9855,0.9444
0.6839,68,16,1,0.8095,0.9855,0.9444
0.6863,68,16,1,0.8095,0.9855,0.9444
0.6888,68,16,1,0.8095,0.9855,0.9444
0.6913,68,16,1,0.8095,0.9855,0.9444
0.6937,68,16,1,0.8095,0.9855,0.9444
0.6962,68,16,1,0.8095,0.9855,0.9444
0.6987,68,16,1,0.8095,0.9855,0.9444
0.7011,68,16,1,0.8095,0.9855,0.9444
0.7036,68,16,1,0.8095,0.9855,0.9444
0.7061,68,16,1,0.8095,0.9855,0.9444
0.7085,68,16,1,0.8095,0.9855,0.9444
0.711,68,16,1,0.8095,0.9855,0.9444
0.7135,68,16,1,0.8095,0.9855,0.9444
0.716,68,16,1,0.8095,0.9855,0.9444
0.7184,68,16,1,0.8095,0.9855,0.9444
0.7209,68,16,1,0.8095,0.9855,0.9444
0.7234,68,16,1,0.8095,0.9855,0.9444
0.7258,68,16,1,0.8095,0.9855,0.9444
0.7283,68,16,1,0.8095,0.9855,0.9444
0.7308,68,16,1,0.8095,0.9855,0.9444
0.7332,68,16,1,0.8095,0.9855,0.9444
0.7357,68,16,1,0.8095,0.9855,0.9444
0.7382,68,16,1,0.8095,0.9855,0.9444
0.7406,68,16,1,0.8095,0.9855,0.9444
0.7431,68,16,1,0.8095,0.9855,0.9444
0.7456,68,16,1,0.8095,0.9855,0.9444
0.7481,68,16,1,0.8095,0.9855,0.9444
0.7505,68,16,1,0.8095,0.9855,0.9444
0.753,68,16,1,0.8095,0.9855,0.9444
0.7555,68,16,1,0.8095,0.9855,0.9444
0.7579,68,16,1,0.8095,0.9855,0.9444
0.7604,68,16,1,0.8095,0.9855,0.9444
0.7629,68,16,1,0.8095,0.9855,0.9444
0.7653,68,16,1,0.8095,0.9855,0.9444
0.7678,68,16,1,0.8095,0.9855,0.9444
0.7703,68,16,1,0.8095,0.9855,0.9444
0.7727,68,16,1,0.8095,0.9855,0.9444
0.7752,68,16,1,0.8095,0.9855,0.9444
0.7777,68,16,1,0.8095,0.9855,0.9444
0.7801,68,16,1,0.8095,0.9855,0.9444
0.7826,68,16,1,0.8095,0.9855,0.9444
0.7851,68,16,1,0.8095,0.9855,0.9444
0.7876,68,16,1,0.8095,0.9855,0.9444
0.79,68,16,1,0.8095,0.9855,0.9444
0.7925,68,16,1,0.8095,0.9855,0.9444
0.795,68,16,1,0.8095,0.9855,0.9444
0.7974,68,16,1,0.8095,0.9855,0.9444
0.7999,68,16,1,0.8095,0.9855,0.9444
0.8024,68,16,1,0.8095,0.9855,0.9444
0.8048,68,16,1,0.8095,0.9855,0.9444
0.8073,68,16,1,0.8095,0.9855,0.9444
0.8098,68,16,1,0.8095,0.9855,0.9444
0.8122,68,16,1,0.8095,0.9855,0.9444
0.8147,68,16,1,0.8095,0.9855,0.9444
0.8172,68,16,1,0.8095,0.9855,0.9444
0.8196,68,16,1,0.8095,0.9855,0.9444
0.8221,68,16,1,0.8095,0.9855,0.9444
0.8246,68,16,1,0.8095,0.9855,0.9444
0.8271,68,16,1,0.8095,0.9855,0.9444
0.8295,68,16,1,0.8095,0.9855,0.9444
0.832,68,16,1,0.8095,0.9855,0.9444
0.8345,68,16,1,0.8095,0.9855,0.9444
0.8369,68,16,1,0.8095,0.9855,0.9444
0.8394,68,16,1,0.8095,0.9855,0.9444
0.8419,68,16,1,0.8095,0.9855,0.9444
0.8443,68,16,1,0.8095,0.9855,0.9444
0.8468,68,16,1,0.8095,0.9855,0.9444
0.8493,68,16,1,0.8095,0.9855,0.9444
0.8517,68,16,1,0.8095,0.9855,0.9444
0.8542,68,16,1,0.8095,0.9855,0.9444
0.8567,68,16,1,0.8095,0.9855,0.9444
0.8592,68,16,1,0.8095,0.9855,0.9444
0.8616,68,16,1,0.8095,0.9855,0.9444
0.8641,68,16,1,0.8095,0.9855,0.9444
0.8666,68,16,1,0.8095,0.9855,0.9444
0.869,68,16,1,0.8095,0.9855,0.9444
0.8715,68,16,1,0.8095,0.9855,0.9444
0.874,68,16,1,0.8095,0.9855,0.9444
0.8764,68,16,1,0.8095,0.9855,0.9444
0.8789,68,16,1,0.8095,0.9855,0.9444
0.8814,68,16,1,0.8095,0.9855,0.9444
0.8838,68,16,1,0.8095,0.9855,0.9444
0.8863,68,16,1,0.8095,0.9855,0.9444
0.8888,68,16,1,0.8095,0.9855,0.9444
0.8912,68,16,1,0.8095,0.9855,0.9444
0.8937,68,16,1,0.8095,0.9855,0.9444
0.8962,68,16,1,0.8095,0.9855,0.9444
0.8987,68,16,1,0.8095,0.9855,0.9444
0.9011,68,16,1,0.8095,0.9855,0.9444
0.9036,68,16,1,0.8095,0.9855,0.9444
0.9061,68,16,1,0.8095,0.9855,0.9444
0.9085,68,16,1,0.8095,0.9855,0.9444
0.911,68,16,1,0.8095,0.9855,0.9444
0.9135,68,16,1,0.8095,0.9855,0.9444
0.9159,68,16,1,0.8095,0.9855,0.9444
0.9184,68,16,1,0.8095,0.9855,0.9444
0.9209,68,16,1,0.8095,0.9855,0.9444
0.9233,68,16,1,0.8095,0.9855,0.9444
0.9258,68,16,1,0.8095,0.9855,0.9444
0.9283,68,16,1,0.8095,0.9855,0.9444
0.9307,68,16,1,0.8095,0.9855,0.9444
0.9332,68,16,1,0.8095,0.9855,0.9444
0.9357,68,16,1,0.8095,0.9855,0.9444
0.9382,68,16,1,0.8095,0.9855,0.9444
0.9406,68,16,1,0.8095,0.9855,0.9444
0.9431,68,16,1,0.8095,0.9855,0.9444
0.9456,68,16,1,0.8095,0.9855,0.9444
0.948,68,16,1,0.8095,0.9855,0.9444
0.9505,68,16,1,0.8095,0.9855,0.9444
0.953,68,16,1,0.8095,0.9855,0.9444
0.9554,68,16,1,0.8095,0.9855,0.9444
0.9579,68,16,1,0.8095,0.9855,0.9444
0.9604,68,16,1,0.8095,0.9855,0.9444
0.9628,68,16,1,0.8095,0.9855,0.9444
0.9653,68,16,1,0.8095,0.9855,0.9444
0.9678,68,16,1,0.8095,0.9855,0.9444
0.9702,68,16,1,0.8095,0.9855,0.9444
0.9727,68,16,1,0.8095,0.9855,0.9444
0.9752,68,16,1,0.8095,0.9855,0.9444
0.9777,68,16,1,0.8095,0.9855,0.9444
0.9801,68,16,1,0.8095,0.9855,0.9444
0.9826,68,16,1,0.8095,0.9855,0.9444
0.9851,68,16,1,0.8095,0.9855,0.9444
0.9875,68,16,1,0.8095,0.9855,0.9444
0.99,68,16,1,0.8095,0.9855,0.9444
