threshold,tp,fp,fn,precision,recall,f2
0.05,58,759,21,0.071,0.7342,0.256
0.0546,58,759,21,0.071,0.7342,0.256
0.0592,56,759,23,0.0687,0.7089,0.2476
0.0638,56,759,23,0.0687,0.7089,0.2476
0.0684,54,759,25,0.0664,0.6835,0.2391
0.073,54,673,25,0.0743,0.6835,0.2589
0.0776,54,673,25,0.0743,0.6835,0.2589
0.0822,54,673,25,0.0743,0.6835,0.2589
0.0868,54,673,25,0.0743,0.6835,0.2589
0.0914,54,673,25,0.0743,0.6835,0.2589
0.096,54,673,25,0.0743,0.6835,0.2589
0.1006,53,673,26,0.073,0.6709,0.2543
0.1052,53,648,26,0.0756,0.6709,0.2606
0.1098,53,648,26,0.0756,0.6709,0.2606
0.1144,53,648,26,0.0756,0.6709,0.2606
0.119,53,648,26,0.0756,0.6709,0.2606
0.1236,53,648,26,0.0756,0.6709,0.2606
0.1282,52,648,27,0.0743,0.6582,0.2559
0.1328,51,648,28,0.073,0.6456,0.2512
0.1374,51,648,28,0.073,0.6456,0.2512
0.142,47,608,32,0.0718,0.5949,0.242
0.1466,47,608,32,0.0718,0.5949,0.242
0.1512,47,608,32,0.0718,0.5949,0.242
0.1558,47,608,32,0.0718,0.5949,0.242
0.1604,45,608,34,0.0689,0.5696,0.2322
0.165,45,608,34,0.0689,0.5696,0.2322
0.1696,45,608,34,0.0689,0.5696,0.2322
0.1742,45,608,34,0.0689,0.5696,0.2322
0.1788,45,579,34,0.0721,0.5696,0.2394
0.1834,45,579,34,0.0721,0.5696,0.2394
0.188,45,579,34,0.0721,0.5696,0.2394
0.1926,45,579,34,0.0721,0.5696,0.2394
0.1972,44,579,35,0.0706,0.557,0.2343
0.2018,43,579,36,0.0691,0.5443,0.2292
0.2064,43,579,36,0.0691,0.5443,0.2292
0.211,42,579,37,0.0676,0.5316,0.2241
0.2156,42,579,37,0.0676,0.5316,0.2241
0.2202,42,579,37,0.0676,0.5316,0.2241
0.2248,41,579,38,0.0661,0.519,0.219
0.2294,40,579,39,0.0646,0.5063,0.2139
0.234,40,579,39,0.0646,0.5063,0.2139
0.2386,40,579,39,0.0646,0.5063,0.2139
0.2433,39,579,40,0.0631,0.4937,0.2088
0.2479,38,541,41,0.0656,0.481,0.2123
0.2525,38,541,41,0.0656,0.481,0.2123
0.2571,38,541,41,0.0656,0.481,0.2123
0.2617,37,541,42,0.064,0.4684,0.2069
0.2663,37,541,42,0.064,0.4684,0.2069
0.2709,37,541,42,0.064,0.4684,0.2069
0.2755,37,541,42,0.064,0.4684,0.2069
0.2801,37,430,42,0.0792,0.4684,0.2363
0.2847,37,430,42,0.0792,0.4684,0.2363
0.2893,37,430,42,0.0792,0.4684,0.2363
0.2939,37,430,42,0.0792,0.4684,0.2363
0.2985,37,430,42,0.0792,0.4684,0.2363
0.3031,34,430,45,0.0733,0.4304,0.2179
0.3077,32,430,47,0.0693,0.4051,0.2057
0.3123,31,430,48,0.0672,0.3924,0.1995
0.3169,30,430,49,0.0652,0.3797,0.1933
0.3215,30,430,49,0.0652,0.3797,0.1933
0.3261,30,430,49,0.0652,0.3797,0.1933
0.3307,29,430,50,0.0632,0.3671,0.1871
0.3353,29,430,50,0.0632,0.3671,0.1871
0.3399,28,430,51,0.0611,0.3544,0.1809
0.3445,27,430,52,0.0591,0.3418,0.1746
0.3491,27,359,52,0.0699,0.3418,0.1923
0.3537,27,359,52,0.0699,0.3418,0.1923
0.3583,27,359,52,0.0699,0.3418,0.1923
0.3629,27,359,52,0.0699,0.3418,0.1923
0.3675,27,359,52,0.0699,0.3418,0.1923
0.3721,27,359,52,0.0699,0.3418,0.1923
0.3767,27,359,52,0.0699,0.3418,0.1923
0.3813,27,359,52,0.0699,0.3418,0.1923
0.3859,26,359,53,0.0675,0.3291,0.1854
0.3905,24,359,55,0.0627,0.3038,0.1717
0.3951,23,359,56,0.0602,0.2911,0.1648
0.3997,22,359,57,0.0577,0.2785,0.1578
0.4043,22,359,57,0.0577,0.2785,0.1578
0.4089,22,359,57,0.0577,0.2785,0.1578
0.4135,20,359,59,0.0528,0.2532,0.1439
0.4181,19,359,60,0.0503,0.2405,0.1369
0.4227,19,291,60,0.0613,0.2405,0.1518
0.4273,19,291,60,0.0613,0.2405,0.1518
0.4319,19,291,60,0.0613,0.2405,0.1518
0.4365,19,291,60,0.0613,0.2405,0.1518
0.4411,19,291,60,0.0613,0.2405,0.1518
0.4457,19,291,60,0.0613,0.2405,0.1518
0.4503,19,291,60,0.0613,0.2405,0.1518
0.4549,18,291,61,0.0583,0.2278,0.144
0.4595,16,291,63,0.0521,0.2025,0.1284
0.4641,16,291,63,0.0521,0.2025,0.1284
0.4687,15,291,64,0.049,0.1899,0.1206
0.4733,14,291,65,0.0459,0.1772,0.1127
0.4779,13,291,66,0.0428,0.1646,0.1048
0.4825,13,291,66,0.0428,0.1646,0.1048
0.4871,12,291,67,0.0396,0.1519,0.0969
0.4917,12,291,67,0.0396,0.1519,0.0969
0.4963,12,291,67,0.0396,0.1519,0.0969
0.5009,12,291,67,0.0396,0.1519,0.0969
0.5055,12,291,67,0.0396,0.1519,0.0969
0.5101,12,291,67,0.0396,0.1519,0.0969
0.5147,12,291,67,0.0396,0.1519,0.0969
0.5193,12,291,67,0.0396,0.1519,0.0969
0.5239,12,260,67,0.0441,0.1519,0.102
0.5285,12,260,67,0.0441,0.1519,0.102
0.5331,12,260,67,0.0441,0.1519,0.102
0.5377,12,260,67,0.0441,0.1519,0.102
0.5423,10,260,69,0.037,0.1266,0.0853
0.5469,9,260,70,0.0335,0.1139,0.0769
0.5515,9,260,70,0.0335,0.1139,0.0769
0.5561,9,260,70,0.0335,0.1139,0.0769
0.5607,9,260,70,0.0335,0.1139,0.0769
0.5653,9,260,70,0.0335,0.1139,0.0769
0.5699,9,260,70,0.0335,0.1139,0.0769
0.5745,8,260,71,0.0299,0.1013,0.0685
0.5791,8,260,71,0.0299,0.1013,0.0685
