threshold,tp,fp,fn,precision,recall,f2
0.0,76,20276,0,0.0037,1.0,0.0184
0.004,76,23,0,0.7677,1.0,0.9429
0.008,76,23,0,0.7677,1.0,0.9429
0.0121,74,23,2,0.7629,0.9737,0.9227
0.0161,74,23,2,0.7629,0.9737,0.9227
0.0201,74,23,2,0.7629,0.9737,0.9227
0.0241,73,23,3,0.7604,0.9605,0.9125
0.0281,73,23,3,0.7604,0.9605,0.9125
0.0322,72,23,4,0.7579,0.9474,0.9023
0.0362,71,23,5,0.7553,0.9342,0.892
0.0402,69,23,7,0.75,0.9079,0.8712
0.0442,69,23,7,0.75,0.9079,0.8712
0.0482,68,23,8,0.7473,0.8947,0.8608
0.0523,68,23,8,0.7473,0.8947,0.8608
0.0563,68,23,8,0.7473,0.8947,0.8608
0.0603,66,23,10,0.7416,0.8684,0.8397
0.0643,66,23,10,0.7416,0.8684,0.8397
0.0683,63,23,13,0.7326,0.8289,0.8077
0.0724,63,23,13,0.7326,0.8289,0.8077
0.0764,63,23,13,0.7326,0.8289,0.8077
0.0804,61,23,15,0.7262,0.8026,0.7861
0.0844,61,23,15,0.7262,0.8026,0.7861
0.0884,59,23,17,0.7195,0.7763,0.7642
0.0925,57,23,19,0.7125,0.75,0.7422
0.0965,56,23,20,0.7089,0.7368,0.7311
0.1005,55,23,21,0.7051,0.7237,0.7199
0.1045,54,23,22,0.7013,0.7105,0.7087
0.1085,54,23,22,0.7013,0.7105,0.7087
0.1126,54,23,22,0.7013,0.7105,0.7087
0.1166,52,23,24,0.6933,0.6842,0.686
0.1206,52,23,24,0.6933,0.6842,0.686
0.1246,52,23,24,0.6933,0.6842,0.686
0.1286,52,23,24,0.6933,0.6842,0.686
0.1327,52,23,24,0.6933,0.6842,0.686
0.1367,52,23,24,0.6933,0.6842,0.686
0.1407,51,23,25,0.6892,0.6711,0.6746
0.1447,51,23,25,0.6892,0.6711,0.6746
0.1487,50,23,26,0.6849,0.6579,0.6631
0.1528,49,23,27,0.6806,0.6447,0.6516
0.1568,48,23,28,0.6761,0.6316,0.64
0.1608,48,23,28,0.6761,0.6316,0.64
0.1648,48,23,28,0.6761,0.6316,0.64
0.1688,47,23,29,0.6714,0.6184,0.6283
0.1729,46,23,30,0.6667,0.6053,0.6166
0.1769,46,23,30,0.6667,0.6053,0.6166
0.1809,44,23,32,0.6567,0.5789,0.593
0.1849,43,23,33,0.6515,0.5658,0.5811
0.1889,39,23,37,0.629,0.5132,0.5328
0.193,39,23,37,0.629,0.5132,0.5328
0.197,38,23,38,0.623,0.5,0.5205
0.201,35,14,41,0.7143,0.4605,0.4958
0.205,33,14,43,0.7021,0.4342,0.4701
0.209,31,14,45,0.6889,0.4079,0.4441
0.2131,30,14,46,0.6818,0.3947,0.431
0.2171,30,14,46,0.6818,0.3947,0.431
0.2211,29,14,47,0.6744,0.3816,0.4179
0.2251,28,14,48,0.6667,0.3684,0.4046
0.2291,28,14,48,0.6667,0.3684,0.4046
0.2332,28,14,48,0.6667,0.3684,0.4046
0.2372,28,14,48,0.6667,0.3684,0.4046
0.2412,27,14,49,0.6585,0.3553,0.3913
0.2452,26,14,50,0.65,0.3421,0.3779
0.2492,26,14,50,0.65,0.3421,0.3779
0.2533,26,14,50,0.65,0.3421,0.3779
0.2573,26,14,50,0.65,0.3421,0.3779
0.2613,24,14,52,0.6316,0.3158,0.3509
0.2653,24,14,52,0.6316,0.3158,0.3509
0.2693,23,14,53,0.6216,0.3026,0.3372
0.2734,21,14,55,0.6,0.2763,0.3097
0.2774,20,14,56,0.5882,0.2632,0.2959
0.2814,20,14,56,0.5882,0.2632,0.2959
0.2854,20,14,56,0.5882,0.2632,0.2959
0.2894,20,14,56,0.5882,0.2632,0.2959
0.2935,20,14,56,0.5882,0.2632,0.2959
0.2975,20,14,56,0.5882,0.2632,0.2959
0.3015,19,14,57,0.5758,0.25,0.2819
0.3055,17,14,59,0.5484,0.2237,0.2537
0.3095,16,14,60,0.5333,0.2105,0.2395
0.3136,15,14,61,0.5172,0.1974,0.2252
0.3176,15,14,61,0.5172,0.1974,0.2252
0.3216,15,14,61,0.5172,0.1974,0.2252
0.3256,14,14,62,0.5,0.1842,0.2108
0.3296,14,14,62,0.5,0.1842,0.2108
0.3337,14,14,62,0.5,0.1842,0.2108
0.3377,12,14,64,0.4615,0.1579,0.1818
0.3417,12,14,64,0.4615,0.1579,0.1818
0.3457,11,14,65,0.44,0.1447,0.1672
0.3497,10,14,66,0.4167,0.1316,0.1524
0.3538,9,14,67,0.3913,0.1184,0.1376
0.3578,7,14,69,0.3333,0.0921,0.1077
0.3618,7,12,69,0.3684,0.0921,0.1084
0.3658,6,12,70,0.3333,0.0789,0.0932
0.3698,5,12,71,0.2941,0.0658,0.0779
0.3739,5,12,71,0.2941,0.0658,0.0779
0.3779,3,12,73,0.2,0.0395,0.047
0.3819,2,12,74,0.1429,0.0263,0.0314
0.3859,1,12,75,0.0769,0.0132,0.0158
0.3899,1,12,75,0.0769,0.0132,0.0158
0.394,0,12,76,0.0,0.0,0.0
0.398,0,12,76,0.0,0.0,0.0
0.402,0,9,76,0.0,0.0,0.0
0.406,0,9,76,0.0,0.0,0.0
0.4101,0,9,76,0.0,0.0,0.0
