threshold,tp,fp,fn,precision,recall,f2
0.1532,9,83,66,0.0978,0.12,0.1148
0.1574,9,83,66,0.0978,0.12,0.1148
0.1616,9,83,66,0.0978,0.12,0.1148
0.1658,9,83,66,0.0978,0.12,0.1148
0.17,9,83,66,0.0978,0.12,0.1148
0.1742,9,83,66,0.0978,0.12,0.1148
0.1784,9,83,66,0.0978,0.12,0.1148
0.1826,9,83,66,0.0978,0.12,0.1148
0.1868,9,83,66,0.0978,0.12,0.1148
0.191,9,83,66,0.0978,0.12,0.1148
0.1952,9,83,66,0.0978,0.12,0.1148
0.1994,9,83,66,0.0978,0.12,0.1148
0.2036,9,83,66,0.0978,0.12,0.1148
0.2078,9,83,66,0.0978,0.12,0.1148
0.212,9,83,66,0.0978,0.12,0.1148
0.2162,9,83,66,0.0978,0.12,0.1148
0.2204,9,83,66,0.0978,0.12,0.1148
0.2246,9,83,66,0.0978,0.12,0.1148
0.2288,9,83,66,0.0978,0.12,0.1148
0.233,9,83,66,0.0978,0.12,0.1148
0.2372,9,0,66,1.0,0.12,0.1456
0.2414,8,0,67,1.0,0.1067,0.1299
0.2456,8,0,67,1.0,0.1067,0.1299
0.2498,8,0,67,1.0,0.1067,0.1299
0.254,8,0,67,1.0,0.1067,0.1299
0.2582,8,0,67,1.0,0.1067,0.1299
0.2624,8,0,67,1.0,0.1067,0.1299
0.2666,8,0,67,1.0,0.1067,0.1299
0.2708,8,0,67,1.0,0.1067,0.1299
0.275,8,0,67,1.0,0.1067,0.1299
0.2792,8,0,67,1.0,0.1067,0.1299
0.2834,8,0,67,1.0,0.1067,0.1299
0.2876,8,0,67,1.0,0.1067,0.1299
0.2918,8,0,67,1.0,0.1067,0.1299
0.296,8,0,67,1.0,0.1067,0.1299
0.3001,8,0,67,1.0,0.1067,0.1299
0.3043,8,0,67,1.0,0.1067,0.1299
0.3085,7,0,68,1.0,0.0933,0.114
0.3127,7,0,68,1.0,0.0933,0.114
0.3169,7,0,68,1.0,0.0933,0.114
0.3211,7,0,68,1.0,0.0933,0.114
0.3253,7,0,68,1.0,0.0933,0.114
0.3295,7,0,68,1.0,0.0933,0.114
0.3337,7,0,68,1.0,0.0933,0.114
0.3379,7,0,68,1.0,0.0933,0.114
0.3421,7,0,68,1.0,0.0933,0.114
0.3463,7,0,68,1.0,0.0933,0.114
0.3505,7,0,68,1.0,0.0933,0.114
0.3547,7,0,68,1.0,0.0933,0.114
0.3589,6,0,69,1.0,0.08,0.098
0.3631,6,0,69,1.0,0.08,0.098
0.3673,6,0,69,1.0,0.08,0.098
0.3715,6,0,69,1.0,0.08,0.098
0.3757,6,0,69,1.0,0.08,0.098
0.3799,6,0,69,1.0,0.08,0.098
0.3841,6,0,69,1.0,0.08,0.098
0.3883,6,0,69,1.0,0.08,0.098
0.3925,6,0,69,1.0,0.08,0.098
0.3967,6,0,69,1.0,0.08,0.098
0.4009,6,0,69,1.0,0.08,0.098
0.4051,6,0,69,1.0,0.08,0.098
0.4093,6,0,69,1.0,0.08,0.098
0.4135,6,0,69,1.0,0.08,0.098
0.4177,6,0,69,1.0,0.08,0.098
0.4219,6,0,69,1.0,0.08,0.098
0.4261,6,0,69,1.0,0.08,0.098
0.4303,6,0,69,1.0,0.08,0.098
0.4345,6,0,69,1.0,0.08,0.098
0.4387,6,0,69,1.0,0.08,0.098
0.4429,6,0,69,1.0,0.08,0.098
0.4471,6,0,69,1.0,0.08,0.098
0.4513,6,0,69,1.0,0.08,0.098
0.4555,5,0,70,1.0,0.0667,0.082
0.4597,5,0,70,1.0,0.0667,0.082
0.4639,5,0,70,1.0,0.0667,0.082
0.4681,5,0,70,1.0,0.0667,0.082
0.4723,5,0,70,1.0,0.0667,0.082
0.4765,5,0,70,1.0,0.0667,0.082
0.4807,4,0,71,1.0,0.0533,0.0658
0.4849,4,0,71,1.0,0.0533,0.0658
0.4891,4,0,71,1.0,0.0533,0.0658
0.4933,4,0,71,1.0,0.0533,0.0658
0.4975,4,0,71,1.0,0.0533,0.0658
0.5017,4,0,71,1.0,0.0533,0.0658
0.5059,4,0,71,1.0,0.0533,0.0658
0.5101,4,0,71,1.0,0.0533,0.0658
0.5143,4,0,71,1.0,0.0533,0.0658
0.5185,4,0,71,1.0,0.0533,0.0658
0.5227,4,0,71,1.0,0.0533,0.0658
0.5269,4,0,71,1.0,0.0533,0.0658
0.5311,4,0,71,1.0,0.0533,0.0658
0.5353,4,0,71,1.0,0.0533,0.0658
0.5395,4,0,71,1.0,0.0533,0.0658
0.5437,4,0,71,1.0,0.0533,0.0658
0.5479,4,0,71,1.0,0.0533,0.0658
0.5521,3,0,72,1.0,0.04,0.0495
0.5563,2,0,73,1.0,0.0267,0.0331
0.5605,2,0,73,1.0,0.0267,0.0331
0.5647,2,0,73,1.0,0.0267,0.0331
0.5689,2,0,73,1.0,0.0267,0.0331
0.5731,2,0,73,1.0,0.0267,0.0331
0.5773,2,0,73,1.0,0.0267,0.0331
0.5815,2,0,73,1.0,0.0267,0.0331
0.5857,1,0,74,1.0,0.0133,0.0166
0.5899,1,0,74,1.0,0.0133,0.0166
0.5941,1,0,74,1.0,0.0133,0.0166
0.5983,1,0,74,1.0,0.0133,0.0166
0.6025,1,0,74,1.0,0.0133,0.0166
0.6067,1,0,74,1.0,0.0133,0.0166
0.6109,1,0,74,1.0,0.0133,0.0166
0.6151,1,0,74,1.0,0.0133,0.0166
0.6193,1,0,74,1.0,0.0133,0.0166
0.6235,1,0,74,1.0,0.0133,0.0166
0.6277,1,0,74,1.0,0.0133,0.0166
0.6319,1,0,74,1.0,0.0133,0.0166
0.6361,1,0,74,1.0,0.0133,0.0166
0.6403,1,0,74,1.0,0.0133,0.0166
0.6445,1,0,74,1.0,0.0133,0.0166
0.6487,1,0,74,1.0,0.0133,0.0166
0.6529,1,0,74,1.0,0.0133,0.0166
0.6571,1,0,74,1.0,0.0133,0.0166
0.6613,1,0,74,1.0,0.0133,0.0166
0.6655,1,0,74,1.0,0.0133,0.0166
0.6697,1,0,74,1.0,0.0133,0.0166
0.6738,1,0,74,1.0,0.0133,0.0166
0.678,1,0,74,1.0,0.0133,0.0166
0.6822,1,0,74,1.0,0.0133,0.0166
0.6864,1,0,74,1.0,0.0133,0.0166
0.6906,1,0,74,1.0,0.0133,0.0166
0.6948,1,0,74,1.0,0.0133,0.0166
0.699,1,0,74,1.0,0.0133,0.0166
0.7032,1,0,74,1.0,0.0133,0.0166
0.7074,1,0,74,1.0,0.0133,0.0166
0.7116,1,0,74,1.0,0.0133,0.0166
0.7158,1,0,74,1.0,0.0133,0.0166
0.72,1,0,74,1.0,0.0133,0.0166
0.7242,1,0,74,1.0,0.0133,0.0166
0.7284,1,0,74,1.0,0.0133,0.0166
0.7326,1,0,74,1.0,0.0133,0.0166
0.7368,1,0,74,1.0,0.0133,0.0166
0.741,1,0,74,1.0,0.0133,0.0166
0.7452,1,0,74,1.0,0.0133,0.0166
0.7494,1,0,74,1.0,0.0133,0.0166
0.7536,1,0,74,1.0,0.0133,0.0166
0.7578,1,0,74,1.0,0.0133,0.0166
0.762,1,0,74,1.0,0.0133,0.0166
0.7662,1,0,74,1.0,0.0133,0.0166
0.7704,1,0,74,1.0,0.0133,0.0166
0.7746,1,0,74,1.0,0.0133,0.0166
0.7788,1,0,74,1.0,0.0133,0.0166
0.783,1,0,74,1.0,0.0133,0.0166
0.7872,1,0,74,1.0,0.0133,0.0166
0.7914,1,0,74,1.0,0.0133,0.0166
0.7956,1,0,74,1.0,0.0133,0.0166
0.7998,1,0,74,1.0,0.0133,0.0166
0.804,1,0,74,1.0,0.0133,0.0166
0.8082,1,0,74,1.0,0.0133,0.0166
0.8124,1,0,74,1.0,0.0133,0.0166
0.8166,1,0,74,1.0,0.0133,0.0166
0.8208,1,0,74,1.0,0.0133,0.0166
0.825,1,0,74,1.0,0.0133,0.0166
0.8292,1,0,74,1.0,0.0133,0.0166
0.8334,1,0,74,1.0,0.0133,0.0166
0.8376,1,0,74,1.0,0.0133,0.0166
0.8418,1,0,74,1.0,0.0133,0.0166
0.846,1,0,74,1.0,0.0133,0.0166
0.8502,1,0,74,1.0,0.0133,0.0166
0.8544,1,0,74,1.0,0.0133,0.0166
0.8586,1,0,74,1.0,0.0133,0.0166
0.8628,1,0,74,1.0,0.0133,0.0166
0.867,1,0,74,1.0,0.0133,0.0166
0.8712,1,0,74,1.0,0.0133,0.0166
0.8754,1,0,74,1.0,0.0133,0.0166
0.8796,1,0,74,1.0,0.0133,0.0166
0.8838,1,0,74,1.0,0.0133,0.0166
0.888,1,0,74,1.0,0.0133,0.0166
0.8922,1,0,74,1.0,0.0133,0.0166
0.8964,1,0,74,1.0,0.0133,0.0166
0.9006,1,0,74,1.0,0.0133,0.0166
0.9048,1,0,74,1.0,0.0133,0.0166
0.909,1,0,74,1.0,0.0133,0.0166
0.9132,1,0,74,1.0,0.0133,0.0166
0.9174,1,0,74,1.0,0.0133,0.0166
0.9216,1,0,74,1.0,0.0133,0.0166
0.9258,1,0,74,1.0,0.0133,0.0166
0.93,1,0,74,1.0,0.0133,0.0166
0.9342,1,0,74,1.0,0.0133,0.0166
0.9384,1,0,74,1.0,0.0133,0.0166
0.9426,1,0,74,1.0,0.0133,0.0166
0.9468,1,0,74,1.0,0.0133,0.0166
0.951,1,0,74,1.0,0.0133,0.0166
0.9552,1,0,74,1.0,0.0133,0.0166
0.9594,1,0,74,1.0,0.0133,0.0166
0.9636,1,0,74,1.0,0.0133,0.0166
0.9678,1,0,74,1.0,0.0133,0.0166
0.972,1,0,74,1.0,0.0133,0.0166
0.9762,1,0,74,1.0,0.0133,0.0166
0.9804,1,0,74,1.0,0.0133,0.0166
0.9846,1,0,74,1.0,0.0133,0.0166
0.9888,1,0,74,1.0,0.0133,0.0166
