threshold,tp,fp,fn,precision,recall,f2
0.0002,87,12,0,0.8788,1.0,0.9732
0.0027,85,12,2,0.8763,0.977,0.9551
0.0052,84,12,3,0.875,0.9655,0.9459
0.0078,83,12,4,0.8737,0.954,0.9368
0.0103,81,12,6,0.871,0.931,0.9184
0.0128,80,12,7,0.8696,0.9195,0.9091
0.0153,77,12,10,0.8652,0.8851,0.881
0.0178,73,12,14,0.8588,0.8391,0.843
0.0203,71,12,16,0.8554,0.8161,0.8237
0.0228,69,12,18,0.8519,0.7931,0.8042
0.0253,68,12,19,0.85,0.7816,0.7944
0.0278,66,12,21,0.8462,0.7586,0.7746
0.0304,64,12,23,0.8421,0.7356,0.7547
0.0329,64,12,23,0.8421,0.7356,0.7547
0.0354,64,12,23,0.8421,0.7356,0.7547
0.0379,61,12,26,0.8356,0.7011,0.7245
0.0404,59,12,28,0.831,0.6782,0.7041
0.0429,58,12,29,0.8286,0.6667,0.6938
0.0454,57,12,30,0.8261,0.6552,0.6835
0.0479,55,12,32,0.8209,0.6322,0.6627
0.0504,53,4,34,0.9298,0.6092,0.6543
0.053,50,4,37,0.9259,0.5747,0.6219
0.0555,47,4,40,0.9216,0.5402,0.589
0.058,45,4,42,0.9184,0.5172,0.5668
0.0605,45,4,42,0.9184,0.5172,0.5668
0.063,40,4,47,0.9091,0.4598,0.5102
0.0655,38,4,49,0.9048,0.4368,0.4872
0.068,34,4,53,0.8947,0.3908,0.4404
0.0705,32,4,55,0.8889,0.3678,0.4167
0.0731,29,4,58,0.8788,0.3333,0.3806
0.0756,28,4,59,0.875,0.3218,0.3684
0.0781,26,4,61,0.8667,0.2989,0.3439
0.0806,23,4,64,0.8519,0.2644,0.3067
0.0831,22,4,65,0.8462,0.2529,0.2941
0.0856,18,4,69,0.8182,0.2069,0.2432
0.0881,17,4,70,0.8095,0.1954,0.2304
0.0906,12,4,75,0.75,0.1379,0.1648
0.0931,10,4,77,0.7143,0.1149,0.1381
0.0957,8,4,79,0.6667,0.092,0.1111
0.0982,5,4,82,0.5556,0.0575,0.07
0.1007,4,1,83,0.8,0.046,0.0567
0.1032,4,1,83,0.8,0.046,0.0567
0.1057,4,1,83,0.8,0.046,0.0567
0.1082,4,1,83,0.8,0.046,0.0567
0.1107,4,1,83,0.8,0.046,0.0567
0.1132,4,1,83,0.8,0.046,0.0567
0.1157,4,1,83,0.8,0.046,0.0567
0.1183,4,1,83,0.8,0.046,0.0567
0.1208,4,1,83,0.8,0.046,0.0567
0.1233,4,1,83,0.8,0.046,0.0567
0.1258,4,1,83,0.8,0.046,0.0567
0.1283,4,1,83,0.8,0.046,0.0567
0.1308,4,1,83,0.8,0.046,0.0567
0.1333,4,1,83,0.8,0.046,0.0567
0.1358,4,1,83,0.8,0.046,0.0567
0.1383,4,1,83,0.8,0.046,0.0567
0.1409,4,1,83,0.8,0.046,0.0567
0.1434,4,1,83,0.8,0.046,0.0567
0.1459,4,1,83,0.8,0.046,0.0567
0.1484,4,1,83,0.8,0.046,0.0567
0.1509,4,1,83,0.8,0.046,0.0567
0.1534,4,1,83,0.8,0.046,0.0567
0.1559,4,1,83,0.8,0.046,0.0567
0.1584,4,1,83,0.8,0.046,0.0567
0.161,4,1,83,0.8,0.046,0.0567
0.1635,4,1,83,0.8,0.046,0.0567
0.166,4,1,83,0.8,0.046,0.0567
0.1685,4,1,83,0.8,0.046,0.0567
0.171,4,1,83,0.8,0.046,0.0567
0.1735,4,1,83,0.8,0.046,0.0567
0.176,4,1,83,0.8,0.046,0.0567
0.1785,4,1,83,0.8,0.046,0.0567
0.181,4,1,83,0.8,0.046,0.0567
0.1836,4,1,83,0.8,0.046,0.0567
0.1861,4,1,83,0.8,0.046,0.0567
0.1886,4,1,83,0.8,0.046,0.0567
0.1911,4,1,83,0.8,0.046,0.0567
0.1936,4,1,83,0.8,0.046,0.0567
0.1961,4,1,83,0.8,0.046,0.0567
0.1986,4,1,83,0.8,0.046,0.0567
0.2011,4,0,83,1.0,0.046,0.0568
0.2036,4,0,83,1.0,0.046,0.0568
0.2062,4,0,83,1.0,0.046,0.0568
0.2087,4,0,83,1.0,0.046,0.0568
0.2112,4,0,83,1.0,0.046,0.0568
0.2137,4,0,83,1.0,0.046,0.0568
0.2162,4,0,83,1.0,0.046,0.0568
0.2187,4,0,83,1.0,0.046,0.0568
0.2212,4,0,83,1.0,0.046,0.0568
0.2237,4,0,83,1.0,0.046,0.0568
0.2263,4,0,83,1.0,0.046,0.0568
0.2288,4,0,83,1.0,0.046,0.0568
0.2313,4,0,83,1.0,0.046,0.0568
0.2338,4,0,83,1.0,0.046,0.0568
0.2363,4,0,83,1.0,0.046,0.0568
0.2388,4,0,83,1.0,0.046,0.0568
0.2413,4,0,83,1.0,0.046,0.0568
0.2438,4,0,83,1.0,0.046,0.0568
0.2463,4,0,83,1.0,0.046,0.0568
0.2489,4,0,83,1.0,0.046,0.0568
0.2514,4,0,83,1.0,0.046,0.0568
0.2539,4,0,83,1.0,0.046,0.0568
0.2564,4,0,83,1.0,0.046,0.0568
0.2589,4,0,83,1.0,0.046,0.0568
0.2614,4,0,83,1.0,0.046,0.0568
0.2639,4,0,83,1.0,0.046,0.0568
0.2664,4,0,83,1.0,0.046,0.0568
0.2689,4,0,83,1.0,0.046,0.0568
0.2715,4,0,83,1.0,0.046,0.0568
0.274,4,0,83,1.0,0.046,0.0568
0.2765,4,0,83,1.0,0.046,0.0568
0.279,4,0,83,1.0,0.046,0.0568
0.2815,4,0,83,1.0,0.046,0.0568
0.284,4,0,83,1.0,0.046,0.0568
0.2865,4,0,83,1.0,0.046,0.0568
0.289,4,0,83,1.0,0.046,0.0568
0.2915,4,0,83,1.0,0.046,0.0568
0.2941,4,0,83,1.0,0.046,0.0568
0.2966,4,0,83,1.0,0.046,0.0568
0.2991,3,0,84,1.0,0.0345,0.0427
0.3016,3,0,84,1.0,0.0345,0.0427
0.3041,3,0,84,1.0,0.0345,0.0427
0.3066,3,0,84,1.0,0.0345,0.0427
0.3091,3,0,84,1.0,0.0345,0.0427
0.3116,3,0,84,1.0,0.0345,0.0427
0.3142,3,0,84,1.0,0.0345,0.0427
0.3167,3,0,84,1.0,0.0345,0.0427
0.3192,3,0,84,1.0,0.0345,0.0427
0.3217,3,0,84,1.0,0.0345,0.0427
0.3242,3,0,84,1.0,0.0345,0.0427
0.3267,3,0,84,1.0,0.0345,0.0427
0.3292,3,0,84,1.0,0.0345,0.0427
0.3317,3,0,84,1.0,0.0345,0.0427
0.3342,3,0,84,1.0,0.0345,0.0427
0.3368,3,0,84,1.0,0.0345,0.0427
0.3393,3,0,84,1.0,0.0345,0.0427
0.3418,3,0,84,1.0,0.0345,0.0427
0.3443,3,0,84,1.0,0.0345,0.0427
0.3468,3,0,84,1.0,0.0345,0.0427
0.3493,3,0,84,1.0,0.0345,0.0427
0.3518,3,0,84,1.0,0.0345,0.0427
0.3543,3,0,84,1.0,0.0345,0.0427
0.3568,3,0,84,1.0,0.0345,0.0427
0.3594,3,0,84,1.0,0.0345,0.0427
0.3619,3,0,84,1.0,0.0345,0.0427
0.3644,3,0,84,1.0,0.0345,0.0427
0.3669,3,0,84,1.0,0.0345,0.0427
0.3694,3,0,84,1.0,0.0345,0.0427
0.3719,3,0,84,1.0,0.0345,0.0427
0.3744,3,0,84,1.0,0.0345,0.0427
0.3769,3,0,84,1.0,0.0345,0.0427
0.3794,3,0,84,1.0,0.0345,0.0427
0.382,3,0,84,1.0,0.0345,0.0427
0.3845,3,0,84,1.0,0.0345,0.0427
0.387,3,0,84,1.0,0.0345,0.0427
0.3895,3,0,84,1.0,0.0345,0.0427
0.392,3,0,84,1.0,0.0345,0.0427
0.3945,3,0,84,1.0,0.0345,0.0427
0.397,3,0,84,1.0,0.0345,0.0427
0.3995,3,0,84,1.0,0.0345,0.0427
0.4021,3,0,84,1.0,0.0345,0.0427
0.4046,3,0,84,1.0,0.0345,0.0427
0.4071,3,0,84,1.0,0.0345,0.0427
0.4096,3,0,84,1.0,0.0345,0.0427
0.4121,3,0,84,1.0,0.0345,0.0427
0.4146,3,0,84,1.0,0.0345,0.0427
0.4171,3,0,84,1.0,0.0345,0.0427
0.4196,3,0,84,1.0,0.0345,0.0427
0.4221,3,0,84,1.0,0.0345,0.0427
0.4247,3,0,84,1.0,0.0345,0.0427
0.4272,3,0,84,1.0,0.0345,0.0427
0.4297,3,0,84,1.0,0.0345,0.0427
0.4322,3,0,84,1.0,0.0345,0.0427
0.4347,3,0,84,1.0,0.0345,0.0427
0.4372,3,0,84,1.0,0.0345,0.0427
0.4397,3,0,84,1.0,0.0345,0.0427
0.4422,3,0,84,1.0,0.0345,0.0427
0.4447,3,0,84,1.0,0.0345,0.0427
0.4473,3,0,84,1.0,0.0345,0.0427
0.4498,3,0,84,1.0,0.0345,0.0427
0.4523,3,0,84,1.0,0.0345,0.0427
0.4548,3,0,84,1.0,0.0345,0.0427
0.4573,3,0,84,1.0,0.0345,0.0427
0.4598,3,0,84,1.0,0.0345,0.0427
0.4623,3,0,84,1.0,0.0345,0.0427
0.4648,2,0,85,1.0,0.023,0.0286
0.4674,1,0,86,1.0,0.0115,0.0143
0.4699,1,0,86,1.0,0.0115,0.0143
0.4724,1,0,86,1.0,0.0115,0.0143
0.4749,1,0,86,1.0,0.0115,0.0143
0.4774,1,0,86,1.0,0.0115,0.0143
0.4799,1,0,86,1.0,0.0115,0.0143
0.4824,1,0,86,1.0,0.0115,0.0143
0.4849,1,0,86,1.0,0.0115,0.0143
0.4874,1,0,86,1.0,0.0115,0.0143
0.49,1,0,86,1.0,0.0115,0.0143
0.4925,1,0,86,1.0,0.0115,0.0143
0.495,1,0,86,1.0,0.0115,0.0143
0.4975,1,0,86,1.0,0.0115,0.0143
0.5,1,0,86,1.0,0.0115,0.0143
