threshold,tp,fp,fn,precision,recall,f2
0.0,59,20293,0,0.0029,1.0,0.0143
0.0038,55,8,4,0.873,0.9322,0.9197
0.0075,55,8,4,0.873,0.9322,0.9197
0.0113,55,8,4,0.873,0.9322,0.9197
0.0151,55,8,4,0.873,0.9322,0.9197
0.0188,55,8,4,0.873,0.9322,0.9197
0.0226,54,8,5,0.871,0.9153,0.906
0.0264,54,8,5,0.871,0.9153,0.906
0.0302,54,8,5,0.871,0.9153,0.906
0.0339,53,8,6,0.8689,0.8983,0.8923
0.0377,53,8,6,0.8689,0.8983,0.8923
0.0415,53,8,6,0.8689,0.8983,0.8923
0.0452,53,8,6,0.8689,0.8983,0.8923
0.049,52,8,7,0.8667,0.8814,0.8784
0.0528,52,8,7,0.8667,0.8814,0.8784
0.0565,51,8,8,0.8644,0.8644,0.8644
0.0603,51,8,8,0.8644,0.8644,0.8644
0.0641,50,8,9,0.8621,0.8475,0.8503
0.0678,49,8,10,0.8596,0.8305,0.8362
0.0716,49,8,10,0.8596,0.8305,0.8362
0.0754,49,8,10,0.8596,0.8305,0.8362
0.0791,49,8,10,0.8596,0.8305,0.8362
0.0829,49,8,10,0.8596,0.8305,0.8362
0.0867,49,8,10,0.8596,0.8305,0.8362
0.0905,47,8,12,0.8545,0.7966,0.8076
0.0942,47,8,12,0.8545,0.7966,0.8076
0.098,47,8,12,0.8545,0.7966,0.8076
0.1018,47,8,12,0.8545,0.7966,0.8076
0.1055,47,8,12,0.8545,0.7966,0.8076
0.1093,46,8,13,0.8519,0.7797,0.7931
0.1131,46,8,13,0.8519,0.7797,0.7931
0.1168,46,8,13,0.8519,0.7797,0.7931
0.1206,46,8,13,0.8519,0.7797,0.7931
0.1244,46,8,13,0.8519,0.7797,0.7931
0.1281,46,8,13,0.8519,0.7797,0.7931
0.1319,45,8,14,0.8491,0.7627,0.7785
0.1357,45,8,14,0.8491,0.7627,0.7785
0.1394,45,8,14,0.8491,0.7627,0.7785
0.1432,45,8,14,0.8491,0.7627,0.7785
0.147,45,8,14,0.8491,0.7627,0.7785
0.1508,45,8,14,0.8491,0.7627,0.7785
0.1545,44,8,15,0.8462,0.7458,0.7639
0.1583,44,8,15,0.8462,0.7458,0.7639
0.1621,44,8,15,0.8462,0.7458,0.7639
0.1658,44,8,15,0.8462,0.7458,0.7639
0.1696,44,8,15,0.8462,0.7458,0.7639
0.1734,44,8,15,0.8462,0.7458,0.7639
0.1771,44,8,15,0.8462,0.7458,0.7639
0.1809,44,8,15,0.8462,0.7458,0.7639
0.1847,43,8,16,0.8431,0.7288,0.7491
0.1884,42,8,17,0.84,0.7119,0.7343
0.1922,41,8,18,0.8367,0.6949,0.7193
0.196,41,8,18,0.8367,0.6949,0.7193
0.1997,41,8,18,0.8367,0.6949,0.7193
0.2035,41,8,18,0.8367,0.6949,0.7193
0.2073,41,8,18,0.8367,0.6949,0.7193
0.2111,41,8,18,0.8367,0.6949,0.7193
0.2148,41,8,18,0.8367,0.6949,0.7193
0.2186,41,8,18,0.8367,0.6949,0.7193
0.2224,41,8,18,0.8367,0.6949,0.7193
0.2261,41,8,18,0.8367,0.6949,0.7193
0.2299,39,8,20,0.8298,0.661,0.689
0.2337,39,8,20,0.8298,0.661,0.689
0.2374,39,8,20,0.8298,0.661,0.689
0.2412,38,8,21,0.8261,0.6441,0.6738
0.245,38,8,21,0.8261,0.6441,0.6738
0.2487,38,8,21,0.8261,0.6441,0.6738
0.2525,38,8,21,0.8261,0.6441,0.6738
0.2563,38,8,21,0.8261,0.6441,0.6738
0.2601,37,8,22,0.8222,0.6271,0.6584
0.2638,37,8,22,0.8222,0.6271,0.6584
0.2676,37,8,22,0.8222,0.6271,0.6584
0.2714,37,8,22,0.8222,0.6271,0.6584
0.2751,37,8,22,0.8222,0.6271,0.6584
0.2789,37,8,22,0.8222,0.6271,0.6584
0.2827,37,8,22,0.8222,0.6271,0.6584
0.2864,37,8,22,0.8222,0.6271,0.6584
0.2902,37,8,22,0.8222,0.6271,0.6584
0.294,36,8,23,0.8182,0.6102,0.6429
0.2977,35,8,24,0.814,0.5932,0.6272
0.3015,33,8,26,0.8049,0.5593,0.5957
0.3053,32,8,27,0.8,0.5424,0.5797
0.309,32,8,27,0.8,0.5424,0.5797
0.3128,32,8,27,0.8,0.5424,0.5797
0.3166,32,8,27,0.8,0.5424,0.5797
0.3204,31,8,28,0.7949,0.5254,0.5636
0.3241,31,8,28,0.7949,0.5254,0.5636
0.3279,31,8,28,0.7949,0.5254,0.5636
0.3317,30,8,29,0.7895,0.5085,0.5474
0.3354,30,8,29,0.7895,0.5085,0.5474
0.3392,29,8,30,0.7838,0.4915,0.5311
0.343,29,8,30,0.7838,0.4915,0.5311
0.3467,28,8,31,0.7778,0.4746,0.5147
0.3505,28,8,31,0.7778,0.4746,0.5147
0.3543,28,8,31,0.7778,0.4746,0.5147
0.358,26,8,33,0.7647,0.4407,0.4815
0.3618,26,8,33,0.7647,0.4407,0.4815
0.3656,26,8,33,0.7647,0.4407,0.4815
0.3693,26,8,33,0.7647,0.4407,0.4815
0.3731,26,8,33,0.7647,0.4407,0.4815
0.3769,25,8,34,0.7576,0.4237,0.4647
0.3807,24,8,35,0.75,0.4068,0.4478
0.3844,24,8,35,0.75,0.4068,0.4478
0.3882,24,8,35,0.75,0.4068,0.4478
0.392,24,8,35,0.75,0.4068,0.4478
0.3957,24,8,35,0.75,0.4068,0.4478
0.3995,24,8,35,0.75,0.4068,0.4478
0.4033,24,8,35,0.75,0.4068,0.4478
0.407,24,8,35,0.75,0.4068,0.4478
0.4108,24,8,35,0.75,0.4068,0.4478
0.4146,23,8,36,0.7419,0.3898,0.4307
0.4183,23,8,36,0.7419,0.3898,0.4307
0.4221,23,8,36,0.7419,0.3898,0.4307
0.4259,23,8,36,0.7419,0.3898,0.4307
0.4296,20,8,39,0.7143,0.339,0.3788
0.4334,20,8,39,0.7143,0.339,0.3788
0.4372,19,8,40,0.7037,0.322,0.3612
0.441,19,8,40,0.7037,0.322,0.3612
0.4447,18,8,41,0.6923,0.3051,0.3435
0.4485,18,8,41,0.6923,0.3051,0.3435
0.4523,18,8,41,0.6923,0.3051,0.3435
0.456,18,8,41,0.6923,0.3051,0.3435
0.4598,18,8,41,0.6923,0.3051,0.3435
0.4636,18,8,41,0.6923,0.3051,0.3435
0.4673,18,8,41,0.6923,0.3051,0.3435
0.4711,18,8,41,0.6923,0.3051,0.3435
0.4749,18,8,41,0.6923,0.3051,0.3435
0.4786,17,8,42,0.68,0.2881,0.3257
0.4824,17,8,42,0.68,0.2881,0.3257
0.4862,15,8,44,0.6522,0.2542,0.2896
0.4899,15,8,44,0.6522,0.2542,0.2896
0.4937,15,8,44,0.6522,0.2542,0.2896
0.4975,14,8,45,0.6364,0.2373,0.2713
0.5013,13,8,46,0.619,0.2203,0.2529
0.505,13,8,46,0.619,0.2203,0.2529
0.5088,13,8,46,0.619,0.2203,0.2529
0.5126,13,8,46,0.619,0.2203,0.2529
0.5163,13,8,46,0.619,0.2203,0.2529
0.5201,12,8,47,0.6,0.2034,0.2344
0.5239,11,8,48,0.5789,0.1864,0.2157
0.5276,10,8,49,0.5556,0.1695,0.1969
0.5314,10,8,49,0.5556,0.1695,0.1969
0.5352,9,8,50,0.5294,0.1525,0.1779
0.5389,9,8,50,0.5294,0.1525,0.1779
0.5427,9,8,50,0.5294,0.1525,0.1779
0.5465,9,8,50,0.5294,0.1525,0.1779
0.5503,9,8,50,0.5294,0.1525,0.1779
0.554,9,8,50,0.5294,0.1525,0.1779
0.5578,9,8,50,0.5294,0.1525,0.1779
0.5616,9,8,50,0.5294,0.1525,0.1779
0.5653,7,8,52,0.4667,0.1186,0.1394
0.5691,6,8,53,0.4286,0.1017,0.12
0.5729,6,8,53,0.4286,0.1017,0.12
0.5766,6,8,53,0.4286,0.1017,0.12
0.5804,6,8,53,0.4286,0.1017,0.12
0.5842,6,8,53,0.4286,0.1017,0.12
