threshold,tp,fp,fn,precision,recall,f2
0.3123,55,1056,0,0.0495,1.0,0.2066
0.3157,55,1038,0,0.0503,1.0,0.2094
0.3191,55,990,0,0.0526,1.0,0.2174
0.3225,55,961,0,0.0541,1.0,0.2225
0.326,55,942,0,0.0552,1.0,0.226
0.3294,55,905,0,0.0573,1.0,0.2331
0.3328,55,868,0,0.0596,1.0,0.2406
0.3362,55,843,0,0.0612,1.0,0.246
0.3396,55,815,0,0.0632,1.0,0.2523
0.343,55,797,0,0.0646,1.0,0.2565
0.3464,55,757,0,0.0677,1.0,0.2665
0.3498,55,743,0,0.0689,1.0,0.2701
0.3532,55,707,0,0.0722,1.0,0.28
0.3566,55,694,0,0.0734,1.0,0.2838
0.36,55,661,0,0.0768,1.0,0.2938
0.3634,55,646,0,0.0785,1.0,0.2986
0.3668,55,619,0,0.0816,1.0,0.3076
0.3702,55,584,0,0.0861,1.0,0.3201
0.3736,55,584,0,0.0861,1.0,0.3201
0.377,55,547,0,0.0914,1.0,0.3345
0.3804,55,537,0,0.0929,1.0,0.3387
0.3838,55,521,0,0.0955,1.0,0.3455
0.3872,55,503,0,0.0986,1.0,0.3535
0.3907,55,493,0,0.1004,1.0,0.3581
0.3941,55,461,0,0.1066,1.0,0.3736
0.3975,55,441,0,0.1109,1.0,0.3841
0.4009,55,441,0,0.1109,1.0,0.3841
0.4043,55,415,0,0.117,1.0,0.3986
0.4077,55,415,0,0.117,1.0,0.3986
0.4111,55,390,0,0.1236,1.0,0.4135
0.4145,55,386,0,0.1247,1.0,0.416
0.4179,55,371,0,0.1291,1.0,0.4257
0.4213,55,351,0,0.1355,1.0,0.4393
0.4247,55,338,0,0.1399,1.0,0.4486
0.4281,55,328,0,0.1436,1.0,0.4561
0.4315,55,305,0,0.1528,1.0,0.4741
0.4349,55,305,0,0.1528,1.0,0.4741
0.4383,55,299,0,0.1554,1.0,0.4791
0.4417,55,287,0,0.1608,1.0,0.4893
0.4451,55,271,0,0.1687,1.0,0.5037
0.4485,55,260,0,0.1746,1.0,0.514
0.452,55,255,0,0.1774,1.0,0.5189
0.4554,55,238,0,0.1877,1.0,0.5361
0.4588,55,235,0,0.1897,1.0,0.5392
0.4622,55,230,0,0.193,1.0,0.5446
0.4656,55,214,0,0.2045,1.0,0.5624
0.469,55,209,0,0.2083,1.0,0.5682
0.4724,55,203,0,0.2132,1.0,0.5753
0.4758,55,183,0,0.2311,1.0,0.6004
0.4792,55,183,0,0.2311,1.0,0.6004
0.4826,55,178,0,0.2361,1.0,0.6071
0.486,55,160,0,0.2558,1.0,0.6322
0.4894,55,160,0,0.2558,1.0,0.6322
0.4928,55,160,0,0.2558,1.0,0.6322
0.4962,55,149,0,0.2696,1.0,0.6486
0.4996,55,144,0,0.2764,1.0,0.6563
0.503,55,140,0,0.2821,1.0,0.6627
0.5064,55,132,0,0.2941,1.0,0.6757
0.5098,55,126,0,0.3039,1.0,0.6858
0.5132,55,118,0,0.3179,1.0,0.6997
0.5167,55,109,0,0.3354,1.0,0.7161
0.5201,55,109,0,0.3354,1.0,0.7161
0.5235,55,102,0,0.3503,1.0,0.7294
0.5269,55,98,0,0.3595,1.0,0.7373
0.5303,55,90,0,0.3793,1.0,0.7534
0.5337,55,87,0,0.3873,1.0,0.7597
0.5371,55,83,0,0.3986,1.0,0.7682
0.5405,55,83,0,0.3986,1.0,0.7682
0.5439,55,77,0,0.4167,1.0,0.7812
0.5473,55,68,0,0.4472,1.0,0.8017
0.5507,55,68,0,0.4472,1.0,0.8017
0.5541,55,64,0,0.4622,1.0,0.8112
0.5575,55,63,0,0.4661,1.0,0.8136
0.5609,55,56,0,0.4955,1.0,0.8308
0.5643,55,54,0,0.5046,1.0,0.8359
0.5677,55,52,0,0.514,1.0,0.841
0.5711,55,49,0,0.5288,1.0,0.8488
0.5745,55,44,0,0.5556,1.0,0.8621
0.578,55,42,0,0.567,1.0,0.8675
0.5814,55,39,0,0.5851,1.0,0.8758
0.5848,55,37,0,0.5978,1.0,0.8814
0.5882,55,33,0,0.625,1.0,0.8929
0.5916,55,31,0,0.6395,1.0,0.8987
0.595,55,28,0,0.6627,1.0,0.9076
0.5984,55,23,0,0.7051,1.0,0.9228
0.6018,55,23,0,0.7051,1.0,0.9228
0.6052,55,20,0,0.7333,1.0,0.9322
0.6086,55,19,0,0.7432,1.0,0.9354
0.612,55,12,0,0.8209,1.0,0.9582
0.6154,55,11,0,0.8333,1.0,0.9615
0.6188,55,10,0,0.8462,1.0,0.9649
0.6222,55,9,0,0.8594,1.0,0.9683
0.6256,55,6,0,0.9016,1.0,0.9786
0.629,55,5,0,0.9167,1.0,0.9821
0.6324,54,3,1,0.9474,0.9818,0.9747
0.6358,53,3,2,0.9464,0.9636,0.9601
0.6392,52,0,3,1.0,0.9455,0.9559
0.6427,52,0,3,1.0,0.9455,0.9559
0.6461,51,0,4,1.0,0.9273,0.941
0.6495,50,0,5,1.0,0.9091,0.9259
0.6529,48,0,7,1.0,0.8727,0.8955
0.6563,46,0,9,1.0,0.8364,0.8647
0.6597,46,0,9,1.0,0.8364,0.8647
0.6631,44,0,11,1.0,0.8,0.8333
0.6665,42,0,13,1.0,0.7636,0.8015
0.6699,42,0,13,1.0,0.7636,0.8015
0.6733,40,0,15,1.0,0.7273,0.7692
0.6767,38,0,17,1.0,0.6909,0.7364
0.6801,38,0,17,1.0,0.6909,0.7364
0.6835,36,0,19,1.0,0.6545,0.7031
0.6869,36,0,19,1.0,0.6545,0.7031
0.6903,34,0,21,1.0,0.6182,0.6693
0.6937,32,0,23,1.0,0.5818,0.6349
0.6971,32,0,23,1.0,0.5818,0.6349
0.7005,30,0,25,1.0,0.5455,0.6
0.7039,30,0,25,1.0,0.5455,0.6
0.7074,28,0,27,1.0,0.5091,0.5645
0.7108,28,0,27,1.0,0.5091,0.5645
0.7142,28,0,27,1.0,0.5091,0.5645
0.7176,26,0,29,1.0,0.4727,0.5285
