threshold,tp,fp,fn,precision,recall,f2
0.309,5,598,86,0.0083,0.0549,0.0259
0.3124,5,567,86,0.0087,0.0549,0.0267
0.3159,5,562,86,0.0088,0.0549,0.0269
0.3193,5,525,86,0.0094,0.0549,0.028
0.3227,5,525,86,0.0094,0.0549,0.028
0.3261,5,508,86,0.0097,0.0549,0.0285
0.3296,5,474,86,0.0104,0.0549,0.0297
0.333,5,474,86,0.0104,0.0549,0.0297
0.3364,4,458,87,0.0087,0.044,0.0242
0.3398,4,425,87,0.0093,0.044,0.0252
0.3432,4,425,87,0.0093,0.044,0.0252
0.3467,4,418,87,0.0095,0.044,0.0254
0.3501,4,397,87,0.01,0.044,0.0261
0.3535,4,378,87,0.0105,0.044,0.0268
0.3569,4,378,87,0.0105,0.044,0.0268
0.3604,4,365,87,0.0108,0.044,0.0273
0.3638,4,339,87,0.0117,0.044,0.0283
0.3672,4,339,87,0.0117,0.044,0.0283
0.3706,4,331,87,0.0119,0.044,0.0286
0.374,4,304,87,0.013,0.044,0.0298
0.3775,4,302,87,0.0131,0.044,0.0299
0.3809,4,302,87,0.0131,0.044,0.0299
0.3843,4,291,87,0.0136,0.044,0.0303
0.3877,4,269,87,0.0147,0.044,0.0314
0.3912,4,269,87,0.0147,0.044,0.0314
0.3946,4,264,87,0.0149,0.044,0.0316
0.398,4,247,87,0.0159,0.044,0.0325
0.4014,4,247,87,0.0159,0.044,0.0325
0.4048,4,223,87,0.0176,0.044,0.0338
0.4083,4,223,87,0.0176,0.044,0.0338
0.4117,4,223,87,0.0176,0.044,0.0338
0.4151,4,213,87,0.0184,0.044,0.0344
0.4185,4,195,87,0.0201,0.044,0.0355
0.422,4,195,87,0.0201,0.044,0.0355
0.4254,4,194,87,0.0202,0.044,0.0356
0.4288,4,186,87,0.0211,0.044,0.0361
0.4322,4,186,87,0.0211,0.044,0.0361
0.4356,4,166,87,0.0235,0.044,0.0375
0.4391,4,166,87,0.0235,0.044,0.0375
0.4425,4,166,87,0.0235,0.044,0.0375
0.4459,4,156,87,0.025,0.044,0.0382
0.4493,4,156,87,0.025,0.044,0.0382
0.4527,4,153,87,0.0255,0.044,0.0384
0.4562,3,137,88,0.0214,0.033,0.0298
0.4596,3,137,88,0.0214,0.033,0.0298
0.463,3,136,88,0.0216,0.033,0.0298
0.4664,3,130,88,0.0226,0.033,0.0302
0.4699,3,130,88,0.0226,0.033,0.0302
0.4733,3,118,88,0.0248,0.033,0.0309
0.4767,3,118,88,0.0248,0.033,0.0309
0.4801,3,118,88,0.0248,0.033,0.0309
0.4835,3,102,88,0.0286,0.033,0.032
0.487,3,102,88,0.0286,0.033,0.032
0.4904,3,102,88,0.0286,0.033,0.032
0.4938,3,102,88,0.0286,0.033,0.032
0.4972,3,98,88,0.0297,0.033,0.0323
0.5007,3,89,88,0.0326,0.033,0.0329
0.5041,3,89,88,0.0326,0.033,0.0329
0.5075,3,89,88,0.0326,0.033,0.0329
0.5109,3,84,88,0.0345,0.033,0.0333
0.5143,3,84,88,0.0345,0.033,0.0333
0.5178,3,74,88,0.039,0.033,0.034
0.5212,3,74,88,0.039,0.033,0.034
0.5246,3,74,88,0.039,0.033,0.034
0.528,3,74,88,0.039,0.033,0.034
0.5315,3,67,88,0.0429,0.033,0.0346
0.5349,3,67,88,0.0429,0.033,0.0346
0.5383,3,67,88,0.0429,0.033,0.0346
0.5417,3,63,88,0.0455,0.033,0.0349
0.5451,3,63,88,0.0455,0.033,0.0349
0.5486,3,53,88,0.0536,0.033,0.0357
0.552,3,53,88,0.0536,0.033,0.0357
0.5554,3,53,88,0.0536,0.033,0.0357
0.5588,3,53,88,0.0536,0.033,0.0357
0.5623,3,53,88,0.0536,0.033,0.0357
0.5657,3,52,88,0.0545,0.033,0.0358
0.5691,3,47,88,0.06,0.033,0.0362
0.5725,3,47,88,0.06,0.033,0.0362
0.5759,3,47,88,0.06,0.033,0.0362
0.5794,3,42,88,0.0667,0.033,0.0367
0.5828,3,42,88,0.0667,0.033,0.0367
0.5862,3,42,88,0.0667,0.033,0.0367
0.5896,3,39,88,0.0714,0.033,0.0369
0.5931,3,39,88,0.0714,0.033,0.0369
0.5965,3,34,88,0.0811,0.033,0.0374
0.5999,3,34,88,0.0811,0.033,0.0374
0.6033,3,34,88,0.0811,0.033,0.0374
0.6067,3,34,88,0.0811,0.033,0.0374
0.6102,3,31,88,0.0882,0.033,0.0377
0.6136,3,31,88,0.0882,0.033,0.0377
0.617,3,31,88,0.0882,0.033,0.0377
0.6204,3,25,88,0.1071,0.033,0.0383
0.6238,3,25,88,0.1071,0.033,0.0383
0.6273,3,25,88,0.1071,0.033,0.0383
0.6307,3,25,88,0.1071,0.033,0.0383
0.6341,3,25,88,0.1071,0.033,0.0383
0.6375,3,25,88,0.1071,0.033,0.0383
0.641,3,23,88,0.1154,0.033,0.0385
0.6444,3,23,88,0.1154,0.033,0.0385
0.6478,3,21,88,0.125,0.033,0.0387
0.6512,3,21,88,0.125,0.033,0.0387
0.6546,3,21,88,0.125,0.033,0.0387
0.6581,3,18,88,0.1429,0.033,0.039
0.6615,3,18,88,0.1429,0.033,0.039
0.6649,3,18,88,0.1429,0.033,0.039
0.6683,3,18,88,0.1429,0.033,0.039
0.6718,3,15,88,0.1667,0.033,0.0393
0.6752,3,15,88,0.1667,0.033,0.0393
0.6786,3,15,88,0.1667,0.033,0.0393
0.682,3,15,88,0.1667,0.033,0.0393
0.6854,3,15,88,0.1667,0.033,0.0393
0.6889,3,12,88,0.2,0.033,0.0396
0.6923,3,12,88,0.2,0.033,0.0396
0.6957,3,12,88,0.2,0.033,0.0396
0.6991,3,12,88,0.2,0.033,0.0396
0.7026,3,12,88,0.2,0.033,0.0396
0.706,3,12,88,0.2,0.033,0.0396
0.7094,2,12,89,0.1429,0.022,0.0265
0.7128,2,12,89,0.1429,0.022,0.0265
0.7162,2,11,89,0.1538,0.022,0.0265
0.7197,2,11,89,0.1538,0.022,0.0265
0.7231,2,9,89,0.1818,0.022,0.0267
0.7265,2,9,89,0.1818,0.022,0.0267
0.7299,2,9,89,0.1818,0.022,0.0267
0.7334,2,9,89,0.1818,0.022,0.0267
0.7368,2,9,89,0.1818,0.022,0.0267
0.7402,2,9,89,0.1818,0.022,0.0267
0.7436,2,8,89,0.2,0.022,0.0267
0.747,2,8,89,0.2,0.022,0.0267
0.7505,2,8,89,0.2,0.022,0.0267
0.7539,2,5,89,0.2857,0.022,0.027
0.7573,2,5,89,0.2857,0.022,0.027
0.7607,2,5,89,0.2857,0.022,0.027
0.7641,2,5,89,0.2857,0.022,0.027
0.7676,2,5,89,0.2857,0.022,0.027
0.771,2,5,89,0.2857,0.022,0.027
0.7744,2,5,89,0.2857,0.022,0.027
0.7778,2,5,89,0.2857,0.022,0.027
0.7813,2,5,89,0.2857,0.022,0.027
0.7847,2,5,89,0.2857,0.022,0.027
0.7881,2,5,89,0.2857,0.022,0.027
0.7915,2,4,89,0.3333,0.022,0.027
0.7949,2,4,89,0.3333,0.022,0.027
0.7984,2,4,89,0.3333,0.022,0.027
0.8018,2,4,89,0.3333,0.022,0.027
0.8052,2,4,89,0.3333,0.022,0.027
0.8086,2,3,89,0.4,0.022,0.0271
0.8121,2,3,89,0.4,0.022,0.0271
0.8155,2,3,89,0.4,0.022,0.0271
0.8189,2,3,89,0.4,0.022,0.0271
0.8223,2,3,89,0.4,0.022,0.0271
0.8257,2,0,89,1.0,0.022,0.0273
0.8292,2,0,89,1.0,0.022,0.0273
0.8326,2,0,89,1.0,0.022,0.0273
0.836,2,0,89,1.0,0.022,0.0273
0.8394,2,0,89,1.0,0.022,0.0273
0.8429,2,0,89,1.0,0.022,0.0273
0.8463,2,0,89,1.0,0.022,0.0273
0.8497,2,0,89,1.0,0.022,0.0273
0.8531,2,0,89,1.0,0.022,0.0273
0.8565,2,0,89,1.0,0.022,0.0273
0.86,2,0,89,1.0,0.022,0.0273
0.8634,2,0,89,1.0,0.022,0.0273
0.8668,2,0,89,1.0,0.022,0.0273
0.8702,2,0,89,1.0,0.022,0.0273
0.8737,2,0,89,1.0,0.022,0.0273
0.8771,2,0,89,1.0,0.022,0.0273
0.8805,2,0,89,1.0,0.022,0.0273
0.8839,2,0,89,1.0,0.022,0.0273
0.8873,2,0,89,1.0,0.022,0.0273
0.8908,2,0,89,1.0,0.022,0.0273
0.8942,2,0,89,1.0,0.022,0.0273
0.8976,2,0,89,1.0,0.022,0.0273
0.901,2,0,89,1.0,0.022,0.0273
0.9045,2,0,89,1.0,0.022,0.0273
0.9079,2,0,89,1.0,0.022,0.0273
0.9113,2,0,89,1.0,0.022,0.0273
0.9147,2,0,89,1.0,0.022,0.0273
0.9181,2,0,89,1.0,0.022,0.0273
0.9216,2,0,89,1.0,0.022,0.0273
0.925,1,0,90,1.0,0.011,0.0137
0.9284,1,0,90,1.0,0.011,0.0137
0.9318,1,0,90,1.0,0.011,0.0137
0.9352,1,0,90,1.0,0.011,0.0137
0.9387,1,0,90,1.0,0.011,0.0137
0.9421,1,0,90,1.0,0.011,0.0137
0.9455,1,0,90,1.0,0.011,0.0137
0.9489,1,0,90,1.0,0.011,0.0137
0.9524,1,0,90,1.0,0.011,0.0137
0.9558,1,0,90,1.0,0.011,0.0137
0.9592,1,0,90,1.0,0.011,0.0137
0.9626,1,0,90,1.0,0.011,0.0137
0.966,1,0,90,1.0,0.011,0.0137
0.9695,1,0,90,1.0,0.011,0.0137
0.9729,1,0,90,1.0,0.011,0.0137
0.9763,1,0,90,1.0,0.011,0.0137
0.9797,1,0,90,1.0,0.011,0.0137
0.9832,1,0,90,1.0,0.011,0.0137
0.9866,1,0,90,1.0,0.011,0.0137
0.99,1,0,90,1.0,0.011,0.0137
