city,column,model,separability,orig_thresh,orig_tp,orig_fp,orig_fn,orig_f2,orig_recall,f2opt_thresh,f2opt_tp,f2opt_fp,f2opt_f2,f2opt_recall,recs_thresh,recs_tp,recs_fp,recs_f2,recs_recall,fpr_thresh,fpr_tp,fpr_fp,fpr_f2,fpr_recall
amsterdam,apparent_temperature,LOF,poor,0.5086,29,30,43,0.4179,0.4028,0.2755,46.0,66.0,0.575,0.6389,0.5542,24.0,13.0,0.3692,0.3333,0.2755,46.0,66.0,0.575,0.6389
amsterdam,precipitation,LOF,good,0.0,12,11,57,0.2007,0.1739,0.005,12.0,0.0,0.2083,0.1739,0.2535,10.0,0.0,0.1748,0.1449,0.005,12.0,0.0,0.2083,0.1739
amsterdam,soil_moisture_7_to_28cm,LOF,poor,0.0,67,10,4,0.928,0.9437,0.0038,56.0,5.0,0.8116,0.7887,0.0075,55.0,5.0,0.7994,0.7746,0.0678,28.0,1.0,0.4473,0.3944
amsterdam,soil_temperature_7_to_28cm,LOF,moderate,0.0,74,11,1,0.961,0.9867,0.004,71.0,7.0,0.9392,0.9467,0.1045,60.0,7.0,0.8174,0.8,0.402,38.0,0.0,0.5621,0.5067
amsterdam,surface_pressure,ECOD,moderate,0.572,72,28,0,0.9278,1.0,0.5867,72.0,18.0,0.9524,1.0,0.6291,58.0,2.0,0.8333,0.8056,0.615,62.0,6.0,0.8708,0.8611
amsterdam,temperature_2m,LOF,poor,0.1205,53,48,21,0.6675,0.7162,0.0603,65.0,48.0,0.7946,0.8784,0.1613,43.0,48.0,0.5556,0.5811,0.0603,65.0,48.0,0.7946,0.8784
london,apparent_temperature,LOF,poor,0.0043,73,50,3,0.8548,0.9605,0.0022,73.0,50.0,0.8548,0.9605,0.0783,59.0,50.0,0.7143,0.7763,0.0022,73.0,50.0,0.8548,0.9605
london,precipitation,LOF,good,0.0,8,37,68,0.1146,0.1053,0.005,8.0,0.0,0.1282,0.1053,0.4066,7.0,0.0,0.1125,0.0921,0.005,8.0,0.0,0.1282,0.1053
london,soil_moisture_7_to_28cm,LOF,poor,0.0,90,7,0,0.9847,1.0,0.004,80.0,5.0,0.8989,0.8889,0.0079,75.0,5.0,0.8523,0.8333,0.004,80.0,5.0,0.8989,0.8889
london,soil_temperature_7_to_28cm,LOF,poor,0.0,64,18,1,0.9357,0.9846,0.004,63.0,13.0,0.9375,0.9692,0.0804,52.0,13.0,0.8,0.8,0.004,63.0,13.0,0.9375,0.9692
london,surface_pressure,ECOD,moderate,0.5762,80,19,0,0.9547,1.0,0.5844,79.0,12.0,0.9611,0.9875,0.6232,64.0,0.0,0.8333,0.8,0.6055,72.0,4.0,0.9091,0.9
london,temperature_2m,LOF,good,0.0,51,1578,7,0.137,0.8793,0.4512,24.0,152.0,0.2941,0.4138,0.1116,41.0,532.0,0.2547,0.7069,0.4512,24.0,152.0,0.2941,0.4138
new_york,apparent_temperature,LOF,good,0.0,74,112,0,0.7676,1.0,0.004,72.0,41.0,0.8802,0.973,0.0884,60.0,41.0,0.7557,0.8108,0.004,72.0,41.0,0.8802,0.973
new_york,precipitation,LOF,poor,0.0,10,14,65,0.1543,0.1333,0.005,10.0,13.0,0.1548,0.1333,0.3433,8.0,4.0,0.1282,0.1067,0.005,10.0,13.0,0.1548,0.1333
new_york,soil_moisture_7_to_28cm,LOF,poor,0.0,76,1,0,0.9974,1.0,0.0,76.0,1.0,0.9974,1.0,0.0,76.0,1.0,0.9974,1.0,0.0,76.0,1.0,0.9974,1.0
new_york,soil_temperature_7_to_28cm,LOF,poor,0.0553,62,48,9,0.7868,0.8732,0.0277,65.0,48.0,0.8186,0.9155,0.1169,50.0,48.0,0.6545,0.7042,0.0277,65.0,48.0,0.8186,0.9155
new_york,surface_pressure,ECOD,n/a,0.618,68,0,6,0.9341,0.9189,0.6067,74.0,0.0,1.0,1.0,0.6375,56.0,0.0,0.7955,0.7568,0.6067,74.0,0.0,1.0,1.0
new_york,temperature_2m,LOF,poor,0.0,77,97,1,0.7922,0.9872,0.004,76.0,53.0,0.8617,0.9744,0.1005,62.0,53.0,0.726,0.7949,0.201,36.0,20.0,0.4891,0.4615
paris,apparent_temperature,LOF,good,0.0,78,70,2,0.8333,0.975,0.004,76.0,23.0,0.9069,0.95,0.0643,63.0,23.0,0.7759,0.7875,0.004,76.0,23.0,0.9069,0.95
paris,precipitation,LOF,good,0.0,11,24,68,0.1567,0.1392,0.0045,11.0,8.0,0.1642,0.1392,0.2171,9.0,0.0,0.1385,0.1139,0.199,9.0,0.0,0.1385,0.1139
paris,soil_moisture_7_to_28cm,LOF,poor,0.0,71,19,0,0.9492,1.0,0.0012,68.0,19.0,0.9164,0.9577,0.0272,58.0,19.0,0.8033,0.8169,0.0012,68.0,19.0,0.9164,0.9577
paris,soil_temperature_7_to_28cm,LOF,moderate,0.0,76,20,1,0.9406,0.987,0.004,74.0,7.0,0.9512,0.961,0.0804,62.0,7.0,0.8223,0.8052,0.004,74.0,7.0,0.9512,0.961
paris,surface_pressure,HBOS,moderate,0.9974,68,16,1,0.9444,0.9855,0.4987,68.0,16.0,0.9444,0.9855,0.99,68.0,16.0,0.9444,0.9855,0.4987,68.0,16.0,0.9444,0.9855
paris,temperature_2m,LOF,poor,0.1001,54,673,25,0.2589,0.6835,0.1052,53.0,648.0,0.2606,0.6709,0.1972,44.0,579.0,0.2343,0.557,0.1052,53.0,648.0,0.2606,0.6709
tokyo,apparent_temperature,LOF,poor,0.0,76,43,0,0.8983,1.0,0.004,76.0,23.0,0.9429,1.0,0.0844,61.0,23.0,0.7861,0.8026,0.004,76.0,23.0,0.9429,1.0
tokyo,precipitation,LOF,n/a,0.3064,8,0,67,0.1299,0.1067,0.2372,9.0,0.0,0.1456,0.12,0.3547,7.0,0.0,0.114,0.0933,0.2372,9.0,0.0,0.1456,0.12
tokyo,soil_moisture_7_to_28cm,LOF,poor,0.0004,87,12,0,0.9732,1.0,0.0002,87.0,12.0,0.9732,1.0,0.0203,71.0,12.0,0.8237,0.8161,0.0002,87.0,12.0,0.9732,1.0
tokyo,soil_temperature_7_to_28cm,LOF,good,0.0,58,33,1,0.8869,0.9831,0.0038,55.0,8.0,0.9197,0.9322,0.1055,47.0,8.0,0.8076,0.7966,0.0038,55.0,8.0,0.9197,0.9322
tokyo,surface_pressure,ECOD,moderate,0.6247,55,9,0,0.9683,1.0,0.629,55.0,5.0,0.9821,1.0,0.6631,44.0,0.0,0.8333,0.8,0.6392,52.0,0.0,0.9559,0.9455
tokyo,temperature_2m,COPOD,moderate,0.6181,3,31,88,0.0377,0.033,0.6889,3.0,12.0,0.0396,0.033,0.706,3.0,12.0,0.0396,0.033,0.8257,2.0,0.0,0.0273,0.022
