city,scope,target_column,model,n_rows,n_features,single_trial_s,estimated_search_s
amsterdam,univariate,temperature_2m,IForest,20256,1,0.42979,10.745
amsterdam,univariate,temperature_2m,LOF,20256,1,0.04939,1.235
amsterdam,univariate,temperature_2m,ECOD,20256,1,0.04425,1.106
amsterdam,univariate,temperature_2m,HBOS,20256,1,0.25615,6.404
amsterdam,univariate,temperature_2m,COPOD,20256,1,0.00542,0.136
amsterdam,univariate,apparent_temperature,IForest,20256,1,0.45371,11.343
amsterdam,univariate,apparent_temperature,LOF,20256,1,0.04568,1.142
amsterdam,univariate,apparent_temperature,ECOD,20256,1,0.0054,0.135
amsterdam,univariate,apparent_temperature,HBOS,20256,1,0.00122,0.031
amsterdam,univariate,apparent_temperature,COPOD,20256,1,0.00531,0.133
amsterdam,univariate,precipitation,IForest,20256,1,0.18787,4.697
amsterdam,univariate,precipitation,LOF,20256,1,1.32714,33.179
amsterdam,univariate,precipitation,ECOD,20256,1,0.0036,0.09
amsterdam,univariate,precipitation,HBOS,20256,1,0.00081,0.02
amsterdam,univariate,precipitation,COPOD,20256,1,0.00342,0.085
amsterdam,univariate,surface_pressure,IForest,20256,1,0.40141,10.035
amsterdam,univariate,surface_pressure,LOF,20256,1,0.04376,1.094
amsterdam,univariate,surface_pressure,ECOD,20256,1,0.00518,0.129
amsterdam,univariate,surface_pressure,HBOS,20256,1,0.00126,0.032
amsterdam,univariate,surface_pressure,COPOD,20256,1,0.00506,0.126
amsterdam,univariate,soil_temperature_7_to_28cm,IForest,20256,1,0.3099,7.747
amsterdam,univariate,soil_temperature_7_to_28cm,LOF,20256,1,0.05003,1.251
amsterdam,univariate,soil_temperature_7_to_28cm,ECOD,20256,1,0.00397,0.099
amsterdam,univariate,soil_temperature_7_to_28cm,HBOS,20256,1,0.00119,0.03
amsterdam,univariate,soil_temperature_7_to_28cm,COPOD,20256,1,0.00383,0.096
amsterdam,univariate,soil_moisture_7_to_28cm,IForest,20256,1,0.31852,7.963
amsterdam,univariate,soil_moisture_7_to_28cm,LOF,20256,1,0.05089,1.272
amsterdam,univariate,soil_moisture_7_to_28cm,ECOD,20256,1,0.00367,0.092
amsterdam,univariate,soil_moisture_7_to_28cm,HBOS,20256,1,0.00122,0.031
