city,scope,model_name,target_column,precision,recall,f1,f2,n_rows,n_positive_true,n_positive_pred,train_time_s,infer_time_s
amsterdam,multivariate,OCSVM,ALL_FEATURES,0.2879581151832461,0.2619047619047619,0.2743142144638404,0.2667313288069835,20856,210,191,0.0432,0.040961
amsterdam,univariate,VAE,temperature_2m,0.004297269969666329,0.2236842105263158,0.008432539682539682,0.01995305164319249,20856,76,3956,0.3733,0.001009
amsterdam,univariate,OCSVM,apparent_temperature,0.004901960784313725,0.02631578947368421,0.008264462809917356,0.014044943820224719,20856,76,408,0.1039,0.093439
amsterdam,univariate,AE,precipitation,0.0033545790003354577,0.14084507042253522,0.00655307994757536,0.015313935681470138,20856,71,2981,1.5697,0.000926
amsterdam,univariate,VAE,surface_pressure,0.5217391304347826,1.0,0.6857142857142857,0.8450704225352113,20856,72,138,1.69,0.000213
amsterdam,univariate,AE,soil_temperature_7_to_28cm,0.010477299185098952,0.11688311688311688,0.019230769230769232,0.038560411311053984,20856,77,859,1.6124,0.000797
amsterdam,univariate,OCSVM,soil_moisture_7_to_28cm,0.5,0.136986301369863,0.21505376344086022,0.16025641025641027,20856,73,20,0.0649,0.056397
london,multivariate,OCSVM,ALL_FEATURES,0.4028776978417266,0.26666666666666666,0.3209169054441261,0.28600612870275793,20856,210,139,0.0446,0.04471
london,univariate,OCSVM,temperature_2m,0.007686395080707148,0.1724137931034483,0.014716703458425313,0.03261578604044357,20856,58,1301,0.0473,0.038476
london,univariate,OCSVM,apparent_temperature,0.005291005291005291,0.012658227848101266,0.007462686567164179,0.009900990099009901,20856,79,189,0.0414,0.037623
london,univariate,VAE,precipitation,0.00205761316872428,0.013157894736842105,0.0035587188612099642,0.006329113924050633,20856,76,486,3.1357,0.000248
london,univariate,OCSVM,surface_pressure,0.6833333333333333,1.0,0.8118811881188119,0.9151785714285714,20856,82,120,0.0608,0.052932
london,univariate,OCSVM,soil_temperature_7_to_28cm,0.018691588785046728,0.029850746268656716,0.022988505747126436,0.02666666666666667,20856,67,107,0.0209,0.017481
london,univariate,OCSVM,soil_moisture_7_to_28cm,0.0210016155088853,0.2826086956521739,0.039097744360902256,0.08094645080946451,20856,92,1238,0.0075,0.006472
new_york,multivariate,OCSVM,ALL_FEATURES,0.5436893203883495,0.2616822429906542,0.35331230283911674,0.291970802919708,20856,214,103,0.044,0.039262
new_york,univariate,OCSVM,temperature_2m,0.004866180048661801,0.20512820512820512,0.009506833036244802,0.022222222222222223,20856,78,3288,0.0091,0.008062
new_york,univariate,OCSVM,apparent_temperature,0.005076142131979695,0.013333333333333334,0.007352941176470588,0.01006036217303823,20856,75,197,0.0405,0.03655
new_york,univariate,VAE,precipitation,0.003964321110009911,0.05263157894736842,0.007373271889400922,0.015232292460015232,20856,76,1009,0.7014,0.000235
new_york,univariate,VAE,surface_pressure,0.6545454545454545,0.48,0.5538461538461539,0.5070422535211268,20856,75,55,4.0999,0.000562
new_york,univariate,VAE,soil_temperature_7_to_28cm,0.0,0.0,0.0,0.0,20856,73,140,1.6564,0.000216
new_york,univariate,AE,soil_moisture_7_to_28cm,1.0,0.025974025974025976,0.05063291139240506,0.03225806451612903,20856,77,2,0.1897,0.000582
paris,multivariate,AE,ALL_FEATURES,0.4666666666666667,0.3,0.3652173913043478,0.3230769230769231,20856,210,135,0.3682,0.000832
paris,univariate,AE,temperature_2m,0.005449591280653951,0.024691358024691357,0.008928571428571428,0.01447178002894356,20856,81,367,0.1481,0.00049
paris,univariate,VAE,apparent_temperature,0.0049586776859504135,0.036585365853658534,0.008733624454148471,0.01607717041800643,20856,82,605,0.3056,0.000285
paris,univariate,AE,precipitation,0.003705075954057058,0.12345679012345678,0.007194244604316547,0.016539861065167052,20856,81,2699,1.5307,0.000948
paris,univariate,OCSVM,surface_pressure,0.575,1.0,0.7301587301587301,0.8712121212121212,20856,69,120,0.076,0.067498
paris,univariate,VAE,soil_temperature_7_to_28cm,1.0,0.012987012987012988,0.02564102564102564,0.016181229773462782,20856,77,1,1.6204,0.000632
paris,univariate,OCSVM,soil_moisture_7_to_28cm,0.14285714285714285,0.0410958904109589,0.06382978723404255,0.04792332268370607,20856,73,21,0.0528,0.045866
tokyo,multivariate,OCSVM,ALL_FEATURES,0.43902439024390244,0.25961538461538464,0.32628398791540786,0.28272251308900526,20856,208,123,0.0426,0.038704
tokyo,univariate,AE,temperature_2m,0.008412787436904094,0.16304347826086957,0.016,0.03486750348675035,20856,92,1783,1.1409,0.000507
tokyo,univariate,AE,apparent_temperature,0.010101010101010102,0.012987012987012988,0.011363636363636364,0.012285012285012284,20856,77,99,1.3102,0.000629
tokyo,univariate,AE,precipitation,0.004561003420752566,0.10526315789473684,0.008743169398907104,0.019436345966958212,20856,76,1754,0.9154,0.000571
tokyo,univariate,OCSVM,surface_pressure,0.8260869565217391,1.0,0.9047619047619048,0.9595959595959596,20856,57,69,0.2643,0.239946
tokyo,univariate,AE,soil_temperature_7_to_28cm,0.11428571428571428,0.06666666666666667,0.08421052631578947,0.07272727272727272,20856,60,35,0.5218,0.000621
tokyo,univariate,VAE,soil_moisture_7_to_28cm,0.009320905459387484,0.08045977011494253,0.016706443914081145,0.03184713375796178,20856,87,751,0.2746,0.000614
