number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0,2026-05-24 10:48:48.338585,2026-05-24 10:48:50.531476,0 days 00:00:02.192891,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-24 10:48:50.531560,2026-05-24 10:48:50.552909,0 days 00:00:00.021349,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.0,2026-05-24 10:48:50.552969,2026-05-24 10:48:50.561474,0 days 00:00:00.008505,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.02420135527589545,2026-05-24 10:48:50.561536,2026-05-24 10:48:51.659859,0 days 00:00:01.098323,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-24 10:48:51.659937,2026-05-24 10:48:51.766490,0 days 00:00:00.106553,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-24 10:48:51.766566,2026-05-24 10:48:51.788166,0 days 00:00:00.021600,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.0,2026-05-24 10:48:51.788211,2026-05-24 10:48:51.802183,0 days 00:00:00.013972,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-24 10:48:51.802229,2026-05-24 10:48:53.001854,0 days 00:00:01.199625,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-24 10:48:53.001936,2026-05-24 10:48:53.104905,0 days 00:00:00.102969,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.0,2026-05-24 10:48:53.104965,2026-05-24 10:48:53.317569,0 days 00:00:00.212604,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 10:48:53.317649,2026-05-24 10:48:54.248426,0 days 00:00:00.930777,elu,256.0,0.0010322851929145003,54.0,,,12.0,0.0024015639024822476,AE,3.0,,COMPLETE
11,0.022779043280182234,2026-05-24 10:48:54.248514,2026-05-24 10:48:57.960977,0 days 00:00:03.712463,elu,128.0,0.19636716167443305,100.0,,,4.0,0.0001169558442567087,VAE,3.0,,COMPLETE
12,0.02242152466367713,2026-05-24 10:48:57.961067,2026-05-24 10:48:59.712448,0 days 00:00:01.751381,elu,128.0,0.19895346387822435,61.0,,,4.0,0.00010348533987754031,AE,3.0,,COMPLETE
13,0.01775147928994083,2026-05-24 10:48:59.712531,2026-05-24 10:49:01.449107,0 days 00:00:01.736576,leaky_relu,128.0,0.1946933735152121,62.0,,,9.0,0.00030819776908160967,AE,3.0,,COMPLETE
14,0.009208103130755065,2026-05-24 10:49:01.449191,2026-05-24 10:49:03.368746,0 days 00:00:01.919555,elu,256.0,0.08751584646398299,100.0,,,13.0,0.0010731923017293051,VAE,2.0,,COMPLETE
